class_id,count,a2n,b2n,abn,theta_over_pi_mod1,edges
42,1,0.3523140711537167,0.6476859288462834,-0.4776911831097687,0.702278230778029,5-10
43,1,0.33984310689575614,0.6601568931042439,-0.47365575008775707,0.6981058266643738,5-11
44,1,0.05733034528327802,0.942669654716722,-0.23247274419376165,0.5769630394688908,5-12
45,1,0.997853687055073,0.00214631294492691,0.0462785726407951,0.01475204156875535,6-7
46,1,0.8502636676721799,0.14973633232782016,0.3568127843965695,0.12647409023639225,6-8
47,1,0.12255592700711129,0.8774440729928887,-0.32792677805043446,0.6138455634051687,6-9
48,1,0.017667666568300697,0.9823323334316992,-0.13174035116976135,0.5424352650338407,6-10
49,1,0.870137202561914,0.12986279743808604,0.3361524226889354,0.1173477891018467,6-11
50,1,0.061322676834886604,0.9386773231651134,-0.23992124987314206,0.5796530998080642,6-12
51,1,0.5120568642526969,0.4879431357473031,-0.49985461088639765,0.7538381911160243,7-8
52,1,0.9475337273709049,0.052466272629095055,0.22296538490425938,0.0735636237167224,7-9
53,1,0.9056619963006995,0.09433800369930044,0.292298383090518,0.09937363471676901,7-10
54,1,0.005837960518470678,0.9941620394815294,0.07618319194845709,0.47565531400686695,7-11
55,1,0.9645964537191962,0.03540354628080386,0.18479755190896563,0.06025180127649994,7-12
56,1,0.156978302558826,0.843021697441174,-0.36378031156808865,0.6296730011437751,8-9
57,1,0.8548015786784171,0.14519842132158295,0.3523007802536109,0.12443712142026468,8-10
58,1,0.7228035767810153,0.27719642321898474,0.4476143051485132,0.17649391439190473,8-11
59,1,0.3239339580603997,0.6760660419396002,-0.46797515839595905,0.6927283931647831,8-12
60,1,0.9690809814340772,0.03091901856592276,0.17309833291179577,0.05626350505307876,9-10
61,1,0.026339425081319395,0.9736605749186806,-0.16014262320726783,0.5518893784754911,9-11
62,1,0.9892760840086929,0.010723915991307096,0.10299958066477011,0.03302220903129524,9-12
63,1,0.405080732278467,0.594919267721533,-0.4909076620049925,0.7196017737090618,10-11
64,1,0.08171803326187725,0.9182819667381228,-0.2739346569926631,0.5922804484722177,10-12
65,1,0.9370140700792479,0.06298592992075207,0.2429376515749878,0.08074954393480155,11-12
