eps,residual,mu,global_closure,local_closure,rank,amp_min,amp_max,axis1,axis2,axis3,axis4,axis5,axis6,axis7,axis8,axis9,axis10,axis11,axis12,axis13,axis14
-0.300,1.494e-16,-0.933333333,7.040e-17,1.796e-17,14,0.216025,0.291009,0.467487740,0.467487740,0.452519347,0.452519347,0.394775138,0.394775138,0.237767224,0.237767224,0.225419512,0.225419512,0.211857311,0.211857311,0.109073192,0.109073192
-0.250,9.959e-17,-0.933333333,3.364e-17,1.060e-17,14,0.223607,0.285802,0.467992071,0.467992071,0.450004861,0.450004861,0.393377152,0.393377152,0.233513187,0.233513187,0.216739699,0.216739699,0.212095570,0.212095570,0.116831548,0.116831548
-0.200,1.613e-16,-0.933333333,4.968e-17,9.913e-18,14,0.230940,0.280499,0.468641493,0.468641493,0.447619764,0.447619764,0.392030828,0.392030828,0.229180200,0.229180200,0.212479941,0.212479941,0.208959852,0.208959852,0.131139088,0.131139088
-0.150,1.978e-16,-0.933333333,1.031e-16,2.172e-17,14,0.238048,0.275093,0.469434201,0.469434201,0.445370805,0.445370805,0.390737882,0.390737882,0.224763698,0.224763698,0.213008059,0.213008059,0.202499301,0.202499301,0.147228580,0.147228580
-0.100,2.546e-16,-0.933333333,7.311e-17,1.304e-17,14,0.244949,0.269580,0.470368020,0.470368020,0.443264644,0.443264644,0.389500009,0.389500009,0.220258656,0.220258656,0.213676731,0.213676731,0.197825073,0.197825073,0.163156919,0.163156919
-0.050,1.565e-16,-0.933333333,1.296e-16,1.734e-17,14,0.251661,0.263951,0.471440427,0.471440427,0.441307791,0.441307791,0.388318880,0.388318880,0.215659526,0.215659526,0.214482016,0.214482016,0.195362572,0.195362572,0.178362325,0.178362325
0.000,2.073e-16,-0.933333333,1.048e-16,2.247e-17,14,0.258199,0.258199,0.472648580,0.472648580,0.439506541,0.439506541,0.387196133,0.387196133,0.215419304,0.215419304,0.210960155,0.210960155,0.195371618,0.195371618,0.192745420,0.192745420
0.050,6.835e-17,-0.933333333,4.068e-17,9.139e-18,14,0.252316,0.264575,0.473989343,0.473989343,0.437866907,0.437866907,0.386133367,0.386133367,0.216483416,0.216483416,0.206346346,0.206346346,0.206153686,0.206153686,0.197851206,0.197851206
0.100,1.495e-16,-0.933333333,5.411e-17,9.913e-18,14,0.246293,0.270801,0.475459315,0.475459315,0.436394555,0.436394555,0.385132132,0.385132132,0.219240911,0.219240911,0.217668705,0.217668705,0.202539903,0.202539903,0.201232448,0.201232448
0.150,7.074e-17,-0.933333333,1.682e-17,6.269e-18,14,0.240119,0.276887,0.477054863,0.477054863,0.435094730,0.435094730,0.384193923,0.384193923,0.231507526,0.231507526,0.218969160,0.218969160,0.209011581,0.209011581,0.196187802,0.196187802
0.200,1.110e-16,-0.933333333,3.388e-17,8.411e-18,14,0.233781,0.282843,0.478772155,0.478772155,0.433972194,0.433972194,0.383320173,0.383320173,0.243217354,0.243217354,0.220378506,0.220378506,0.216799297,0.216799297,0.191009972,0.191009972
0.250,2.726e-16,-0.933333333,5.948e-17,1.254e-17,14,0.227268,0.288675,0.480607187,0.480607187,0.433031159,0.433031159,0.382512242,0.382512242,0.254432197,0.254432197,0.225484258,0.225484258,0.221890302,0.221890302,0.185687816,0.185687816
0.300,1.985e-16,-0.933333333,1.091e-16,1.787e-17,14,0.220561,0.294392,0.482555818,0.482555818,0.432275230,0.432275230,0.381771415,0.381771415,0.265204932,0.265204932,0.234733407,0.234733407,0.223498028,0.223498028,0.180208548,0.180208548
0.350,8.822e-17,-0.933333333,7.093e-17,1.178e-17,14,0.213645,0.300000,0.484613800,0.484613800,0.431707351,0.431707351,0.381098888,0.381098888,0.275580648,0.275580648,0.244301013,0.244301013,0.225195167,0.225195167,0.174557373,0.174557373
0.400,1.931e-16,-0.933333333,4.775e-17,1.150e-17,14,0.206497,0.305505,0.486776805,0.486776805,0.431329764,0.431329764,0.380495767,0.380495767,0.285597877,0.285597877,0.254014233,0.254014233,0.226975278,0.226975278,0.168717018,0.168717018
0.450,2.287e-16,-0.933333333,3.097e-17,4.956e-18,14,0.199092,0.310913,0.489040457,0.489040457,0.431143976,0.431143976,0.379963056,0.379963056,0.295289693,0.295289693,0.263755341,0.263755341,0.228832047,0.228832047,0.162667107,0.162667107
0.500,1.080e-16,-0.933333333,5.677e-17,1.500e-17,14,0.191401,0.316228,0.491400356,0.491400356,0.431150729,0.431150729,0.379501655,0.379501655,0.304684643,0.304684643,0.273446125,0.273446125,0.230759347,0.230759347,0.156383322,0.156383322
0.550,1.172e-16,-0.933333333,1.071e-16,1.787e-17,14,0.183388,0.321455,0.493852101,0.493852101,0.431349997,0.431349997,0.379112352,0.379112352,0.313807509,0.313807509,0.283035890,0.283035890,0.232751270,0.232751270,0.149836241,0.149836241
0.600,1.998e-16,-0.933333333,8.732e-17,1.487e-17,14,0.175008,0.326599,0.496391314,0.496391314,0.431740982,0.431740982,0.378795818,0.378795818,0.322679937,0.322679937,0.292492791,0.292492791,0.234802157,0.234802157,0.142989701,0.142989701
0.650,3.413e-16,-0.933333333,3.546e-17,9.139e-18,14,0.166207,0.331662,0.499013659,0.499013659,0.432322127,0.432322127,0.378552603,0.378552603,0.331320935,0.331320935,0.301797787,0.301797787,0.236906625,0.236906625,0.135798418,0.135798418
0.700,2.142e-16,-0.933333333,1.370e-16,2.742e-17,14,0.156912,0.336650,0.501714862,0.501714862,0.433091138,0.433091138,0.378383133,0.378383133,0.339747291,0.339747291,0.310940468,0.310940468,0.239059574,0.239059574,0.128204392,0.128204392
0.750,1.898e-16,-0.933333333,8.087e-17,1.651e-17,14,0.147031,0.341565,0.504490722,0.504490722,0.434045022,0.434045022,0.378287705,0.378287705,0.347973906,0.347973906,0.319916224,0.319916224,0.241256202,0.241256202,0.120131269,0.120131269
0.800,1.466e-16,-0.933333333,8.469e-17,1.474e-17,14,0.136437,0.346410,0.507337130,0.507337130,0.435180131,0.435180131,0.378266489,0.378266489,0.356014071,0.356014071,0.328724298,0.328724298,0.243491998,0.243491998,0.111475008,0.111475008
0.850,2.299e-16,-0.933333333,1.518e-16,2.594e-17,14,0.124947,0.351188,0.510250075,0.510250075,0.436492213,0.436492213,0.378319520,0.378319520,0.363879693,0.363879693,0.337366475,0.337366475,0.245762748,0.245762748,0.102087379,0.102087379
0.900,1.596e-16,-0.933333333,9.405e-17,1.823e-17,14,0.112288,0.355903,0.513225659,0.513225659,0.437976469,0.437976469,0.378446707,0.378446707,0.371581486,0.371581486,0.345846173,0.345846173,0.248064526,0.248064526,0.091744148,0.091744148
