eps,residual,mu,global_closure,local_closure,rank,amp_min,amp_max,axis1,axis2,axis3,axis4,axis5,axis6,axis7,axis8,axis9,axis10,axis11,axis12,axis13,axis14,axis15
-0.050,1.417e-16,-1.000000000,1.334e-16,1.768e-17,15,0.251661,0.264437,0.683132084,0.365292784,0.365292784,0.212272281,0.185753888,0.185752109,0.184873986,0.184709945,0.182531316,0.182527785,0.180315684,0.180154187,0.179294318,0.179292573,0.146993686
0.000,1.274e-16,-1.000000000,9.272e-17,1.230e-17,15,0.258199,0.258199,0.683130051,0.365148372,0.365148372,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186
0.050,1.187e-16,-1.000000000,8.684e-17,1.442e-17,15,0.251806,0.264575,0.683132084,0.365292784,0.365292784,0.212272281,0.185754012,0.185751984,0.184873993,0.184709939,0.182531587,0.182527514,0.180315690,0.180154180,0.179294465,0.179292427,0.146993686
0.100,1.772e-16,-1.000000000,1.024e-16,1.371e-17,15,0.245246,0.270801,0.683138183,0.365724523,0.365724523,0.238297516,0.188846820,0.188838314,0.187058002,0.186728596,0.182404987,0.182387661,0.177930782,0.177611658,0.175900308,0.175891569,0.099402983
0.150,2.984e-16,-1.000000000,5.829e-17,9.220e-18,15,0.238506,0.276887,0.683148348,0.366439167,0.366439167,0.261747754,0.191863482,0.191843690,0.189132387,0.188637308,0.182197096,0.182155902,0.175418108,0.174946480,0.172375152,0.172354112,0.042956236
0.200,2.986e-16,-1.000000000,6.810e-17,1.145e-17,15,0.231570,0.282843,0.683162579,0.367429568,0.367429566,0.283263235,0.194812989,0.194776998,0.191104606,0.190444262,0.181911698,0.181834806,0.172778684,0.172160577,0.168700348,0.168660490,0.116496477
0.250,8.530e-17,-1.000000000,6.173e-17,9.697e-18,15,0.224420,0.288675,0.683180874,0.368686169,0.368686162,0.303256032,0.197702746,0.197645716,0.192982912,0.192158223,0.181553423,0.181428058,0.170015655,0.169257550,0.164855374,0.164789427,0.159052253
0.300,1.272e-16,-1.000000000,1.078e-16,1.599e-17,15,0.217034,0.294392,0.683203232,0.370197400,0.370197373,0.322009870,0.200538858,0.200456135,0.194775903,0.193788132,0.192415712,0.181127507,0.180940227,0.167133788,0.166242020,0.160818168,0.160718376
0.350,3.640e-16,-1.000000000,5.766e-17,1.205e-17,15,0.209388,0.300000,0.683229653,0.371950137,0.371950035,0.339729942,0.220794017,0.203326374,0.203213555,0.196492157,0.195342731,0.180639540,0.180376523,0.164138757,0.163118871,0.156565468,0.156423937
0.400,8.705e-17,-1.000000000,4.013e-17,1.289e-17,15,0.201452,0.305505,0.683260136,0.373930263,0.373929852,0.356570209,0.245919058,0.206069497,0.205922465,0.198139961,0.196830412,0.180095242,0.179742527,0.161036368,0.159892503,0.152073030,0.151882029
0.450,1.274e-16,-1.000000000,3.123e-17,7.152e-18,15,0.193190,0.310913,0.683294677,0.376125788,0.376121825,0.372646918,0.268704976,0.208771758,0.208586683,0.199727120,0.198258963,0.179500277,0.179043973,0.157831834,0.156566240,0.147315572,0.147067713
0.500,1.021e-16,-1.000000000,4.083e-17,6.133e-18,15,0.184558,0.316228,0.683333277,0.388067888,0.378510642,0.378508102,0.289704227,0.211436150,0.211209480,0.201260852,0.199635521,0.178860109,0.178286554,0.154529225,0.153141946,0.142266300,0.141954537
0.550,9.828e-17,-1.000000000,4.061e-17,7.758e-18,15,0.175503,0.321455,0.683375932,0.402892263,0.381081014,0.381079192,0.309280948,0.214065232,0.213793678,0.202747728,0.200966535,0.178179905,0.177475775,0.151131107,0.149619829,0.136895921,0.136513351
0.600,1.287e-16,-1.000000000,3.408e-17,7.152e-18,15,0.165954,0.326599,0.683422641,0.417190827,0.383817946,0.383816121,0.327690179,0.216661218,0.216341731,0.204193664,0.202257764,0.177464478,0.176616856,0.147638372,0.145998388,0.131171032,0.130710504
0.650,1.086e-16,-1.000000000,7.222e-17,1.128e-17,15,0.155821,0.331662,0.683473402,0.431015428,0.386706955,0.386704974,0.345118777,0.219226040,0.218855790,0.205603945,0.203514318,0.176718256,0.175714663,0.144050191,0.142274415,0.125051729,0.124505254
0.700,3.444e-16,-1.000000000,4.433e-17,7.270e-18,15,0.144982,0.336650,0.683528211,0.444410228,0.389734216,0.389732064,0.361708463,0.221761400,0.221337754,0.206983258,0.204740703,0.175945293,0.174773694,0.140364034,0.138443025,0.118488082,0.117846012
0.750,1.056e-16,-1.000000000,6.177e-17,8.941e-18,15,0.133264,0.341565,0.683587066,0.457412964,0.392886671,0.392884579,0.377569604,0.224268809,0.223789310,0.208335751,0.205940887,0.175149287,0.173798071,0.136575707,0.134497636,0.111414823,0.110664647
0.800,1.139e-16,-1.000000000,9.889e-17,1.675e-17,15,0.120411,0.346410,0.683649964,0.470056166,0.396153511,0.396152089,0.392787218,0.226749623,0.226211971,0.209665082,0.207118354,0.174333615,0.172791575,0.132679358,0.130429901,0.103742836,0.102867309
0.850,1.768e-16,-1.000000000,3.291e-17,6.939e-18,15,0.106011,0.351188,0.683716901,0.482368100,0.407447980,0.399519089,0.399512547,0.229205066,0.228607099,0.210974479,0.208276171,0.173501388,0.171757680,0.128667436,0.126229546,0.095344524,0.094318407
0.900,3.891e-16,-1.000000000,1.003e-16,1.466e-17,15,0.089319,0.355903,0.683787875,0.494373517,0.421591105,0.402977142,0.402971208,0.231636249,0.230975933,0.212266792,0.209417045,0.172655500,0.170699616,0.124530584,0.121884114,0.086026156,0.084809856
