eps,residual,mu,global_closure,local_closure,rank,amp_min,amp_max,axis1,axis2,axis3,axis4,axis5
-0.150,6.570e-17,-0.333333333,1.044e-16,3.538e-17,5,0.238048,0.273417,0.365558814,0.286933152,0.286122381,0.207081420,0.151813762
-0.100,8.087e-17,-0.333333333,1.784e-16,6.397e-17,5,0.244949,0.268440,0.365330884,0.286246455,0.285928445,0.199536797,0.162881049
-0.050,4.994e-17,-0.333333333,1.076e-16,4.163e-17,5,0.251661,0.263369,0.365194012,0.285863599,0.285794667,0.191373703,0.173099104
0.000,3.307e-17,-0.333333333,3.925e-17,2.797e-17,5,0.258199,0.258199,0.365148372,0.285744043,0.285744043,0.182574186,0.182574186
0.050,4.405e-17,-0.333333333,5.004e-17,3.103e-17,5,0.252923,0.264575,0.365194013,0.285852946,0.285805332,0.191373639,0.173099156
0.100,3.681e-17,-0.333333333,8.247e-17,2.861e-17,5,0.247534,0.270801,0.365330915,0.286161050,0.286014241,0.199535651,0.162881815
0.150,5.231e-17,-0.333333333,9.640e-17,3.103e-17,5,0.242026,0.276887,0.365559051,0.286644080,0.286414476,0.207074880,0.151817377
0.200,7.901e-17,-0.333333333,9.640e-17,2.710e-17,5,0.236389,0.282843,0.365878455,0.287281971,0.287058173,0.213986313,0.139744946
0.250,5.269e-17,-0.333333333,1.868e-17,7.758e-18,5,0.230615,0.288675,0.366289303,0.288058123,0.288004803,0.220249206,0.126412750
0.300,5.581e-17,-0.333333333,1.274e-16,4.221e-17,5,0.224692,0.294392,0.366791991,0.289317309,0.288958732,0.225832915,0.111404190
0.350,3.802e-17,-0.333333333,4.443e-17,1.868e-17,5,0.218608,0.300000,0.367387235,0.291054371,0.289972234,0.230706024,0.093954246
0.400,5.676e-17,-0.333333333,8.472e-17,3.469e-17,5,0.212351,0.305505,0.368076168,0.293259108,0.291088859,0.234848656,0.072356553
0.450,5.748e-17,-0.333333333,6.331e-17,2.327e-17,5,0.205903,0.310913,0.368860455,0.295947300,0.292300263,0.238265013,0.040500356
0.500,4.013e-17,-0.333333333,8.070e-17,2.089e-17,5,0.199247,0.316228,0.369742416,0.299100479,0.293599250,0.240990885,0.044196859
0.550,6.674e-17,-0.333333333,6.397e-17,3.273e-17,5,0.192361,0.321455,0.370725165,0.302667940,0.294979544,0.243092140,0.074436415
0.600,4.431e-17,-0.333333333,7.850e-17,3.469e-17,5,0.185219,0.326599,0.371812753,0.306576821,0.296435617,0.244655116,0.095484092
0.650,4.045e-17,-0.333333333,1.456e-16,4.524e-17,5,0.177790,0.331662,0.373010326,0.310745067,0.297962544,0.245774142,0.112594619
0.700,5.076e-17,-0.333333333,6.974e-17,2.861e-17,5,0.170037,0.336650,0.374324275,0.315092116,0.299555899,0.246541459,0.127342090
0.750,7.903e-17,-0.333333333,1.523e-16,5.722e-17,5,0.161913,0.341565,0.375762363,0.319545078,0.301211668,0.247041873,0.140448229
0.800,2.692e-17,-0.333333333,4.424e-17,2.342e-17,5,0.153359,0.346410,0.377333810,0.324040912,0.302926177,0.247351803,0.152309021
0.850,3.962e-17,-0.333333333,9.864e-17,3.676e-17,5,0.144300,0.351188,0.379049259,0.328526180,0.304696043,0.247541455,0.163161825
0.900,4.532e-17,-0.333333333,5.031e-17,1.963e-17,5,0.134632,0.355903,0.380920595,0.332955791,0.306518125,0.247679073,0.173152283
