step,time,N,condition,initial_seed_enabled,metastable_seed_enabled,initial_seed_amplitude,metastable_seed_amplitude,parent_plane_occupation,f_outside_parent,q1,q2,q3,q4,rank_Q,dominant_plane_occupation,non_dominant_occupation,kernel_occupation,residual_occupation,norm_Z,dagger_norm_error,zero_square_real,zero_square_imag,zero_square_abs,projection_closure_error,crossing_detected,metastable_start_detected
975,975,5,A,0,0,0.0000000000e+00,0.0000000000e+00,9.9999470607e-01,5.2939258907e-06,1.4142135624e+00,1.4142110300e+00,2.6763124023e-03,1.0019522487e-06,4,9.9999826359e-01,8.2213136082e-12,5.2939176693e-06,0.0000000000e+00,1.0000000000e+00,2.7755575616e-15,9.9920072216e-16,-1.0208523750e-15,1.4284752902e-15,0.0000000000e+00,0,0
1000,1000,5,A,0,0,0.0000000000e+00,0.0000000000e+00,9.9998181610e-01,1.8183896195e-05,1.4142135624e+00,1.4142048641e+00,4.9600734892e-03,3.4401283096e-06,4,9.9999403623e-01,9.6984976862e-11,1.8183799210e-05,0.0000000000e+00,1.0000000000e+00,2.6645352591e-15,1.1102230246e-15,-1.0605011751e-15,1.5353364149e-15,0.0000000000e+00,0,0
1025,1025,5,A,0,0,0.0000000000e+00,0.0000000000e+00,9.9993755035e-01,6.2449653517e-05,1.4142135623e+00,1.4141836909e+00,9.1917569580e-03,1.1804935268e-05,4,9.9997952508e-01,1.1438653340e-09,6.2448509652e-05,0.0000000000e+00,1.0000000000e+00,2.4424906542e-15,1.1657341759e-15,-9.7574776885e-16,1.5202038933e-15,0.0000000000e+00,0,0
1050,1050,5,A,0,0,0.0000000000e+00,0.0000000000e+00,9.9978563861e-01,2.1436139107e-04,1.4142135618e+00,1.4141110425e+00,1.7028194762e-02,4.0421121145e-05,4,9.9992979769e-01,1.3478015796e-08,2.1434791306e-04,0.0000000000e+00,1.0000000000e+00,2.6645352591e-15,1.0547118734e-15,-1.0075363786e-15,1.4586112197e-15,0.0000000000e+00,0,0
1075,1075,5,A,0,0,0.0000000000e+00,0.0000000000e+00,9.9926550881e-01,7.3449119142e-04,1.4142135557e+00,1.4138624677e+00,3.1510673565e-02,1.3733131110e-04,4,9.9976041012e-01,1.5826985245e-07,7.3433292156e-04,0.0000000000e+00,1.0000000000e+00,2.2204460493e-15,1.2212453271e-15,-1.0211143432e-15,1.5918902760e-15,0.0000000000e+00,0,0
1100,1100,5,A,0,0,0.0000000000e+00,0.0000000000e+00,9.9749862107e-01,2.5013789303e-03,1.4142134894e+00,1.4130199786e+00,5.8090791704e-02,4.5429664270e-04,4,9.9919496848e-01,1.8370335051e-06,2.4995418968e-03,0.0000000000e+00,1.0000000000e+00,2.2204460493e-15,1.0547118734e-15,-1.2548681850e-15,1.6392410737e-15,0.0000000000e+00,0,0
1125,1125,5,A,0,0,0.0000000000e+00,0.0000000000e+00,9.9165336401e-01,8.3466359857e-03,1.4142128989e+00,1.4102543145e+00,1.0574860954e-01,1.3698535120e-03,4,9.9743376625e-01,2.0510359935e-05,8.3261256258e-03,0.0000000000e+00,1.0000000000e+00,2.4424906542e-15,9.4368957093e-16,-1.3803935140e-15,1.6721352397e-15,0.0000000000e+00,0,0
1150,1150,5,A,0,0,0.0000000000e+00,0.0000000000e+00,9.7388437948e-01,2.6115620519e-02,1.4142104857e+00,1.4020548134e+00,1.8504675182e-01,2.9499301748e-03,4,9.9308868702e-01,2.0288197308e-04,2.5912738546e-02,0.0000000000e+00,1.0000000000e+00,2.4424906542e-15,8.3266726847e-16,-1.2694004146e-15,1.5181278578e-15,0.0000000000e+00,0,0
1175,1175,5,A,0,0,0.0000000000e+00,0.0000000000e+00,9.3108882901e-01,6.8911170994e-02,1.4142131777e+00,1.3835475304e+00,2.9290993695e-01,1.0430437385e-03,4,9.8818027204e-01,1.4705705358e-03,6.7440600458e-02,0.0000000000e+00,1.0000000000e+00,2.2204460493e-15,8.8817841970e-16,-1.4280016341e-15,1.6816805797e-15,0.0000000000e+00,1,0
1200,1200,5,A,0,0,0.0000000000e+00,0.0000000000e+00,8.6594064468e-01,1.3405935532e-01,1.4140367747e+00,1.3575966540e+00,3.9614558561e-01,2.2360672082e-02,4,9.9043681247e-01,6.3411603395e-03,1.2771819498e-01,0.0000000000e+00,1.0000000000e+00,2.2204460493e-15,1.2767564783e-15,-1.4606654576e-15,1.9400130629e-15,0.0000000000e+00,1,0
1225,1225,5,A,0,0,0.0000000000e+00,0.0000000000e+00,8.0659343433e-01,1.9340656567e-01,1.4126178162e+00,1.3334999803e+00,4.7093290666e-01,6.7163273665e-02,4,9.9245597358e-01,1.7519510327e-02,1.7588705535e-01,0.0000000000e+00,1.0000000000e+00,2.2204460493e-15,1.0547118734e-15,-1.6101985156e-15,1.9248782807e-15,0.0000000000e+00,1,0
1250,1250,5,A,0,0,0.0000000000e+00,0.0000000000e+00,7.5593871840e-01,2.4406128160e-01,1.4089020132e+00,1.3116943373e+00,5.2863783955e-01,1.2245455126e-01,4,9.8622663568e-01,3.9866414388e-02,2.0419486721e-01,0.0000000000e+00,1.0000000000e+00,1.8873791419e-15,9.9920072216e-16,-1.7052587164e-15,1.9764385579e-15,0.0000000000e+00,1,0
1275,1275,5,A,0,0,0.0000000000e+00,0.0000000000e+00,6.9236228709e-01,3.0763771291e-01,1.4036893157e+00,1.2857271887e+00,5.8898692369e-01,1.7221006075e-01,4,9.7873130366e-01,7.6564161788e-02,2.3107355112e-01,0.0000000000e+00,1.0000000000e+00,1.5543122345e-15,1.1657341759e-15,-1.6739217438e-15,2.0398407225e-15,0.0000000000e+00,1,0
1300,1300,5,A,0,0,0.0000000000e+00,0.0000000000e+00,6.1574498640e-01,3.8425501360e-01,1.3978934260e+00,1.2517284863e+00,6.5816091991e-01,2.1422877867e-01,4,9.7634501743e-01,1.1659237445e-01,2.6766263915e-01,0.0000000000e+00,1.0000000000e+00,1.5543122345e-15,1.3322676296e-15,-1.7228523270e-15,2.1778790548e-15,0.0000000000e+00,1,0
1325,1325,5,A,0,0,0.0000000000e+00,0.0000000000e+00,5.4127408971e-01,4.5872591029e-01,1.3906408191e+00,1.2059847916e+00,7.3864787447e-01,2.5713442432e-01,4,9.8334415682e-01,1.5058881044e-01,3.0813709985e-01,0.0000000000e+00,1.0000000000e+00,1.5543122345e-15,1.4988010832e-15,-1.5941211982e-15,2.1880646887e-15,0.0000000000e+00,1,0
1350,1350,5,A,0,0,0.0000000000e+00,0.0000000000e+00,4.7990440755e-01,5.2009559245e-01,1.3830894352e+00,1.1632292566e+00,8.0429950670e-01,2.9506544049e-01,4,9.8945326724e-01,1.7573742258e-01,3.4435816988e-01,0.0000000000e+00,1.0000000000e+00,1.3322676296e-15,1.6098233857e-15,-1.5349871002e-15,2.2243463604e-15,0.0000000000e+00,1,0
1375,1375,5,A,0,0,0.0000000000e+00,0.0000000000e+00,4.3672887794e-01,5.6327112206e-01,1.3757947521e+00,1.1437231336e+00,8.3180369897e-01,3.2739700671e-01,4,9.9390454831e-01,1.9614661489e-01,3.6712450717e-01,0.0000000000e+00,1.0000000000e+00,1.2212453271e-15,1.2212453271e-15,-1.4774763233e-15,1.9168663060e-15,0.0000000000e+00,1,0
1400,1400,5,A,0,0,0.0000000000e+00,0.0000000000e+00,4.1437243020e-01,5.8562756980e-01,1.3725928088e+00,1.1416348206e+00,8.3466756038e-01,3.4057155090e-01,4,9.9536182580e-01,2.1881909826e-01,3.6680847155e-01,0.0000000000e+00,1.0000000000e+00,1.1102230246e-15,1.3322676296e-15,-1.6311611927e-15,2.1060920857e-15,0.0000000000e+00,1,0
1425,1425,5,A,0,0,0.0000000000e+00,0.0000000000e+00,4.1195094509e-01,5.8804905491e-01,1.3763744602e+00,1.1481047783e+00,8.2574537114e-01,3.2495129681e-01,4,9.9211252321e-01,2.4055564465e-01,3.4749341026e-01,0.0000000000e+00,1.0000000000e+00,6.6613381478e-16,1.5543122345e-15,-1.5397473787e-15,2.1878547741e-15,0.0000000000e+00,1,0
1450,1450,5,A,0,0,0.0000000000e+00,0.0000000000e+00,4.2754871789e-01,5.7245128211e-01,1.3851875728e+00,1.1540743690e+00,8.1738139862e-01,2.8505330735e-01,4,9.8555352904e-01,2.5175844576e-01,3.2069283635e-01,0.0000000000e+00,1.0000000000e+00,8.8817841970e-16,1.4988010832e-15,-1.4668545576e-15,2.0971568802e-15,0.0000000000e+00,1,0
1475,1475,5,A,0,0,0.0000000000e+00,0.0000000000e+00,4.5081242532e-01,5.4918757468e-01,1.3940708375e+00,1.1543285567e+00,8.1702238839e-01,2.3783712937e-01,4,9.8070610830e-01,2.5360015566e-01,2.9558741901e-01,0.0000000000e+00,1.0000000000e+00,8.8817841970e-16,1.3322676296e-15,-1.7212192388e-15,2.1765873988e-15,0.0000000000e+00,1,0
1500,1500,5,A,0,0,0.0000000000e+00,0.0000000000e+00,4.7372355351e-01,5.2627644649e-01,1.4010528784e+00,1.1640529718e+00,8.0310689134e-01,1.9248592624e-01,4,9.7475447883e-01,2.5296693669e-01,2.7330950980e-01,0.0000000000e+00,1.0000000000e+00,8.8817841970e-16,1.4988010832e-15,-1.8901478263e-15,2.4122735111e-15,0.0000000000e+00,1,0
1525,1525,5,A,0,0,0.0000000000e+00,0.0000000000e+00,4.9260905676e-01,5.0739094324e-01,1.4037405242e+00,1.1978450778e+00,7.5177601019e-01,1.7179214435e-01,4,9.6682226486e-01,2.5734092864e-01,2.5005001460e-01,0.0000000000e+00,1.0000000000e+00,6.6613381478e-16,1.5543122345e-15,-1.8257257898e-15,2.3977408496e-15,0.0000000000e+00,1,0
1550,1550,5,A,0,0,0.0000000000e+00,0.0000000000e+00,4.7921476221e-01,5.2078523779e-01,1.3941512498e+00,1.2051082935e+00,7.4007702358e-01,2.3736531464e-01,4,9.7297941424e-01,2.7446822798e-01,2.4631700981e-01,0.0000000000e+00,1.0000000000e+00,7.7715611724e-16,1.6653345369e-15,-1.8137719473e-15,2.4623378722e-15,0.0000000000e+00,1,0
1575,1575,5,A,0,0,0.0000000000e+00,0.0000000000e+00,4.3749991221e-01,5.6250008779e-01,1.3786616817e+00,1.1873829590e+00,7.6819379628e-01,3.1510627934e-01,4,9.8124063549e-01,3.0814792650e-01,2.5435216129e-01,0.0000000000e+00,1.0000000000e+00,6.6613381478e-16,1.5543122345e-15,-1.8951888630e-15,2.4510461743e-15,0.0000000000e+00,1,0
1600,1600,5,A,0,0,0.0000000000e+00,0.0000000000e+00,3.9546020871e-01,6.0453979129e-01,1.3663135306e+00,1.1724083097e+00,7.9085950424e-01,3.6494840181e-01,4,9.8154982009e-01,3.5569817291e-01,2.4884161837e-01,0.0000000000e+00,1.0000000000e+00,8.8817841970e-16,1.7763568394e-15,-2.0811911654e-15,2.7362017995e-15,0.0000000000e+00,1,0
1625,1625,5,A,0,0,0.0000000000e+00,0.0000000000e+00,3.6110683667e-01,6.3889316333e-01,1.3544624300e+00,1.1559028837e+00,8.1479354655e-01,4.0673274489e-01,4,9.7650860383e-01,4.1295664732e-01,2.2593651601e-01,0.0000000000e+00,1.0000000000e+00,8.8817841970e-16,1.8318679906e-15,-2.2529307153e-15,2.9036937068e-15,0.0000000000e+00,1,0
1650,1650,5,A,0,0,0.0000000000e+00,0.0000000000e+00,3.2735239735e-01,6.7264760265e-01,1.3391970465e+00,1.1332502937e+00,8.4601641341e-01,4.5447912006e-01,4,9.7517178336e-01,4.6965440448e-01,2.0299319817e-01,0.0000000000e+00,1.0000000000e+00,1.3322676296e-15,1.3877787808e-15,-2.1214687300e-15,2.5350659788e-15,0.0000000000e+00,1,0
