step,time,N,condition,initial_seed_enabled,metastable_seed_enabled,initial_seed_amplitude,metastable_seed_amplitude,parent_plane_occupation,f_outside_parent,q1,q2,q3,q4,rank_Q,dominant_plane_occupation,non_dominant_occupation,kernel_occupation,residual_occupation,norm_Z,dagger_norm_error,zero_square_real,zero_square_imag,zero_square_abs,projection_closure_error,crossing_detected,metastable_start_detected
875,875,5,B,1,0,1.0000000000e-15,0.0000000000e+00,9.9999996249e-01,3.7506696970e-08,1.4142135624e+00,1.4142135444e+00,2.2527012915e-04,1.7929577094e-08,4,9.9999998770e-01,4.1756708646e-16,3.7506696553e-08,0.0000000000e+00,1.0000000000e+00,1.6653345369e-15,-9.9920072216e-16,-2.8673247165e-16,1.0395275819e-15,0.0000000000e+00,0,0
900,900,5,B,1,0,1.0000000000e-15,0.0000000000e+00,9.9999987116e-01,1.2883825118e-07,1.4142135624e+00,1.4142135007e+00,4.1751452253e-04,2.9146588961e-08,4,9.9999995774e-01,4.8926847804e-15,1.2883824629e-07,0.0000000000e+00,1.0000000000e+00,1.6653345369e-15,-1.2212453271e-15,-2.5969504788e-16,1.2485518278e-15,0.0000000000e+00,0,0
925,925,5,B,1,0,1.0000000000e-15,0.0000000000e+00,9.9999955743e-01,4.4256835341e-07,1.4142135624e+00,1.4142133507e+00,7.7381879618e-04,8.6417545349e-08,4,9.9999985483e-01,5.7564020332e-14,4.4256829585e-07,0.0000000000e+00,1.0000000000e+00,1.5543122345e-15,-1.2767564783e-15,-4.2829000702e-16,1.3466771829e-15,0.0000000000e+00,0,0
950,950,5,B,1,0,1.0000000000e-15,0.0000000000e+00,9.9999847975e-01,1.5202474496e-06,1.4142135624e+00,1.4142128352e+00,1.4341876153e-03,2.8852573838e-07,4,9.9999950134e-01,6.7840927014e-13,1.5202467712e-06,0.0000000000e+00,1.0000000000e+00,1.3322676296e-15,-1.2212453271e-15,-2.3266462190e-16,1.2432107525e-15,0.0000000000e+00,0,0
975,975,5,B,1,0,1.0000000000e-15,0.0000000000e+00,9.9999477793e-01,5.2220700474e-06,1.4142135624e+00,1.4142110644e+00,2.6580873133e-03,9.8859047185e-07,4,9.9999828715e-01,8.0007296226e-12,5.2220620467e-06,0.0000000000e+00,1.0000000000e+00,1.5543122345e-15,-1.1657341759e-15,-3.3381704439e-16,1.2125881361e-15,0.0000000000e+00,0,0
1000,1000,5,B,1,0,1.0000000000e-15,0.0000000000e+00,9.9998206290e-01,1.7937096607e-05,1.4142135624e+00,1.4142049822e+00,4.9262990841e-03,3.3937053416e-06,4,9.9999411716e-01,9.4375507445e-11,1.7937002232e-05,0.0000000000e+00,1.0000000000e+00,1.5543122345e-15,-6.6613381478e-16,-2.3697263912e-16,7.0702920087e-16,0.0000000000e+00,0,0
1025,1025,5,B,1,0,1.0000000000e-15,0.0000000000e+00,9.9993839776e-01,6.1602239449e-05,1.4142135623e+00,1.4141840962e+00,9.1291843968e-03,1.1645338778e-05,4,9.9997980279e-01,1.1130582048e-09,6.1601126391e-05,0.0000000000e+00,1.0000000000e+00,1.7763568394e-15,-3.8857805862e-16,-2.4366062976e-16,4.5865391107e-16,0.0000000000e+00,0,0
1050,1050,5,B,1,0,1.0000000000e-15,0.0000000000e+00,9.9978854529e-01,2.1145471340e-04,1.4142135618e+00,1.4141124324e+00,1.6912380531e-02,3.9875506241e-05,4,9.9993074812e-01,1.3115090094e-08,2.1144159831e-04,0.0000000000e+00,1.0000000000e+00,1.7763568394e-15,-4.9960036108e-16,-2.2375453522e-16,5.4741813345e-16,0.0000000000e+00,0,0
1075,1075,5,B,1,0,1.0000000000e-15,0.0000000000e+00,9.9927544353e-01,7.2455646999e-04,1.4142135559e+00,1.4138672131e+00,3.1297021919e-02,1.3549651217e-04,4,9.9976363302e-01,1.5401726080e-07,7.2440245273e-04,0.0000000000e+00,1.0000000000e+00,1.5543122345e-15,-7.7715611724e-16,-2.6142702978e-16,8.1994860964e-16,0.0000000000e+00,0,0
1100,1100,5,B,1,0,1.0000000000e-15,0.0000000000e+00,9.9753216835e-01,2.4678316472e-03,1.4142134913e+00,1.4130359469e+00,5.7701065002e-02,4.4845498181e-04,4,9.9920556088e-01,1.7880652619e-06,2.4660435819e-03,0.0000000000e+00,1.0000000000e+00,1.9984014443e-15,-7.2164496601e-16,-1.8421167716e-16,7.4478547177e-16,0.0000000000e+00,0,0
