step,H_total,H_parallel,H_perp,A_perp,abs_ZtZ,sum_a2,sum_b2,sum_ab,r2_min,r2_max,simplex_rank
17,0.6666666666666605,0.6666666666666599,6.661338147750939e-16,2.5809568279517847e-08,1.4540424058338183e-15,0.3333333333333309,0.3333333333333296,-2.914335439641036e-16,0.08333333333333214,0.1666666666666657,3
18,0.6666666666666612,0.6666666666666607,4.440892098500626e-16,2.1073424255447017e-08,1.5234163945495236e-15,0.3333333333333313,0.33333333333332993,-2.42861286636753e-16,0.08333333333333212,0.16666666666666585,3
19,0.6666666666666607,0.6666666666666602,5.551115123125783e-16,2.356080457693621e-08,2.1298471646242736e-15,0.3333333333333313,0.33333333333332943,-4.371503159461554e-16,0.083333333333332,0.1666666666666659,3
20,0.6666666666666612,0.6666666666666607,4.440892098500626e-16,2.1073424255447017e-08,2.418825843017496e-15,0.33333333333333165,0.3333333333333295,-5.412337245047638e-16,0.083333333333332,0.16666666666666613,3
21,0.6666666666666611,0.6666666666666605,5.551115123125783e-16,2.356080457693621e-08,2.956914969762111e-15,0.33333333333333187,0.33333333333332915,-6.38378239159465e-16,0.08333333333333194,0.16666666666666624,3
22,0.666666666666661,0.6666666666666603,6.661338147750939e-16,2.5809568279517847e-08,3.1665668170415313e-15,0.33333333333333187,0.33333333333332904,-7.042977312465837e-16,0.08333333333333193,0.16666666666666616,3
23,0.6666666666666592,0.6666666666666585,6.661338147750939e-16,2.5809568279517847e-08,2.8550730758444676e-15,0.33333333333333093,0.3333333333333283,-5.724587470723463e-16,0.08333333333333172,0.16666666666666566,3
24,0.6666666666666587,0.6666666666666581,6.661338147750939e-16,2.5809568279517847e-08,2.569136608901526e-15,0.33333333333333054,0.33333333333332815,-5.377642775528102e-16,0.08333333333333169,0.16666666666666552,3
25,0.6666666666666584,0.6666666666666581,3.3306690738754696e-16,1.8250120749944284e-08,2.740518674273714e-15,0.3333333333333305,0.33333333333332793,-4.926614671774132e-16,0.08333333333333164,0.16666666666666544,3
26,0.6666666666666587,0.6666666666666582,5.551115123125783e-16,2.356080457693621e-08,2.5026337146017325e-15,0.33333333333333054,0.33333333333332815,-3.7470027081099033e-16,0.0833333333333316,0.16666666666666552,3
27,0.6666666666666602,0.6666666666666596,5.551115123125783e-16,2.356080457693621e-08,2.765185663376833e-15,0.3333333333333314,0.33333333333332876,-3.677613769070831e-16,0.0833333333333318,0.166666666666666,3
28,0.666666666666661,0.6666666666666605,4.440892098500626e-16,2.1073424255447017e-08,3.371247900698389e-15,0.33333333333333215,0.3333333333333289,-3.972516759986888e-16,0.08333333333333187,0.16666666666666635,3
29,0.6666666666666616,0.666666666666661,6.661338147750939e-16,2.5809568279517847e-08,3.738061644725004e-15,0.3333333333333326,0.333333333333329,-3.694961003830599e-16,0.08333333333333189,0.1666666666666666,3
