config_id,R_C_over_R_A,coupling_C,C_offset_rad,C_cell_count,C_cell_width,resolved_case_count,fit_case_count,resolution_valid,clock_error,clock_valid,max_relative_contamination,common_mode_ratio,disturbance_valid,closure_valid,gauge_valid,fit_valid,loglog_slope,power_candidate_alpha,power_candidate_alpha_tau_ABC,power_candidate_alpha_tau_AB,power_candidate_alpha_tau_AC,power_candidate_alpha_tau_BC,log_rmse,alpha_classification,alpha_classification_tau_ABC,alpha_classification_tau_AB,alpha_classification_tau_AC,alpha_classification_tau_BC,tau_AB_alpha_delta_from_tau_ABC,tau_AC_alpha_delta_from_tau_ABC,tau_BC_alpha_delta_from_tau_ABC,inverse_term_injected,inverse_square_term_injected,constructed_reciprocal_used_for_success
Rc0.25_eps0.01_off0.01,0.25,0.01,0.01,24,0.2617993877991494,2,2,False,0.250125,True,8.185111359011712e-05,0.0025,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.25_eps0.01_off0.03,0.25,0.01,0.03,24,0.2617993877991494,2,2,False,0.250125,True,0.00024555334077035277,0.0025,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.25_eps0.01_off0.08,0.25,0.01,0.08,24,0.2617993877991494,2,2,False,0.250125,True,0.0006548089087209412,0.0025,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.25_eps0.02_off0,0.25,0.02,0.0,24,0.2617993877991494,2,2,False,0.25025,True,0.0,0.005,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.25_eps0.02_off0.01,0.25,0.02,0.01,24,0.2617993877991494,2,2,False,0.25025,True,0.00016370222718023423,0.005,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.25_eps0.02_off0.03,0.25,0.02,0.03,24,0.2617993877991494,2,2,False,0.25025,True,0.0004911066815407055,0.005,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.25_eps0.02_off0.08,0.25,0.02,0.08,24,0.2617993877991494,2,2,False,0.25025,True,0.0013096178174418823,0.005,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.25_eps0.05_off0,0.25,0.05,0.0,24,0.2617993877991494,2,2,False,0.250625,True,0.0,0.0125,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.25_eps0.05_off0.01,0.25,0.05,0.01,24,0.2617993877991494,2,2,False,0.250625,True,0.0004092555679505884,0.0125,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.25_eps0.05_off0.03,0.25,0.05,0.03,24,0.2617993877991494,2,2,False,0.250625,True,0.0012277667038517652,0.0125,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.25_eps0.05_off0.08,0.25,0.05,0.08,24,0.2617993877991494,2,2,False,0.250625,True,0.0032740445436047045,0.0125,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.25_eps0.1_off0,0.25,0.1,0.0,24,0.2617993877991494,2,2,False,0.25125,True,0.0,0.025,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.25_eps0.1_off0.01,0.25,0.1,0.01,24,0.2617993877991494,2,2,False,0.25125,True,0.0008185111359011768,0.025,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.25_eps0.1_off0.03,0.25,0.1,0.03,24,0.2617993877991494,2,2,False,0.25125,True,0.0024555334077035304,0.025,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.25_eps0.1_off0.08,0.25,0.1,0.08,24,0.2617993877991494,2,2,False,0.25125,True,0.006548089087209409,0.025,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.25_eps0.2_off0,0.25,0.2,0.0,24,0.2617993877991494,2,2,False,0.2525,True,0.0,0.05,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.25_eps0.2_off0.01,0.25,0.2,0.01,24,0.2617993877991494,2,2,False,0.2525,True,0.0016370222718023535,0.05,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.25_eps0.2_off0.03,0.25,0.2,0.03,24,0.2617993877991494,2,2,False,0.2525,True,0.004911066815407061,0.05,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.25_eps0.2_off0.08,0.25,0.2,0.08,24,0.2617993877991494,2,2,False,0.2525,True,0.013096178174418818,0.05,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.5_eps0.01_off0,0.5,0.01,0.0,48,0.1308996938995747,3,3,False,0.12525,True,0.0,0.005,True,True,False,True,1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.8481687612606905,-1.0000000000000002,-1.0000000000000002,7.778579503107599e-17,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606903,0.0,0.0,False,False,False
Rc0.5_eps0.01_off0.01,0.5,0.01,0.01,48,0.1308996938995747,3,3,False,0.12525,True,0.0002864788975654099,0.005,True,True,False,True,0.9998372265592221,-0.9998372265592221,-0.9998372265592221,-1.8480059878199124,-0.9998372265592221,-0.9998372265592219,8.936876258791876e-06,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606903,0.0,2.220446049250313e-16,False,False,False
Rc0.5_eps0.01_off0.03,0.5,0.01,0.03,48,0.1308996938995747,3,3,False,0.12525,True,0.0008594366926962347,0.005,True,True,False,True,0.99951185105501,-0.99951185105501,-0.99951185105501,-1.8476806123157001,-0.9995118510550102,-0.99951185105501,2.6793005162367227e-05,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606902,-2.220446049250313e-16,0.0,False,False,False
Rc0.5_eps0.01_off0.08,0.5,0.01,0.08,48,0.1308996938995747,3,3,False,0.12525,True,0.002291831180523294,0.005,True,True,False,True,0.9986994104980998,-0.9986994104980998,-0.9986994104980998,-1.8468681717587903,-0.9986994104980998,-0.9986994104980998,7.133073351518254e-05,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606904,0.0,0.0,False,False,False
Rc0.5_eps0.02_off0,0.5,0.02,0.0,48,0.1308996938995747,3,3,False,0.1255,True,0.0,0.01,True,True,False,True,1.0000000000000009,-1.0000000000000009,-1.0000000000000009,-1.8481687612606905,-1.0000000000000009,-1.0000000000000009,4.666459889952806e-16,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606896,0.0,0.0,False,False,False
Rc0.5_eps0.02_off0.01,0.5,0.02,0.01,48,0.1308996938995747,3,3,False,0.1255,True,0.0005729577951308198,0.01,True,True,False,True,0.9996745102549349,-0.9996745102549349,-0.9996745102549349,-1.8478432715156254,-0.9996745102549347,-0.9996745102549347,1.7867876473812965e-05,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,-0.8481687612606905,2.220446049250313e-16,2.220446049250313e-16,False,False,False
