N,M,k,residual,star_span_trivial,star_span_error,edges
6,15,5,5.532705272642332e-08,True,6.576209841145971e-16,"1-5,2-5,3-5,4-5,5-6"
6,15,5,5.060148816046001e-09,False,1.4142135623730951,"1-5,2-6,3-5,4-6,5-6"
6,15,5,8.574736944760385e-09,False,1.4142135623730951,"1-5,3-4,3-5,4-6,5-6"
6,15,5,8.44973904220828e-09,False,1.0,"1-5,3-5,4-5,4-6,5-6"
6,15,5,8.506766603894675e-09,False,1.0,"1-6,2-3,2-6,3-6,5-6"
6,15,5,5.0021298764672765e-09,False,1.4142135623730951,"1-6,2-3,3-4,3-6,5-6"
6,15,5,4.947588448428177e-09,False,1.5811388300841898,"1-6,2-3,3-6,4-5,5-6"
6,15,5,8.449718466036575e-09,False,1.0,"1-6,2-5,2-6,3-6,5-6"
6,15,5,5.117465135251214e-09,False,1.5811388300841898,"1-6,2-5,3-4,3-6,5-6"
6,15,5,5.060004757710685e-09,False,1.4142135623730951,"1-6,2-5,3-6,4-5,5-6"
6,15,5,5.5327191958395004e-08,True,3.546665645986775e-16,"1-6,2-6,3-6,4-6,5-6"
6,15,5,5.35595826356724e-08,False,1.0,"1-6,3-4,3-6,4-6,5-6"
6,15,5,5.359208998485127e-08,False,1.0,"1-6,3-6,4-5,4-6,5-6"
6,15,5,5.859761866885842e-08,False,1.0,"2-3,2-4,2-5,2-6,3-4"
6,15,5,5.856304569191767e-08,False,1.0,"2-3,2-4,2-5,2-6,4-5"
6,15,5,6.038573264227183e-08,False,1.0,"2-3,2-4,2-5,3-4,4-5"
6,15,5,2.8219417793238087e-11,False,0.9999999999999999,"2-3,2-4,2-6,3-4,4-6"
6,15,5,1.3498943873768015e-10,False,1.224744871391589,"2-3,2-4,2-6,4-5,4-6"
6,15,5,8.34053831644646e-09,False,1.0,"2-3,2-4,3-4,4-5,4-6"
6,15,5,5.349980617927745e-08,False,1.0,"2-3,2-6,3-5,3-6,5-6"
6,15,5,5.5270461155561104e-08,False,1.0,"2-3,3-4,3-5,3-6,5-6"
6,15,5,5.521483764144966e-08,False,1.2247448713915892,"2-3,3-5,3-6,4-5,5-6"
6,15,5,1.6880479146171268e-10,False,1.2247448713915892,"2-4,2-5,2-6,3-4,4-6"
6,15,5,6.157473699786551e-11,False,0.9999999999999999,"2-4,2-5,2-6,4-5,4-6"
6,15,5,8.466677688076132e-09,False,1.0,"2-4,2-5,3-4,4-5,4-6"
6,15,5,5.35975176992341e-08,False,1.0,"2-5,2-6,3-5,3-6,5-6"
6,15,5,5.538432089692856e-08,False,1.224744871391589,"2-5,3-4,3-5,3-6,5-6"
6,15,5,5.53284311037546e-08,False,0.9999999999999999,"2-5,3-5,3-6,4-5,5-6"
6,15,5,5.058759044673409e-09,False,1.0,"2-6,3-5,3-6,4-6,5-6"
6,15,5,8.547520948509113e-09,False,1.0,"3-4,3-5,3-6,4-6,5-6"
6,15,5,8.42261372237009e-09,False,1.0,"3-5,3-6,4-5,4-6,5-6"
