族ID,分解能N,基底波長,利用可能な奇数倍音次数,利用可能な偶数倍音次数,選択する奇数倍音数,選択する偶数倍音数,波長・倍音構成数,各構成の位相数,位相込み波形数,反射率R（等振幅）,theta/pi,有限位数閉鎖,実回転周期,閉鎖住所,共役住所,住所電荷量sin2(pi*m/n),粒子・反粒子,巻数・被覆から読むスピン,共役方向を区別した候補状態数
N300-F043,300,20lambda0,5,"20,10,4,2",1,1,4,8,32,1/4,1/6,成立,12,+1/3,-1/3 (=2/3),0.75,粒子・反粒子の共役方向対（+住所 / -住所）,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,64
N300-F044,300,20lambda0,5,"20,10,4,2",1,2,6,16,96,1/6,0.133860236401（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,96
N300-F045,300,20lambda0,5,"20,10,4,2",1,3,4,32,128,1/8,0.115026728081（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,128
N300-F046,300,20lambda0,5,"20,10,4,2",1,4,1,64,64,1/10,0.10241638235（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,64
N300-F047,300,25lambda0,"25,5",なし,0,0,1,2,2,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,内部倍音なし（スピン型未分類）,2
N300-F048,300,25lambda0,"25,5",なし,1,0,2,4,8,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,16
N300-F049,300,25lambda0,"25,5",なし,2,0,1,8,8,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,16
N300-F050,300,30lambda0,"15,5,3","30,10,6,2",0,0,1,2,2,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,内部倍音なし（スピン型未分類）,2
N300-F051,300,30lambda0,"15,5,3","30,10,6,2",0,1,4,4,16,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,16
N300-F052,300,30lambda0,"15,5,3","30,10,6,2",0,2,6,8,48,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,48
N300-F053,300,30lambda0,"15,5,3","30,10,6,2",0,3,4,16,64,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,64
N300-F054,300,30lambda0,"15,5,3","30,10,6,2",0,4,1,32,32,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,32
N300-F055,300,30lambda0,"15,5,3","30,10,6,2",1,0,3,4,12,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,24
N300-F056,300,30lambda0,"15,5,3","30,10,6,2",1,1,12,8,96,1/4,1/6,成立,12,+1/3,-1/3 (=2/3),0.75,粒子・反粒子の共役方向対（+住所 / -住所）,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,192
N300-F057,300,30lambda0,"15,5,3","30,10,6,2",1,2,18,16,288,1/6,0.133860236401（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,288
N300-F058,300,30lambda0,"15,5,3","30,10,6,2",1,3,12,32,384,1/8,0.115026728081（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,384
N300-F059,300,30lambda0,"15,5,3","30,10,6,2",1,4,3,64,192,1/10,0.10241638235（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,192
N300-F060,300,30lambda0,"15,5,3","30,10,6,2",2,0,3,8,24,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,48
N300-F061,300,30lambda0,"15,5,3","30,10,6,2",2,1,12,16,192,1/3,0.195913276015（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,192
N300-F062,300,30lambda0,"15,5,3","30,10,6,2",2,2,18,32,576,1/4,1/6,成立,12,+1/3,-1/3 (=2/3),0.75,粒子・反粒子の共役方向対（+住所 / -住所）,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,1152
N300-F063,300,30lambda0,"15,5,3","30,10,6,2",2,3,12,64,768,1/5,0.14758361765（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,768
N300-F064,300,30lambda0,"15,5,3","30,10,6,2",2,4,3,128,384,1/6,0.133860236401（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,384
N300-F065,300,30lambda0,"15,5,3","30,10,6,2",3,0,1,16,16,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,32
N300-F066,300,30lambda0,"15,5,3","30,10,6,2",3,1,4,32,128,3/8,0.209784688372（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,128
N300-F067,300,30lambda0,"15,5,3","30,10,6,2",3,2,6,64,384,3/10,0.184505059783（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,384
N300-F068,300,30lambda0,"15,5,3","30,10,6,2",3,3,4,128,512,1/4,1/6,成立,12,+1/3,-1/3 (=2/3),0.75,粒子・反粒子の共役方向対（+住所 / -住所）,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,1024
N300-F069,300,30lambda0,"15,5,3","30,10,6,2",3,4,1,256,256,3/14,0.153194709503（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,256
N300-F070,300,50lambda0,"25,5","50,10,2",0,0,1,2,2,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,内部倍音なし（スピン型未分類）,2
N300-F071,300,50lambda0,"25,5","50,10,2",0,1,3,4,12,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,12
N300-F072,300,50lambda0,"25,5","50,10,2",0,2,3,8,24,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,24
N300-F073,300,50lambda0,"25,5","50,10,2",0,3,1,16,16,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,16
N300-F074,300,50lambda0,"25,5","50,10,2",1,0,2,4,8,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,16
N300-F075,300,50lambda0,"25,5","50,10,2",1,1,6,8,48,1/4,1/6,成立,12,+1/3,-1/3 (=2/3),0.75,粒子・反粒子の共役方向対（+住所 / -住所）,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,96
N300-F076,300,50lambda0,"25,5","50,10,2",1,2,6,16,96,1/6,0.133860236401（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,96
N300-F077,300,50lambda0,"25,5","50,10,2",1,3,2,32,64,1/8,0.115026728081（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,64
N300-F078,300,50lambda0,"25,5","50,10,2",2,0,1,8,8,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,16
N300-F079,300,50lambda0,"25,5","50,10,2",2,1,3,16,48,1/3,0.195913276015（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,48
N300-F080,300,50lambda0,"25,5","50,10,2",2,2,3,32,96,1/4,1/6,成立,12,+1/3,-1/3 (=2/3),0.75,粒子・反粒子の共役方向対（+住所 / -住所）,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,192
N300-F081,300,50lambda0,"25,5","50,10,2",2,3,1,64,64,1/5,0.14758361765（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,64
N300-F082,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",0,0,1,2,2,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,内部倍音なし（スピン型未分類）,2
N300-F083,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",0,1,8,4,32,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,32
N300-F084,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",0,2,28,8,224,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,224
N300-F085,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",0,3,56,16,896,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,896
N300-F086,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",0,4,70,32,2240,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,2240
N300-F087,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",0,5,56,64,3584,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,3584
N300-F088,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",0,6,28,128,3584,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,3584
N300-F089,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",0,7,8,256,2048,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,2048
N300-F090,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",0,8,1,512,512,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,512
N300-F091,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",1,0,3,4,12,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,24
N300-F092,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",1,1,24,8,192,1/4,1/6,成立,12,+1/3,-1/3 (=2/3),0.75,粒子・反粒子の共役方向対（+住所 / -住所）,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,384
N300-F093,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",1,2,84,16,1344,1/6,0.133860236401（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,1344
N300-F094,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",1,3,168,32,5376,1/8,0.115026728081（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,5376
N300-F095,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",1,4,210,64,13440,1/10,0.10241638235（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,13440
N300-F096,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",1,5,168,128,21504,1/12,0.0932147493387（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,21504
N300-F097,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",1,6,84,256,21504,1/14,0.0861186642608（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,21504
N300-F098,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",1,7,24,512,12288,1/16,0.0804306232552（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,12288
N300-F099,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",1,8,3,1024,3072,1/18,0.0757390123631（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,3072
N300-F100,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",2,0,3,8,24,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,48
N300-F101,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",2,1,24,16,384,1/3,0.195913276015（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,384
N300-F102,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",2,2,84,32,2688,1/4,1/6,成立,12,+1/3,-1/3 (=2/3),0.75,粒子・反粒子の共役方向対（+住所 / -住所）,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,5376
N300-F103,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",2,3,168,64,10752,1/5,0.14758361765（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,10752
N300-F104,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",2,4,210,128,26880,1/6,0.133860236401（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,26880
N300-F105,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",2,5,168,256,43008,1/7,0.123375857214（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,43008
N300-F106,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",2,6,84,512,43008,1/8,0.115026728081（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,43008
N300-F107,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",2,7,24,1024,24576,1/9,0.108173447969（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,24576
N300-F108,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",2,8,3,2048,6144,1/10,0.10241638235（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,6144
N300-F109,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",3,0,1,16,16,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,32
N300-F110,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",3,1,8,32,256,3/8,0.209784688372（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,256
N300-F111,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",3,2,28,64,1792,3/10,0.184505059783（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,1792
N300-F112,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",3,3,56,128,7168,1/4,1/6,成立,12,+1/3,-1/3 (=2/3),0.75,粒子・反粒子の共役方向対（+住所 / -住所）,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,14336
N300-F113,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",3,4,70,256,17920,3/14,0.153194709503（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,17920
N300-F114,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",3,5,56,512,28672,3/16,0.142549479296（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,28672
N300-F115,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",3,6,28,1024,28672,1/6,0.133860236401（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,28672
N300-F116,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",3,7,8,2048,16384,3/20,0.126591655553（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,16384
N300-F117,300,60lambda0,"15,5,3","60,30,20,12,10,6,4,2",3,8,1,4096,4096,3/22,0.120393772853（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,4096
N300-F118,300,75lambda0,"75,25,15,5,3",なし,0,0,1,2,2,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,内部倍音なし（スピン型未分類）,2
N300-F119,300,75lambda0,"75,25,15,5,3",なし,1,0,5,4,20,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,40
