fd_eps,rank,eig_re,eig_im,modulus,log_modulus_per_step
1e-06,17,0.9993335037029036,0.0025497006329881127,0.9993367563521514,-0.0006634636912171398
1e-06,18,0.9993335037029036,-0.0025497006329881127,0.9993367563521514,-0.0006634636912171398
1e-06,19,0.9982712713669329,0.0,0.9982712713669329,-0.0017302246087497165
1e-06,20,0.9982712705852799,0.0,0.9982712705852799,-0.0017302253917563985
3e-07,1,1.0017772784290178,0.0,1.0017772784290178,0.0017757009385272842
3e-07,2,1.0017772760428856,0.0,1.0017772760428856,0.001775698556628398
3e-07,3,1.0006018439874835,-0.0026898154755597794,1.000605459358705,0.0006052761421372457
3e-07,4,1.0006018439874835,0.0026898154755597794,1.000605459358705,0.0006052761421372457
3e-07,5,0.9999999981743917,1.5786973512407614e-08,0.9999999981743917,-1.8256083328404897e-09
3e-07,6,0.9999999981743917,-1.5786973512407614e-08,0.9999999981743917,-1.8256083328404897e-09
3e-07,7,0.9999998920580694,0.0,0.9999998920580694,-1.0794193644175959e-07
3e-07,8,0.9995327013420668,-0.030553395824911313,0.9999995655242072,-4.344758871722932e-07
3e-07,9,0.9995327013420668,0.030553395824911313,0.9999995655242072,-4.344758871722932e-07
3e-07,10,0.9999987117900152,0.0,0.9999987117900152,-1.2882108145387026e-06
3e-07,11,0.9999986033672565,0.0,0.9999986033672565,-1.3966337187480017e-06
3e-07,12,0.9998978645395996,-0.010215304981515022,0.9999500447355941,-4.995651221165391e-05
3e-07,13,0.9998978645395996,0.010215304981515022,0.9999500447355941,-4.995651221165391e-05
3e-07,14,0.9998978641671792,-0.010215304475985735,0.9999500443580288,-4.995688979582865e-05
3e-07,15,0.9998978641671792,0.010215304475985735,0.9999500443580288,-4.995688979582865e-05
3e-07,16,0.9999274254176366,0.0,0.9999274254176366,-7.25772160258552e-05
3e-07,17,0.9993335012901012,-0.0025496976299291536,0.9993367539316947,-0.0006634661132801736
3e-07,18,0.9993335012901012,0.0025496976299291536,0.9993367539316947,-0.0006634661132801736
3e-07,19,0.9982712712179916,0.0,0.9982712712179916,-0.0017302247579489452
3e-07,20,0.9982712700856095,0.0,0.9982712700856095,-0.0017302258922921056
1e-07,1,1.0017772790752284,0.0,1.0017772790752284,0.0017757015835914657
1e-07,2,1.0017772753801932,0.0,1.0017772753801932,0.00177569789511175
1e-07,3,1.0006018373449013,0.0026898451261985028,1.0006054527958537,0.0006052695832569862
1e-07,4,1.0006018373449013,-0.0026898451261985028,1.0006054527958537,0.0006052695832569862
1e-07,5,1.000000085595112,0.0,1.000000085595112,8.559510844599878e-08
1e-07,6,0.9999998615198926,0.0,0.9999998615198926,-1.3848011696952686e-07
1e-07,7,0.999999737940984,0.0,0.999999737940984,-2.620590503803959e-07
1e-07,8,0.9995327015338182,-0.03055339662309438,0.9999995657402563,-4.3425983801092325e-07
1e-07,9,0.9995327015338182,0.03055339662309438,0.9999995657402563,-4.3425983801092325e-07
1e-07,10,0.9999987465711897,2.3388420914823825e-08,0.9999987465711899,-1.2534295956199424e-06
1e-07,11,0.9999987465711897,-2.3388420914823825e-08,0.9999987465711899,-1.2534295956199424e-06
1e-07,12,0.9998978651558269,-0.010215303757417629,0.9999500453392842,-4.995590849139718e-05
