N,iteration,sigma,sigma2,chi,norm2,r2,Nr2,phase_mix_rms,identity_error
4,391,1.4142135623730945,1.9999999999999984,0.47140452079103146,0.6666666666666659,0.11111111111111098,0.4444444444444439,0.8700624708451782,2.220446049250313e-16
4,392,1.4142135623730951,2.0000000000000004,0.47140452079103157,0.6666666666666667,0.11111111111111112,0.4444444444444445,1.0087976860055248,2.220446049250313e-16
4,393,1.4142135623730954,2.000000000000001,0.4714045207910318,0.6666666666666672,0.1111111111111112,0.4444444444444448,0.7122654568325637,2.220446049250313e-16
4,394,1.4142135623730967,2.000000000000005,0.4714045207910319,0.666666666666667,0.11111111111111116,0.44444444444444464,1.3063307007075031,7.771561172376096e-16
4,395,1.4142135623730934,1.9999999999999953,0.47140452079103107,0.666666666666665,0.11111111111111083,0.4444444444444433,1.0904412484270607,0.0
4,396,1.4142135623730954,2.000000000000001,0.4714045207910317,0.6666666666666674,0.11111111111111123,0.4444444444444449,0.5647068948868236,5.551115123125783e-16
4,397,1.4142135623730947,1.9999999999999991,0.47140452079103135,0.6666666666666661,0.11111111111111101,0.44444444444444403,0.9953365142949774,0.0
4,398,1.4142135623730951,2.0000000000000004,0.4714045207910317,0.666666666666667,0.11111111111111116,0.44444444444444464,0.9882708242958458,2.220446049250313e-16
4,399,1.4142135623730923,1.999999999999992,0.47140452079103057,0.6666666666666632,0.11111111111111054,0.44444444444444214,0.6204832620007926,5.551115123125783e-16
4,400,1.4142135623730951,2.0000000000000004,0.471404520791032,0.6666666666666681,0.11111111111111134,0.44444444444444536,0.5713966308584593,8.881784197001252e-16
