N,delta_seed,self_residual,sigma_gen,Kphi_plus_2Ktheta_rel,sin_theta_quant_error,sin_phi_quant_error,cube_delta_spread,midpoint_identity_error
5,1,4.031886218731381e-15,1.8708286933869702,6.354888748958545e-16,6.661338147750939e-16,1.2212453270876722e-15,4.555974381910842e-15,0.0
5,3,3.820529053275771e-15,1.8708286933869704,6.630467241787672e-16,5.66553889764798e-16,1.6653345369377348e-15,7.609685987206036e-15,1.5700924586837752e-16
5,4,1.597332773821476e-15,2.0,4.602741507868934e-16,5.66553889764798e-16,9.992007221626409e-16,4.201647800831379e-15,2.482534153247273e-16
5,7,1.5100665727558131e-15,2.0000000000000004,4.81141122037335e-16,3.3306690738754696e-16,2.220446049250313e-16,1.336885555457667e-15,2.482534153247273e-16
5,8,3.875027618013173e-15,1.8708286933869722,1.6751677304318585e-15,2.220446049250313e-15,5.995204332975845e-15,1.532962326941742e-14,8.455206652451151e-16
5,10,3.765717732579242e-15,1.870828693386971,1.4462522312829653e-15,1.4432899320127035e-15,1.7763568394002505e-15,9.972868384575616e-15,8.005932084973443e-16
6,0,1.2990874537927439e-14,2.4494897427831863,1.5032206107314854e-15,1.1102230246251565e-15,1.7763568394002505e-15,8.656358445227592e-15,0.0
6,3,4.746111350022519e-15,2.4341560317870887,1.326569405591517e-15,1.1102230246251565e-15,1.6653345369377348e-15,1.8269832252148366e-14,4.0412728104402656e-16
6,4,6.302879780176684e-15,2.4374968062204467,7.601177430610147e-16,8.326672684688674e-16,2.3429107291650482e-15,9.985837411083436e-15,7.021666937153402e-16
6,5,1.134038007786261e-14,2.437496806220445,1.6734103319685346e-15,1.2212453270876722e-15,1.0106430996148606e-15,1.0287401071993663e-14,7.021666937153402e-16
6,6,1.3180828846225273e-14,2.434156031787089,1.1280440210728707e-15,1.2212453270876722e-15,3.1086244689504383e-15,1.5494275077321728e-14,4.577566798522237e-16
6,7,6.298091157191131e-15,2.4296025502167113,2.719456304322127e-15,2.0539125955565396e-15,3.9968028886505635e-15,9.971014289486082e-15,4.965068306494546e-16
6,9,4.819141066887686e-15,2.437496806220448,6.882537100756108e-16,5.66553889764798e-16,1.0106430996148606e-15,3.579070444418269e-15,4.47545209131181e-16
6,10,3.100036780678728e-15,2.429602550216719,8.145445757240072e-16,1.1102230246251565e-15,1.8988215193149856e-15,7.527443105585587e-15,4.0029660424867215e-16
6,11,2.096262568477438e-15,2.437496806220444,5.28976579536241e-16,7.771561172376096e-16,1.4547323094649232e-15,6.0402662910232525e-15,4.965068306494546e-16
6,13,2.4100642820209702e-14,2.4341560317870954,1.5945169542060076e-15,1.4547323094649232e-15,3.2310891488651735e-15,2.7946598281573466e-14,6.758924343478424e-16
6,14,1.300275348271513e-14,2.437496806220449,2.7771607540321345e-15,1.9984014443252818e-15,2.4424906541753444e-15,1.9122040607882153e-14,8.671119018262734e-16
6,16,1.2720487268750047e-14,2.4341560317870767,1.414990024765182e-15,1.2212453270876722e-15,3.675178358715236e-15,1.3824505840330972e-14,4.308824046522781e-16
6,17,6.3713002922871365e-15,2.449489742783168,3.437298914708173e-15,1.942890293094024e-15,1.4547323094649232e-15,8.288095590209394e-15,4.710277376051326e-16
6,18,1.0568460790673249e-14,2.4374968062204467,1.35267107755518e-15,1.7763568394002505e-15,4.551914400963142e-15,1.0201523965509477e-14,4.965068306494546e-16
6,19,3.304605844397033e-14,2.434156031787064,1.058034063990512e-15,5.551115123125783e-16,1.0106430996148606e-15,2.1069754528732307e-14,2.482534153247273e-16
7,0,8.924061338820808e-15,2.9004990655055782,3.5466369496724517e-15,2.7755575615628914e-15,5.007445988265424e-15,1.6268840144684364e-14,9.550499576785472e-16
7,1,9.095017211931698e-15,2.9694478774751047,4.356608727202411e-15,2.831068712794149e-15,2.220446049250313e-15,2.033406127414312e-14,2.482534153247273e-16
7,2,7.787151968246781e-15,2.870452665844048,1.234571859274534e-15,1.1102230246251565e-15,2.6645352591003757e-15,1.2165050633956077e-14,2.482534153247273e-16
7,5,3.592121180022659e-15,2.9695097531160655,9.130399130194885e-16,1.1934897514720433e-15,2.55351295663786e-15,9.958992934833014e-15,6.955527313080394e-16
7,6,6.861765704625496e-15,2.90486306445631,9.770856221261857e-16,1.4547323094649232e-15,5.007445988265424e-15,1.7269946494756806e-14,4.710277376051326e-16
7,7,8.334501224722536e-15,2.9695007732548397,1.4703273700954873e-15,1.2212453270876722e-15,2.3429107291650482e-15,8.640502827277028e-15,6.473657049138937e-16
7,9,1.2198143331704418e-14,2.969447877475109,1.7407886580456102e-15,1.27675647831893e-15,2.786999939015111e-15,1.717942333624185e-14,1.1102230246251565e-15
7,10,1.1557384457443187e-14,2.870452665844049,2.2529436661274653e-15,3.675178358715236e-15,1.12246949261663e-14,2.8005925950837453e-14,4.47545209131181e-16
7,12,7.178692794440064e-15,2.9137213689526003,1.6271333857481293e-15,3.2310891488651735e-15,9.44833808676605e-15,2.0648712004517656e-14,4.47545209131181e-16
7,15,8.635540221266656e-15,2.870452665844047,2.1372974015276756e-15,3.552713678800501e-15,1.021405182655144e-14,2.2715119673309275e-14,8.671119018262734e-16
7,16,3.537937802528687e-15,2.828427124746193,9.039909229015655e-16,1.1102230246251565e-15,3.4416913763379853e-15,1.1547386928896042e-14,2.498001805406602e-16
7,18,9.769472143489983e-15,2.9048630644563005,1.915000627877847e-15,1.887379141862766e-15,1.4547323094649232e-15,5.332543351079039e-15,6.473657049138937e-16
8,0,9.262003207802344e-15,3.4054512557782814,1.7310049677487367e-15,3.675178358715236e-15,1.0658141036401503e-14,2.9787513408316264e-14,4.47545209131181e-16
8,1,1.364762898365273e-14,3.45194810657382,1.3258675105650098e-15,1.2212453270876722e-15,1.8988215193149856e-15,9.766177032077493e-15,4.440892098500626e-16
8,2,1.3989975788093019e-14,3.4079017465573482,1.7759969400927574e-15,1.9984014443252818e-15,5.895624407965549e-15,1.9484967604307175e-14,4.710277376051326e-16
8,3,1.411606002703259e-14,3.4018392368434514,2.3669474135075706e-15,5.007445988265424e-15,1.6553765444367052e-14,5.5255879125646546e-14,2.482534153247273e-16
8,5,2.1342125532307378e-14,3.454393762066108,3.1552771445921755e-15,2.6645352591003757e-15,3.552713678800501e-15,1.0161421993128915e-14,4.577566798522237e-16
8,6,1.3383839885080435e-14,3.4097068999708218,4.418638339165817e-15,5.4515351981154865e-15,1.4210854715202004e-14,6.805160005504348e-14,4.710277376051326e-16
8,7,1.5108285894708218e-14,3.455612886249667,2.3341446229496247e-15,3.675178358715236e-15,8.560159667065925e-15,2.7950967128680773e-14,1.7342238036525468e-15
8,8,2.9230608356378526e-14,3.4518338900360197,1.1640395235444713e-15,1.2212453270876722e-15,2.3429107291650482e-15,1.2687698721345824e-14,4.0029660424867215e-16
8,9,5.8825753653175554e-15,3.4103591381954366,7.333830974450298e-16,1.3322676295501878e-15,3.9968028886505635e-15,9.79642074947752e-15,4.965068306494546e-16
8,10,5.563323151089978e-15,3.4552715291803153,6.458516293405699e-16,5.66553889764798e-16,1.7763568394002505e-15,5.990319417512139e-15,6.497413668604471e-16
8,11,2.260786783685187e-14,3.453109874200313,1.2515938714694015e-15,1.2212453270876722e-15,2.3314683517128287e-15,1.1939415009277702e-14,4.440892098500626e-16
8,12,4.752672318216768e-15,3.406955551129916,9.069512564214807e-16,1.3322676295501878e-15,3.1086244689504383e-15,7.93945317435757e-15,6.473657049138937e-16
8,13,4.372362297068695e-15,3.4519477547175854,6.898530925190421e-16,7.216449660063518e-16,1.8988215193149856e-15,1.0728023675806751e-14,4.0029660424867215e-16
8,14,2.922702902238771e-14,3.401690390601926,5.09194798867735e-15,4.119267568565299e-15,1.47774086049668e-14,3.8189735562503204e-14,6.206335383118183e-16
8,15,1.0479507932860845e-14,3.4531098742003152,1.2056914704946229e-15,1.0106430996148606e-15,3.675178358715236e-15,1.1831560878506156e-14,1.5100665727558131e-15
8,16,1.3420806731185735e-14,3.4519480993970926,1.5847943531079949e-15,2.220446049250313e-15,6.661338147750939e-15,2.4490674407874003e-14,6.4796043696850615e-16
8,17,2.237856769324604e-14,3.406436632226133,3.2801960959178162e-15,6.5503158452884236e-15,1.9539925233402755e-14,4.195321130812894e-14,1.7422013638940487e-15
8,18,5.835059377774599e-15,3.45317663911044,1.107433119633636e-15,1.4547323094649232e-15,2.786999939015111e-15,9.820925191391734e-15,4.47545209131181e-16
8,19,1.4497060217382248e-14,3.4544027953853247,1.3076823764283997e-15,1.4547323094649232e-15,3.675178358715236e-15,1.1519065476352803e-14,4.710277376051326e-16
9,0,2.3195766326997998e-14,3.8504159872214285,2.847273115088354e-15,7.105427357601002e-15,1.6930901125533637e-14,5.1511118066579514e-14,4.577566798522237e-16
9,1,6.409587373850605e-15,3.9260663697256155,8.330636823301569e-16,1.2212453270876722e-15,2.886579864025407e-15,8.646919837316583e-15,7.108895957933346e-16
9,2,7.332296336698038e-15,3.92385528689878,1.1891386719432735e-15,1.5543122344752192e-15,3.3306690738754696e-15,1.3278657246444017e-14,4.710277376051326e-16
9,3,1.8718165819799248e-14,3.9245817304710275,2.4366215891658997e-15,1.942890293094024e-15,3.9968028886505635e-15,1.2825358657371926e-14,7.027150473277823e-16
9,4,2.8958668286617716e-13,3.8959150055053455,5.303825391663937e-14,9.56016447976782e-14,2.2470914018413168e-13,5.648619589530481e-13,1.542371118540254e-15
9,5,2.5106751008240634e-14,3.9280263541490417,1.3455423445078497e-15,1.27675647831893e-15,2.786999939015111e-15,1.7822105597158097e-14,8.671119018262734e-16
9,6,2.801930505443246e-14,3.9265180863389326,1.2168940078200705e-15,1.0106430996148606e-15,3.774758283725532e-15,8.890280278469355e-15,1.1801832636420706e-15
9,7,1.8475249919315153e-14,3.9238548074741644,1.3930502584589383e-15,1.7763568394002505e-15,3.675178358715236e-15,1.4599010629685458e-14,4.965068306494546e-16
9,8,1.662275502628025e-14,3.9654257297282802,1.936631017575466e-15,2.6645352591003757e-15,8.43769498715119e-15,3.1920794454546046e-14,6.938893903907228e-16
9,9,2.2691709318912202e-14,3.8910844925388015,4.241416600196163e-15,3.497202527569243e-15,6.217248937900877e-15,2.260987656946636e-14,4.3021142204224816e-16
9,10,6.123198661519638e-15,3.9627349322918013,1.2602910033709908e-15,1.2212453270876722e-15,1.8988215193149856e-15,5.990319417512139e-15,6.497413668604471e-16
9,11,1.3142362023443116e-14,3.8830232675840164,1.460354498152256e-15,1.8988215193149856e-15,5.4515351981154865e-15,1.9111502621853897e-14,6.758924343478424e-16
9,12,8.005377683322273e-15,3.9252540120402255,1.8931081540755963e-15,2.7755575615628914e-15,5.662137425588298e-15,2.136970244204297e-14,7.447602459741819e-16
9,13,9.047190252749707e-15,3.8909181653973692,1.0476487659929544e-15,1.8988215193149856e-15,4.563356778415361e-15,1.865306846095415e-14,6.473657049138937e-16
9,14,1.5097271952533124e-14,3.884656046988842,2.413477126946707e-15,3.219646771412954e-15,5.895624407965549e-15,2.22335847466341e-14,6.473657049138937e-16
9,15,1.6251072515972745e-14,3.8467609862736314,3.4299529227510466e-15,5.895624407965549e-15,1.6997854654217115e-14,7.058567577985654e-14,8.617648093045562e-16
9,16,1.0158460244568718e-14,3.9285211258369888,5.028274284287983e-15,3.4416913763379853e-15,3.1086244689504383e-15,1.1533101303602602e-14,4.577566798522237e-16
9,17,7.434244195391254e-15,3.8845879211003584,1.247055155977643e-15,1.7208456881689926e-15,4.218847493575595e-15,1.311100652125129e-14,4.0029660424867215e-16
9,18,2.482376283610035e-14,3.924624085202005,1.5721588545871371e-15,1.2212453270876722e-15,4.274358644806853e-15,1.2229725211024048e-14,4.710277376051326e-16
9,19,8.711020770910944e-15,3.925369989682129,2.0332112768722236e-15,2.5673907444456745e-15,5.773159728050814e-15,2.023227258861052e-14,8.455206652451151e-16
10,0,2.699868261728257e-14,4.463162887008635,2.5473480004870694e-15,1.887379141862766e-15,5.007445988265424e-15,1.3722374549129038e-14,1.1801832636420706e-15
10,1,9.84064061436072e-15,4.463872060329791,8.681241261467499e-16,1.1102230246251565e-15,2.220446049250313e-15,8.530675149520015e-15,8.95090418262362e-16
10,2,1.2944529907697525e-14,4.407049498261608,2.2759606543833323e-15,2.6645352591003757e-15,8.116070457215862e-15,3.157752170188535e-14,7.021666937153402e-16
10,3,1.8409146470266964e-14,4.4327677448683245,1.3269301099425988e-15,1.2212453270876722e-15,3.675178358715236e-15,1.1988995606245352e-14,4.710277376051326e-16
10,5,1.1175987447845325e-14,4.401519516906428,3.0142358480730737e-15,2.3314683517128287e-15,4.563356778415361e-15,1.2914547347233454e-14,5.551115123125783e-16
10,6,2.3484535050190473e-14,4.4012456103898305,3.5500242820103758e-15,3.4416913763379853e-15,4.440892098500626e-15,1.7512564037544145e-14,1.130575599193137e-14
10,7,1.7508571647210133e-14,4.437319984438969,2.2040863907439922e-15,2.4424906541753444e-15,5.10702591327572e-15,2.171330583734304e-14,1.355199909595506e-15
10,10,2.850839678823934e-13,4.4635223815701135,4.478793361268337e-14,8.232303727595536e-14,1.5776269179923474e-13,4.755968962413629e-13,7.108895957933346e-16
10,11,9.14900369599673e-15,4.435763884204219,9.86748379543082e-16,1.2212453270876722e-15,2.786999939015111e-15,7.781863557487803e-15,7.108895957933346e-16
10,12,1.2633150602126144e-14,4.371886532218319,1.4751617835609674e-15,1.5543122344752192e-15,2.786999939015111e-15,1.2407984098246496e-14,4.710277376051326e-16
10,13,8.47380698728446e-15,4.43787065649367,7.468886733082042e-16,1.0106430996148606e-15,2.3429107291650482e-15,8.646919837316583e-15,4.47545209131181e-16
10,14,3.189680393440241e-14,4.433419346561782,3.4500445398345793e-15,5.773159728050814e-15,1.5987211554602254e-14,4.489750696723112e-14,8.95090418262362e-16
10,15,1.6988010883170546e-14,4.462627649572202,1.1078178272901544e-15,1.8988215193149856e-15,4.119267568565299e-15,1.0854807840475833e-14,7.021666937153402e-16
10,16,1.4281193216266703e-14,4.433235393037594,1.114392549455265e-15,1.3322676295501878e-15,3.2310891488651735e-15,8.021313332746002e-15,6.473657049138937e-16
10,18,2.954937772650213e-14,4.40572453093515,1.8475155883049202e-15,1.942890293094024e-15,3.774758283725532e-15,1.1569914275507897e-14,4.710277376051326e-16
