N,seed,beta,sigma0,sigma1,proj_cycle_spread,output_projective_spread,cube_spread,K_best_scalar,K_relerr
5,40265723,0.75,3.3310214270656298,3.3394715389397245,0.9654446836605682,1.2159991379662793,1.1064699788779326,-1.1723490047997946,0.15415906683864739
6,40266721,0.75,4.763432234393756,4.567107294078679,0.6668462883613601,1.0677843559760158,1.2464202520559189,-1.0284786718750485,0.10635835229294528
6,40266722,0.75,4.67356800805667,4.5780860262200225,0.7109759295125033,1.2490748846019022,1.2146029277669272,-1.0457923324283158,0.1220804573642507
6,40266723,0.75,4.46919885579557,4.200476944173175,0.3740743570796074,1.3073501844031519,1.2514169765927694,-1.0924802660937578,0.1501947278502718
7,40267721,0.75,5.414456215531016,5.944769629406436,1.100717813412024,1.0145266219630522,1.1127122031680152,-1.0680579207966854,0.15902081233610163
7,40267722,0.75,5.453327974426539,5.661477750123289,1.0796733899736664,1.103141613823422,1.0925657113929717,-1.067766823924859,0.14839940761551498
7,40267723,0.75,5.449316452726382,5.631843635965301,0.8745344330467526,1.091181629669864,1.2153980117029761,-1.074388780581284,0.14062278179358084
8,40268721,0.75,6.860700858978102,6.545328740826902,1.0826969089491825,1.1185081733508428,1.1509799439832935,-1.0112333370243414,0.07416957132573561
8,40268722,0.75,6.507007640758896,6.4584861260850195,0.46379105984063146,1.1590211638679546,1.1738835345813188,-1.0509687386145081,0.13086471881834552
8,40268723,0.75,6.414215211801154,6.68840081831123,1.0627555083111397,1.0434828685718893,1.1115318494209483,-1.0546062785758112,0.1504340963605492
