N,delta,converged,corrected_residual,sigma_gen,sigma_self,sigma_ratio,yself_norm2,norm2
5,4,True,1.5423711185402538e-15,2.0000000000000004,3.999999999999999,1.9999999999999991,0.25000000000000006,1.0
5,5,False,0.3623179376431516,1.8889806023965043,3.910092193440758,2.0699483035877226,0.22862876168781915,0.8643243823063931
5,6,False,0.36231793764315273,1.8889806023965032,3.910092193440754,2.0699483035877217,0.22862876168781926,0.8643243823063915
5,7,True,3.839510146661637e-15,2.0000000000000018,4.0,1.9999999999999982,0.24999999999999992,0.9999999999999998
5,8,True,4.792706934898466e-15,1.870828693386969,3.741657386773943,2.0000000000000027,0.24999999999999956,0.8596491228070162
5,9,False,0.3623179376431526,1.8889806023965026,3.910092193440758,2.0699483035877244,0.22862876168781893,0.8643243823063922
5,10,True,5.583151176331639e-15,1.870828693386973,3.741657386773943,1.9999999999999984,0.2500000000000001,0.8596491228070182
5,11,False,0.36231793764315334,1.8889806023965006,3.9100921934407578,2.069948303587726,0.2286287616878187,0.8643243823063915
5,12,False,0.3623179376431528,1.888980602396499,3.910092193440757,2.0699483035877275,0.2286287616878182,0.8643243823063893
5,13,False,0.3623179376431529,1.8889806023965008,3.9100921934407555,2.069948303587725,0.22862876168781887,0.8643243823063911
5,14,False,0.36231793764315234,1.8889806023965048,3.9100921934407546,2.06994830358772,0.22862876168781965,0.8643243823063937
5,15,False,0.3623179376431524,1.8889806023965015,3.910092193440756,2.0699483035877244,0.22862876168781873,0.864324382306391
5,16,False,0.3623179376431531,1.8889806023964988,3.9100921934407555,2.069948303587727,0.2286287616878184,0.8643243823063895
5,17,False,0.3623179376431533,1.8889806023965015,3.910092193440757,2.069948303587725,0.22862876168781873,0.8643243823063913
5,18,False,0.36231793764315184,1.8889806023964977,3.9100921934407578,2.0699483035877293,0.22862876168781815,0.8643243823063895
5,19,False,0.36231793764315234,1.8889806023964986,3.9100921934407555,2.0699483035877275,0.22862876168781832,0.864324382306389
6,0,True,3.1775790661719468e-15,2.4494897427831734,4.8989794855663575,2.0000000000000044,0.24999999999999906,1.1999999999999962
6,1,False,0.4745909622008123,2.3591798321761615,4.932084969150466,2.090593053519366,0.22235391590949433,1.0750832090488904
6,2,False,0.4745909622008124,2.359179832176156,4.932084969150469,2.0905930535193717,0.22235391590949333,1.0750832090488869
6,3,True,6.369717175460221e-15,2.434156031787083,4.86831206357417,2.0000000000000018,0.24999999999999944,1.175381607118081
6,4,True,6.87552383457546e-15,2.4374968062204507,4.87499361244089,1.9999999999999953,0.2500000000000013,1.1808947625525776
6,5,True,1.1107424498625854e-14,2.4374968062204423,4.8749936124408935,2.0000000000000036,0.24999999999999928,1.1808947625525703
6,6,True,9.924827010894835e-15,2.434156031787086,4.868312063574166,1.9999999999999973,0.24999999999999978,1.1753816071180805
6,7,True,1.1222601783687488e-14,2.4296025502167264,4.859205100433434,1.9999999999999922,0.25000000000000155,1.1671539892293183
6,8,False,0.47459096220081287,2.3591798321761557,4.932084969150472,2.090593053519373,0.22235391590949294,1.075083209048886
6,9,True,4.795256913669275e-15,2.43749680622045,4.874993612440892,1.9999999999999967,0.25000000000000083,1.1808947625525763
6,10,True,6.680529664435519e-15,2.429602550216714,4.8592051004334404,2.0000000000000053,0.24999999999999878,1.1671539892293084
6,11,True,3.4252146052514008e-15,2.437496806220448,4.874993612440894,1.9999999999999993,0.24999999999999958,1.1808947625525719
6,12,False,0.4745909622008111,2.3591798321761557,4.932084969150477,2.0905930535193753,0.22235391590949283,1.0750832090488873
6,13,True,1.0681082584682482e-14,2.434156031787089,4.8683120635741695,1.9999999999999964,0.24999999999999986,1.1753816071180827
6,14,True,1.1432050634713767e-14,2.4374968062204374,4.874993612440893,2.000000000000007,0.24999999999999845,1.1808947625525659
6,15,False,0.4745909622008105,2.3591798321761606,4.932084969150472,2.0905930535193686,0.22235391590949374,1.0750832090488895
6,16,True,9.43237621601405e-15,2.4341560317870816,4.868312063574173,2.000000000000004,0.24999999999999928,1.1753816071180818
6,17,True,1.408241067171558e-14,2.449489742783189,4.898979485566356,1.999999999999991,0.25000000000000144,1.2000000000000066
6,18,True,3.2708947089307504e-15,2.4374968062204494,4.87499361244089,1.9999999999999964,0.25000000000000067,1.1808947625525748
6,19,True,5.2656441947358296e-15,2.4341560317870834,4.868312063574168,2.0000000000000004,0.25000000000000044,1.1753816071180845
7,0,True,2.1076335773991768e-14,2.9004990655055565,5.800998131011136,2.000000000000008,0.24999999999999872,1.3845997856231487
7,1,True,2.3147257319319386e-14,2.969447877475126,5.938895754950223,1.9999999999999902,0.25000000000000194,1.4652085633372938
7,2,True,8.137239378353689e-15,2.8704526658440472,5.740905331688102,2.0000000000000027,0.249999999999999,1.368584993928114
7,3,False,0.07974561435551492,2.9066423615361137,5.816226079821045,2.001011943123014,0.24968405999662008,1.3940228688359162
7,4,False,0.4786946296418946,2.8492779827732266,5.856245632556054,2.055343728468403,0.23284811089090737,1.3156228962283836
7,5,True,3.1611603038166024e-15,2.96950975311606,5.939019506232127,2.000000000000002,0.24999999999999978,1.465358409220351
7,6,True,1.4753559917207612e-14,2.9048630644563094,5.809726128912609,1.9999999999999967,0.2500000000000004,1.3921852324440782
7,7,True,9.101567523846112e-15,2.969500773254835,5.939001546509675,2.0000000000000018,0.24999999999999906,1.4653322524242662
7,8,False,0.07502884214757867,2.9023783316513674,5.807322668428228,2.0008841042869947,0.24972432350003004,1.3863902269120483
7,9,True,3.4293680027270727e-15,2.969447877475115,5.938895754950227,1.9999999999999991,0.2500000000000008,1.4652085633372889
7,10,True,1.0056902067123554e-14,2.870452665844044,5.740905331688097,2.000000000000003,0.24999999999999986,1.368584993928116
7,11,False,0.0869210536261731,2.9058713659671125,5.815249754157979,2.001206874559152,0.2496228140518898,1.3917915693961458
7,12,True,8.138564542171933e-15,2.913721368952602,5.827442737905195,1.999999999999997,0.25000000000000056,1.4059157763729588
7,13,False,0.04068449854448623,2.904856525034331,5.810451619414105,2.000254253295844,0.24992101139836914,1.3917141083288462
7,14,False,0.09603475642472546,2.904268892968699,5.812817841635705,2.0014737119240813,0.24954013883541337,1.3893300882108888
7,15,True,1.0101133974048417e-14,2.870452665844049,5.740905331688098,2.0,0.24999999999999964,1.3685849939281152
7,16,True,5.404004157357076e-15,2.8284271247461894,5.656854249492387,2.0000000000000027,0.24999999999999922,1.3333333333333326
7,17,False,0.38904496346033535,2.838609145039371,5.770580437160116,2.0328901029733273,0.2397710325653778,1.3112513413385112
7,18,True,7.399997456360214e-15,2.904863064456308,5.809726128912611,1.9999999999999982,0.2500000000000012,1.392185232444083
7,19,False,0.09603475642474017,2.9042688929687053,5.812817841635707,2.0014737119240777,0.24954013883541432,1.3893300882108948
8,0,True,1.2494098391171979e-14,3.4054512557782717,6.810902511556562,2.0000000000000053,0.2499999999999993,1.6424601079684678
8,1,True,8.284651619792126e-15,3.451948106573831,6.9038962131476564,1.9999999999999984,0.2500000000000006,1.694391886283705
8,2,True,8.940353963922124e-15,3.407901746557348,6.815803493114692,1.999999999999999,0.25000000000000044,1.6468028841456026
8,3,True,9.665999653944871e-15,3.4018392368434456,6.8036784736869,2.0000000000000027,0.2499999999999996,1.6366608198796808
8,4,False,0.5891053759052605,3.330116433159478,6.918008262129463,2.0774073222316556,0.22583873243559444,1.5405045331068634
8,5,True,2.530376738735233e-14,3.4543937620660827,6.90878752413219,2.000000000000007,0.24999999999999886,1.6982721753943706
8,6,True,3.3402999618057516e-14,3.409706899970797,6.819413799941612,2.0000000000000053,0.2499999999999995,1.6496791893743867
8,7,True,2.2244905152622316e-14,3.455612886249671,6.9112257724993205,1.9999999999999938,0.250000000000002,1.700499555431799
8,8,True,4.430574572675792e-15,3.451833890036025,6.903667780072042,1.9999999999999978,0.2500000000000004,1.694112720740034
8,9,True,9.776367186842085e-15,3.4103591381954437,6.820718276390878,1.9999999999999971,0.25000000000000033,1.6505986640726482
8,10,True,5.7479626761639e-15,3.455271529180323,6.910543058360631,1.9999999999999956,0.2500000000000004,1.699715740081263
8,11,True,8.538348232836535e-15,3.453109874200318,6.906219748400632,1.999999999999999,0.24999999999999992,1.69647252167278
8,12,True,4.777827226666869e-15,3.4069555511299208,6.813911102259839,1.9999999999999991,0.24999999999999994,1.6452505017293428
8,13,True,4.03039695287618e-15,3.451947754717591,6.903895509435169,1.9999999999999962,0.2500000000000004,1.6943906219974885
8,14,True,3.76590931890189e-14,3.401690390601902,6.8033807812038365,2.0000000000000098,0.2499999999999987,1.6363046800549506
8,15,True,7.325570742398555e-15,3.4531098742003143,6.906219748400629,2.0,0.24999999999999975,1.696472521672777
8,16,True,1.162244661975232e-14,3.4519480993970886,6.903896198794176,1.9999999999999998,0.2500000000000001,1.6943918562800648
8,17,True,2.034762606355304e-14,3.4064366322261077,6.812873264452231,2.000000000000005,0.24999999999999958,1.6446078447081653
8,18,True,1.2771461902363767e-14,3.453176639110433,6.906353278220877,2.000000000000003,0.24999999999999972,1.6960532961402965
8,19,True,1.3802293825317332e-14,3.4544027953853367,6.908805590770679,2.0000000000000013,0.24999999999999983,1.6982989457418523
9,0,True,1.7046368498049722e-14,3.8504159872214188,7.700831974442846,2.000000000000002,0.25000000000000006,1.8305763006539566
9,1,True,8.99110413028402e-15,3.926066369725618,7.852132739451221,1.9999999999999962,0.2500000000000009,1.9153722619117386
9,2,True,1.9545808043898765e-14,3.9238552868987844,7.847710573797576,2.0000000000000018,0.24999999999999942,1.9113941108134287
9,3,True,1.473481096279751e-14,3.924581730471042,7.849163460942064,1.999999999999995,0.2500000000000012,1.9126928053020147
9,4,True,2.0854041367129863e-14,3.8959150055053735,7.791830011010772,2.000000000000006,0.24999999999999933,1.8843307661068365
9,5,True,1.038175500015699e-14,3.9280263541490372,7.856052708298072,1.9999999999999993,0.2500000000000005,1.9187531166444156
9,6,True,7.497245308820244e-15,3.9265180863389326,7.853036172677864,1.9999999999999998,0.25000000000000006,1.9157094550173461
9,7,True,8.501573885946164e-15,3.923854807474187,7.84770961494836,1.9999999999999964,0.25000000000000044,1.911392663712376
9,8,True,2.338347717499368e-14,3.965425729728293,7.93085145945658,1.9999999999999984,0.2500000000000001,1.961198389197084
9,9,True,2.4887377976769132e-14,3.8910844925388366,7.782168985077616,1.9999999999999853,0.2500000000000028,1.8773058177495412
9,10,True,1.5102510869984034e-14,3.96273493229179,7.925469864583597,2.0000000000000044,0.2499999999999994,1.956710980997777
9,11,True,1.1874807733154883e-14,3.883023267584016,7.7660465351680195,1.999999999999997,0.2500000000000004,1.8634328369140087
9,12,True,1.82197851304722e-14,3.9252540120402113,7.850508024080436,2.0000000000000036,0.2499999999999995,1.9135342417136076
9,13,True,6.8230333047530985e-15,3.890918165397368,7.781836330794729,1.9999999999999982,0.2500000000000003,1.8769402758982103
9,14,True,1.9619727629264516e-14,3.884656046988854,7.769312093977682,1.9999999999999933,0.2500000000000012,1.866406398352233
9,15,True,2.205117533042598e-14,3.8467609862736203,7.6935219725472495,2.000000000000002,0.2499999999999996,1.8238950517859063
9,16,True,4.6547015140858974e-14,3.9285211258370305,7.857042251674019,1.9999999999999893,0.2500000000000012,1.9192277394250907
9,17,True,8.333164844409121e-15,3.8845879211003504,7.769175842200718,2.0000000000000044,0.2499999999999989,1.8662442656304479
9,18,True,6.257771415165635e-15,3.92462408520201,7.849248170404004,1.999999999999996,0.2500000000000009,1.9128032707372853
9,19,True,1.400514571888116e-14,3.9253699896821397,7.850739979364259,1.999999999999995,0.25000000000000155,1.9141461529134922
10,0,True,1.9327640453718733e-14,4.463162887008614,8.926325774017249,2.000000000000005,0.24999999999999895,2.2074399670480958
10,1,True,1.0617549310613944e-14,4.463872060329802,8.92774412065958,1.999999999999995,0.25000000000000105,2.2086314689798474
10,2,True,2.1846386640615703e-14,4.407049498261581,8.814098996523201,2.000000000000009,0.24999999999999822,2.1453343309418402
10,3,True,7.095346552211418e-15,4.432767744868327,8.865535489736658,2.000000000000001,0.2499999999999995,2.172174786679913
10,4,False,0.0832817166129075,4.402474610829621,8.806934796665605,2.000451013391759,0.24985948925116055,2.1368055658063017
10,5,True,3.7955609457643213e-14,4.401519516906401,8.80303903381283,2.0000000000000067,0.24999999999999947,2.1359258617805708
10,6,True,1.962964483234265e-14,4.401245610389791,8.802491220779615,2.0000000000000075,0.2499999999999981,2.1355286324704026
10,7,True,2.8130389262872462e-14,4.437319984438994,8.874639968877966,1.9999999999999951,0.25000000000000017,2.17970856889761
10,8,False,0.030654095862392698,4.406694697538424,8.813651996549883,2.0000595914831996,0.24998148128169745,2.144275490907874
10,9,False,0.09813980785320273,4.338480070350209,8.679929660362067,2.0006844608281003,0.24978678530074327,2.0622217831413225
10,10,True,1.0989890165392404e-13,4.463522381570042,8.92704476314017,2.000000000000019,0.2499999999999954,2.2080500927348767
10,11,True,7.474676416366993e-15,4.43576388420422,8.871527768408432,1.9999999999999984,0.24999999999999997,2.177031973278977
10,12,True,1.255473871008764e-14,4.371886532218331,8.74377306443666,1.9999999999999996,0.2500000000000001,2.1031810065045002
10,13,True,7.026913989586244e-15,4.437870656493665,8.875741312987317,1.9999999999999971,0.25000000000000056,2.180739597479869
10,14,True,3.0810178740397364e-14,4.4334193465618155,8.86683869312359,1.9999999999999907,0.25000000000000133,2.173444529450894
10,15,True,1.9891934304627294e-14,4.462627649572204,8.925255299144398,1.9999999999999976,0.25000000000000083,2.206428204328961
10,16,True,1.8148928205834034e-14,4.433235393037612,8.866470786075203,1.9999999999999951,0.25000000000000033,2.173015586812686
10,17,False,0.16336389233341855,4.338906972756814,8.685943159960607,2.0018735627424187,0.24941670609693273,2.0620122790373836
10,18,True,1.2635991082957945e-14,4.405724530935165,8.811449061870322,1.999999999999998,0.25000000000000044,2.1429957013355407
10,19,False,0.4750733283206611,4.310882577884715,8.70941686253488,2.0203326593062667,0.2436268143090798,2.019668287191356
