N,branch_id,count,norm2_mean,Nr2_mean,sigma2_mean,residual_max,seed_deltas
9,7,1,1.8773058177495412,0.4693264544373853,15.140538528076215,2.4887377976769132e-14,9
9,8,1,1.8843307661068365,0.47108269152670906,15.178153730121934,2.0854041367129863e-14,4
9,9,1,1.911392663712376,0.477848165928094,15.39663655013829,8.501573885946164e-15,7
9,10,1,1.9113941108134287,0.4778485277033572,15.396640312523541,1.9545808043898765e-14,2
9,11,1,1.9126928053020147,0.47817320132550367,15.40234175914708,1.473481096279751e-14,3
9,12,1,1.9128032707372853,0.4782008176843213,15.402674210147714,6.257771415165635e-15,18
9,13,1,1.9135342417136076,0.47838356042840186,15.407619059037776,1.82197851304722e-14,12
9,14,1,1.9141461529134922,0.47853653822837305,15.408529555897161,1.400514571888116e-14,19
9,15,1,1.9153722619117386,0.47884306547793465,15.413997139490494,8.99110413028402e-15,1
9,16,1,1.9157094550173461,0.47892736375433653,15.417544282346753,7.497245308820244e-15,6
9,17,1,1.9187531166444156,0.47968827916110396,15.429391038889378,1.038175500015699e-14,5
9,18,1,1.9192277394250907,0.4798069348562726,15.43327823614785,4.6547015140858974e-14,16
9,19,1,1.956710980997777,0.48917774524944424,15.70326814360562,1.5102510869984034e-14,10
9,20,1,1.961198389197084,0.490299597299271,15.724601217991166,2.338347717499368e-14,8
10,1,1,2.1031810065045002,0.46737355700100003,19.11339185059202,1.255473871008764e-14,12
10,2,1,2.1355286324704026,0.4745619183267561,19.3709629229754,1.962964483234265e-14,6
10,3,1,2.1359258617805708,0.4746501915067935,19.373374057707956,3.7955609457643213e-14,5
10,4,1,2.1429957013355407,0.47622126696345346,19.410408642483883,1.2635991082957945e-14,18
10,5,1,2.1453343309418402,0.47674096243152003,19.422085280127654,2.1846386640615703e-14,2
10,6,1,2.172174786679913,0.4827055081510917,19.649429879945036,7.095346552211418e-15,3
10,7,1,2.173015586812686,0.48289235262504127,19.65357605008135,1.8148928205834034e-14,16
10,8,1,2.173444529450894,0.4829876732113098,19.655207102468594,3.0810178740397364e-14,14
10,9,1,2.177031973278977,0.48378488295088373,19.676001236410507,7.474676416366993e-15,11
10,10,1,2.17970856889761,0.4843796819772467,19.689808644301674,2.8130389262872462e-14,7
10,11,1,2.180739597479869,0.4846087994399709,19.69469596376751,7.026913989586244e-15,13
10,12,1,2.206428204328961,0.49031737873976916,19.915045538726336,1.9891934304627294e-14,15
10,13,1,2.2074399670480958,0.49054221489957683,19.919822955971064,1.9327640453718733e-14,0
10,14,1,2.2080500927348767,0.4906777983855281,19.923032050776705,1.0989890165392404e-13,10
10,15,1,2.2086314689798474,0.4908069931066328,19.92615377099303,1.0617549310613944e-14,1
