R,N_theory,inv_alpha,radius_mean,radius_std
0.6988,138.51599593612238,138.51599593612238,1.0,8.096829954182162e-17
0.6989,138.60801785415362,138.60801785415362,1.0,7.631521572941402e-17
0.699,138.7001315036166,138.7001315036166,1.0,7.918855914161364e-17
0.6990999999999999,138.7923370064744,138.7923370064744,1.0,7.909121606961004e-17
0.6991999999999999,138.88463448489276,138.88463448489276,1.0,8.029952337223719e-17
0.6992999999999999,138.9770240612406,138.9770240612406,1.0,8.688869536365455e-17
0.6993999999999999,139.06950585809048,139.06950585809048,1.0,8.491573300505514e-17
0.6995,139.16207999821899,139.16207999821899,1.0,8.15371704685951e-17
0.6996,139.25474660460677,139.25474660460677,1.0,7.80124260888204e-17
0.6997,139.34750580043968,139.34750580043968,1.0,8.063460480619539e-17
0.6998,139.44035770910855,139.44035770910855,1.0,7.545229562848747e-17
0.6999,139.53330245420992,139.53330245420992,1.0,7.661745539035015e-17
0.7,139.62634015954632,139.62634015954632,1.0,7.870063977598498e-17
