protocol,step,particle,C_memory,delta_C_memory_forward,actual_Ra,predicted_Ra_from_delta_C,balance_error
ramp_duration_2,28,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,28,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,29,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,29,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,30,A,3.8e-06,0.0,6.617444900424222e-24,0.0,6.617444900424222e-24
ramp_duration_2,30,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,31,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,31,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,32,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,32,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,33,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,33,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,34,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,34,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,35,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,35,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,36,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,36,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,37,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,37,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,38,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,38,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,39,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,39,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,40,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,40,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,41,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,41,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,42,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_2,42,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_2,43,A,3.8e-06,0.0,0.0,0.0,0.0
