step,label,merge_tolerance,cluster_count,cluster_dimensions,dominant_cluster_dimension,dominant_delta,dominant_occupation,q1,q2,q3,q4,max_intercluster_overlap,closure_error
1167,true_crossing_step1167,1.00000000000000004e-10,5,2|2|2|2|2,2,2.51419901682574498e-01,9.89333565761163158e-01,1.41421161372939941e+00,1.39092013034344530e+00,2.55619230507748985e-01,2.34767819148531650e-03,1.23127857581666827e-15,7.77156117237609578e-16
1167,true_crossing_step1167,9.99999999999999939e-12,5,2|2|2|2|2,2,2.51419901682574498e-01,9.89333565761163158e-01,1.41421161372939941e+00,1.39092013034344530e+00,2.55619230507748985e-01,2.34767819148531650e-03,1.23127857581666827e-15,7.77156117237609578e-16
1167,true_crossing_step1167,9.99999999999999980e-13,5,2|2|2|2|2,2,2.51419901682574498e-01,9.89333565761163158e-01,1.41421161372939941e+00,1.39092013034344530e+00,2.55619230507748985e-01,2.34767819148531650e-03,1.23127857581666827e-15,7.77156117237609578e-16
1167,true_crossing_step1167,1.00000000000000003e-13,5,2|2|2|2|2,2,2.51419901682574498e-01,9.89333565761163158e-01,1.41421161372939941e+00,1.39092013034344530e+00,2.55619230507748985e-01,2.34767819148531650e-03,1.23127857581666827e-15,7.77156117237609578e-16
1167,true_crossing_step1167,9.99999999999999999e-15,5,2|2|2|2|2,2,2.51419901682574498e-01,9.89333565761163158e-01,1.41421161372939941e+00,1.39092013034344530e+00,2.55619230507748985e-01,2.34767819148531650e-03,1.23127857581666827e-15,7.77156117237609578e-16
1365,post_crossing,1.00000000000000004e-10,5,2|2|2|2|2,2,7.37097805652324412e-01,9.92248865001651770e-01,1.37857687384648409e+00,1.14899401318518168e+00,8.24507584964874529e-01,3.15477103599698772e-01,1.87892154394107048e-15,2.22044604925031308e-16
1365,post_crossing,9.99999999999999939e-12,5,2|2|2|2|2,2,7.37097805652324412e-01,9.92248865001651770e-01,1.37857687384648409e+00,1.14899401318518168e+00,8.24507584964874529e-01,3.15477103599698772e-01,1.87892154394107048e-15,2.22044604925031308e-16
1365,post_crossing,9.99999999999999980e-13,5,2|2|2|2|2,2,7.37097805652324412e-01,9.92248865001651770e-01,1.37857687384648409e+00,1.14899401318518168e+00,8.24507584964874529e-01,3.15477103599698772e-01,1.87892154394107048e-15,2.22044604925031308e-16
1365,post_crossing,1.00000000000000003e-13,5,2|2|2|2|2,2,7.37097805652324412e-01,9.92248865001651770e-01,1.37857687384648409e+00,1.14899401318518168e+00,8.24507584964874529e-01,3.15477103599698772e-01,1.87892154394107048e-15,2.22044604925031308e-16
1365,post_crossing,9.99999999999999999e-15,5,2|2|2|2|2,2,7.37097805652324412e-01,9.92248865001651770e-01,1.37857687384648409e+00,1.14899401318518168e+00,8.24507584964874529e-01,3.15477103599698772e-01,1.87892154394107048e-15,2.22044604925031308e-16
6167,plateau_start,1.00000000000000004e-10,5,2|2|2|2|2,2,8.50831476628999162e-01,9.99045992938634164e-01,1.26577073877214130e+00,1.19807366607803334e+00,7.51411665234404946e-01,6.30733253339499478e-01,6.73032439321245605e-16,2.22044604925031308e-16
6167,plateau_start,9.99999999999999939e-12,5,2|2|2|2|2,2,8.50831476628999162e-01,9.99045992938634164e-01,1.26577073877214130e+00,1.19807366607803334e+00,7.51411665234404946e-01,6.30733253339499478e-01,6.73032439321245605e-16,2.22044604925031308e-16
6167,plateau_start,9.99999999999999980e-13,5,2|2|2|2|2,2,8.50831476628999162e-01,9.99045992938634164e-01,1.26577073877214130e+00,1.19807366607803334e+00,7.51411665234404946e-01,6.30733253339499478e-01,6.73032439321245605e-16,2.22044604925031308e-16
6167,plateau_start,1.00000000000000003e-13,5,2|2|2|2|2,2,8.50831476628999162e-01,9.99045992938634164e-01,1.26577073877214130e+00,1.19807366607803334e+00,7.51411665234404946e-01,6.30733253339499478e-01,6.73032439321245605e-16,2.22044604925031308e-16
6167,plateau_start,9.99999999999999999e-15,5,2|2|2|2|2,2,8.50831476628999162e-01,9.99045992938634164e-01,1.26577073877214130e+00,1.19807366607803334e+00,7.51411665234404946e-01,6.30733253339499478e-01,6.73032439321245605e-16,2.22044604925031308e-16
51167,final,1.00000000000000004e-10,5,2|2|2|2|2,2,8.97399195294794838e-01,9.99999999999907851e-01,1.23484934637072685e+00,1.15648576339664921e+00,8.13966018369852051e-01,6.89309140928646369e-01,1.01521904371035356e-15,2.22044604925031308e-16
51167,final,9.99999999999999939e-12,5,2|2|2|2|2,2,8.97399195294794838e-01,9.99999999999907851e-01,1.23484934637072685e+00,1.15648576339664921e+00,8.13966018369852051e-01,6.89309140928646369e-01,1.01521904371035356e-15,2.22044604925031308e-16
51167,final,9.99999999999999980e-13,5,2|2|2|2|2,2,8.97399195294794838e-01,9.99999999999907851e-01,1.23484934637072685e+00,1.15648576339664921e+00,8.13966018369852051e-01,6.89309140928646369e-01,1.01521904371035356e-15,2.22044604925031308e-16
51167,final,1.00000000000000003e-13,5,2|2|2|2|2,2,8.97399195294794838e-01,9.99999999999907851e-01,1.23484934637072685e+00,1.15648576339664921e+00,8.13966018369852051e-01,6.89309140928646369e-01,1.01521904371035356e-15,2.22044604925031308e-16
51167,final,9.99999999999999999e-15,5,2|2|2|2|2,2,8.97399195294794838e-01,9.99999999999907851e-01,1.23484934637072685e+00,1.15648576339664921e+00,8.13966018369852051e-01,6.89309140928646369e-01,1.01521904371035356e-15,2.22044604925031308e-16
