deviation_deg,deviation_rad,frequency_ratio,amplitude_ratio,phase_shift_deg,readout_mode,per_step_leak,max_abs_A_chi_tau,inv_A_chi_tau_constructed_control,rank_chi_tau,max_epsilon_c_abs,area_valid,c1_like,c1_surface_like,native_max_f_AB,native_max_Q_raw,native_max_closure_relaxation,native_max_envelope_V_AB,native_max_V_AB,native_max_epsilon_c,derived_f_AB_over_A,derived_Q_raw_over_A,derived_envelope_over_A,decay_rate_envelope,tau_is_step_used,external_c_used,absolute_background_axis_used,f_A_or_f_B_used
10.0,0.17453292519943295,0.75,1.25,60.0,readout_strong,0.0002,0.11647289420488316,8.585688600138475,2,0.20347011829488793,True,False,False,0.0007473767804861164,7.6154354946677146e-06,7.6154354946677146e-06,0.030461741978670857,0.030461741978670857,0.20347011829488793,0.0064167443042278454,6.53837577116585e-05,0.261535030846634,-0.0004000400053340933,False,False,False,False
10.0,0.17453292519943295,0.75,1.25,75.0,readout_off,0.0,0.11884230056336673,8.414512301255897,2,0.20165778340579887,True,False,False,0.0007473767804861164,0.0,0.0,0.030461741978670867,0.030461741978670857,0.20165778340579887,0.006288811113073455,0.0,0.2563207025972092,-4.4544900995234305e-18,False,False,False,False
10.0,0.17453292519943295,0.75,1.25,75.0,readout_normal,5e-05,0.11773603875753466,8.49357605838428,2,0.20194385875909893,True,False,False,0.0007473767804861164,1.9038588736669286e-06,1.9038588736669286e-06,0.030461741978670857,0.030461741978670857,0.20194385875909893,0.0063479015293292015,1.6170570147919886e-05,0.25872912236671813,-0.00010000250008333112,False,False,False,False
10.0,0.17453292519943295,0.75,1.25,75.0,readout_strong,0.0002,0.1144821211174994,8.734988400272949,2,0.2028147670465803,True,False,False,0.0007473767804861164,7.6154354946677146e-06,7.6154354946677146e-06,0.030461741978670857,0.030461741978670857,0.2028147670465803,0.006528327508179568,6.652074070894937e-05,0.26608296283579747,-0.0004000400053340933,False,False,False,False
10.0,0.17453292519943295,0.75,1.25,90.0,readout_off,0.0,0.1230346029983893,8.127794747410137,2,0.20174447791928385,True,False,False,0.0007473767804861164,0.0,0.0,0.030461741978670867,0.030461741978670857,0.20174447791928385,0.006074525070771356,0.0,0.24758678645120394,-4.4544900995234305e-18,False,False,False,False
10.0,0.17453292519943295,0.75,1.25,90.0,readout_normal,5e-05,0.12185943232924934,8.20617641889322,2,0.20214286726159503,True,False,False,0.0007473767804861164,1.9038588736669286e-06,1.9038588736669286e-06,0.030461741978670857,0.030461741978670857,0.20214286726159503,0.006133105712053503,1.5623401793986157e-05,0.24997442870377848,-0.00010000250008333112,False,False,False,False
10.0,0.17453292519943295,0.75,1.25,90.0,readout_strong,0.0002,0.1184044580172138,8.44562794970624,2,0.2033448998157732,True,False,False,0.0007473767804861164,7.6154354946677146e-06,7.6154354946677146e-06,0.030461741978670857,0.030461741978670857,0.2033448998157732,0.00631206622623501,6.431713486295061e-05,0.25726853945180245,-0.0004000400053340933,False,False,False,False
10.0,0.17453292519943295,1.0,0.75,0.0,readout_off,0.0,0.07172255689942625,13.94261503256585,2,0.33333333333333637,True,False,False,0.0007473767804861164,0.0,0.0,0.030461741978670867,0.030461741978670857,0.33333333333333637,0.010420386734596394,0.0,0.42471634162995864,-4.4544900995234305e-18,False,False,False,False
10.0,0.17453292519943295,1.0,0.75,0.0,readout_normal,5e-05,0.071379379064022,14.009648348202557,2,0.3343530673881854,True,False,False,0.0007473767804861164,1.9038588736669286e-06,1.9038588736669286e-06,0.030461741978670857,0.030461741978670857,0.3343530673881854,0.010470485878222266,2.6672393324678665e-05,0.42675829319485864,-0.00010000250008333112,False,False,False,False
10.0,0.17453292519943295,1.0,0.75,0.0,readout_strong,0.0002,0.07036280769993769,14.212053678478858,2,0.33741723419720326,True,False,False,0.0007473767804861164,7.6154354946677146e-06,7.6154354946677146e-06,0.030461741978670857,0.030461741978670857,0.33741723419720326,0.010621758922317396,0.00010823097803521076,0.432923912140843,-0.0004000400053340933,False,False,False,False
