R,condition_id,window,step_start,step_end,n,phi,phi_over_pi,s0,stability_gain,S_mean,S_amp,S_min,S_max,S_drift,Q_max_error,gray_error_no_phase,gray_depth_no_phase
0.683,phi1_s0.01_g0,first64,0,63,64,3.141592653589793,1.0,0.01,0.0,0.0003021178738800681,0.019934863565344768,-0.019869727130689463,0.020000000000000073,3.990802451402358e-06,4.440892098500626e-16,0.00037124511098670277,3.4303392569622138
0.683,phi1_s0.01_g0,first256,0,255,256,3.141592653589793,1.0,0.01,0.0,-1.3800327440365116e-05,0.019999887359882812,-0.019999774719765547,0.020000000000000073,0.0004588755828124463,4.440892098500626e-16,0.0004727885503699998,3.3253330494096662
0.683,phi1_s0.01_g0,first_half,0,2047,2048,3.141592653589793,1.0,0.01,0.0,-3.726046431318022e-06,0.019999998021336063,-0.019999996042672052,0.020000000000000073,2.6456409069392372e-06,8.881784197001252e-16,6.3736660021948165e-06,5.195610698503374
0.683,phi1_s0.01_g0,tail,2048,4096,2049,3.141592653589793,1.0,0.01,0.0,8.593009907457308e-07,0.019999982460566418,-0.019999990553411836,0.019999974367720996,3.752304354372712e-07,6.661338147750939e-16,1.2520708597655993e-06,5.902371091944791
0.683,phi1_s0.01_g0,block256_0000_0255,0,255,256,3.141592653589793,1.0,0.01,0.0,-1.3800327440365116e-05,0.019999887359882812,-0.019999774719765547,0.020000000000000073,0.0004588755828124463,4.440892098500626e-16,0.0004727885503699998,3.3253330494096662
0.683,phi1_s0.01_g0,block256_0256_0511,256,511,256,3.141592653589793,1.0,0.01,0.0,0.00010315863821365124,0.019993910807238835,-0.019988110568090963,0.019999711046386703,1.2814110126113974e-05,4.440892098500626e-16,0.00012206194110093067,3.913419727917686
0.683,phi1_s0.01_g0,block256_0512_0767,512,767,256,3.141592653589793,1.0,0.01,0.0,-8.12080500963775e-06,0.01998468078790966,-0.019999996042672052,0.019969365533147262,0.00046159857150414866,6.661338147750939e-16,0.000485038588604128,3.3142237085087216
0.683,phi1_s0.01_g0,block256_0768_1023,768,1023,256,3.141592653589793,1.0,0.01,0.0,-0.00010143297330279894,0.019993528855883763,-0.01998722723319174,0.019999830478575786,8.527523653353619e-05,4.440892098500626e-16,0.00019317935395257239,3.714039290672075
0.683,phi1_s0.01_g0,block256_1024_1279,1024,1279,256,3.141592653589793,1.0,0.01,0.0,2.9675234973752047e-05,0.01999981181457136,-0.019999639458459673,0.019999984170683046,0.0004434776483596139,4.440892098500626e-16,0.0004733410687620053,3.3248258129565986
0.683,phi1_s0.01_g0,block256_1280_1535,1280,1535,256,3.141592653589793,1.0,0.01,0.0,9.51270083578255e-05,0.019999013008552113,-0.01999987832279282,0.019998147694311408,0.0001795139007564715,4.440892098500626e-16,0.00027562790056218404,3.5596768228787066
0.683,phi1_s0.01_g0,block256_1536_1791,1536,1791,256,3.141592653589793,1.0,0.01,0.0,-4.9889652165511884e-05,0.01998821761365588,-0.01997687527129371,0.019999559956018043,0.00040533108047890965,8.881784197001252e-16,0.00046700311898854326,3.3306802188878706
0.683,phi1_s0.01_g0,block256_1792_2047,1792,2047,256,3.141592653589793,1.0,0.01,0.0,-8.452549507745926e-05,0.019983960959015445,-0.01999996438404328,0.019967957533987613,0.00026564644821102073,4.440892098500626e-16,0.000366210984273035,3.4362686334433246
0.683,phi1_s0.01_g0,block256_2048_2303,2048,2303,256,3.141592653589793,1.0,0.01,0.0,6.785125581871174e-05,0.019997510351029868,-0.019995102449658853,0.01999991825240088,0.0003488814115326058,4.440892098500626e-16,0.00041922231632144996,3.3775556067559713
0.683,phi1_s0.01_g0,block256_2304_2559,2304,2559,256,3.141592653589793,1.0,0.01,0.0,7.010715463155108e-05,0.0199997046109249,-0.019999472539091734,0.019999936682758065,0.00033978348379028585,6.661338147750939e-16,0.0004101860274969363,3.387019137444811
0.683,phi1_s0.01_g0,block256_2560_2815,2560,2815,256,3.141592653589793,1.0,0.01,0.0,-8.27489730528916e-05,0.019996270693865226,-0.019999950267379996,0.019992591120350452,0.0002766776787044512,4.440892098500626e-16,0.0003631559578921175,3.4399068264621198
0.683,phi1_s0.01_g0,block256_2816_3071,2816,3071,256,3.141592653589793,1.0,0.01,0.0,-5.252306056239844e-05,0.01998072646959062,-0.019961939646528037,0.0199995132926532,0.00039857728085723884,6.661338147750939e-16,0.0004703738718290171,3.3275568103069877
0.683,phi1_s0.01_g0,block256_3072_3327,3072,3327,256,3.141592653589793,1.0,0.01,0.0,9.391008362206812e-05,0.01999070542035228,-0.0199999010668383,0.019981509773866254,0.00019198030855168172,4.440892098500626e-16,0.000295184971821472,3.529905756676721
0.683,phi1_s0.01_g0,block256_3328_3583,3328,3583,256,3.141592653589793,1.0,0.01,0.0,3.25672389548216e-05,0.019999624164822538,-0.019999273961924077,0.019999974367720996,0.00043937295094779755,4.440892098500626e-16,0.0004723160250800814,3.325767319115689
0.683,phi1_s0.01_g0,block256_3584_3839,3584,3839,256,3.141592653589793,1.0,0.01,0.0,-0.00010083059722151831,0.01999972732250413,-0.019999597108711353,0.019999857536296906,9.861388941829127e-05,4.440892098500626e-16,0.00019971716413568055,3.699584609295124
0.683,phi1_s0.01_g0,block256_3840_4095,3840,4095,256,3.141592653589793,1.0,0.01,0.0,-1.1140813451527632e-05,0.019996625351395708,-0.019999990553411836,0.019993260149379577,0.00046032832772265774,4.440892098500626e-16,0.0004748437897784776,3.3234492375223503
0.683,phi1_s0.01_g0,block256_4096_4096,4096,4096,1,3.141592653589793,1.0,0.01,0.0,-0.0026405181870990386,0.0,-0.0026405181870990386,-0.0026405181870990386,0.0,2.220446049250313e-16,0.02264051818709904,1.6451136374121096
