case,step,particle,distance,sin_distance,R_A,R_B,reduced_R,C_memory,delta_C_memory_forward,actual_Ra,predicted_Ra,balance_error
distance_-1.00,6,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-4.810238099130508e-06,-8.017063498550852e-07,-4.888453352774902e-10,-4.88845335277491e-10,8.271806125530277e-25
distance_-1.00,6,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-4.810238099130508e-06,-8.017063498550852e-07,4.888453352774916e-10,4.88845335277491e-10,6.203854594147708e-25
distance_-1.00,7,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-5.611944448985593e-06,-8.017063498550844e-07,-4.888453352774918e-10,-4.888453352774905e-10,-1.34416849539867e-24
distance_-1.00,7,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-5.611944448985593e-06,-8.017063498550844e-07,4.888453352774903e-10,4.888453352774905e-10,-2.0679515313825692e-25
distance_-1.00,8,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,1.6543612251060553e-24,0.0,1.6543612251060553e-24
distance_-1.00,8,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,9,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,9,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,2.5849394142282115e-24,-0.0,2.5849394142282115e-24
distance_-1.00,10,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,10,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,11,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,11,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,12,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,-3.308722450212111e-24,0.0,-3.308722450212111e-24
distance_-1.00,12,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,13,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,13,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,14,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,14,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,15,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,15,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,16,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,16,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,-5.169878828456423e-24,-0.0,-5.169878828456423e-24
distance_-1.00,17,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,17,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,18,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,18,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,19,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,6.617444900424222e-24,0.0,6.617444900424222e-24
distance_-1.00,19,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,20,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,20,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,21,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,21,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,22,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,22,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,23,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,23,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,24,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,24,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,25,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,25,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,26,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,26,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,27,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,27,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,28,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,28,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,29,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,29,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,30,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,30,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,31,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,31,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,32,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,32,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,33,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,33,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,34,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,34,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,35,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,35,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,36,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,36,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,37,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,37,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,38,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,38,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,39,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,39,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,40,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,40,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,41,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,41,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,42,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,42,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,43,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,43,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,44,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,44,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,45,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,45,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-1.00,46,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,0.0,0.0
distance_-1.00,46,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-6.413650798840677e-06,0.0,0.0,-0.0,0.0
distance_-0.75,1,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-6.494271722783293e-07,-6.494271722783293e-07,-3.9599217821849355e-10,-3.9599217821849345e-10,-1.0339757656912846e-25
distance_-0.75,1,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-6.494271722783293e-07,-6.494271722783293e-07,3.959921782184934e-10,3.9599217821849345e-10,-5.169878828456423e-26
distance_-0.75,2,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-1.2988543445566586e-06,-6.494271722783295e-07,-3.959921782184935e-10,-3.959921782184936e-10,1.0339757656912846e-25
distance_-0.75,2,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-1.2988543445566586e-06,-6.494271722783295e-07,3.9599217821849376e-10,3.959921782184936e-10,1.550963648536927e-25
distance_-0.75,3,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-1.948281516834988e-06,-6.494271722783291e-07,-3.9599217821849366e-10,-3.9599217821849335e-10,-3.101927297073854e-25
distance_-0.75,3,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-1.948281516834988e-06,-6.494271722783291e-07,3.9599217821849324e-10,3.9599217821849335e-10,-1.0339757656912846e-25
distance_-0.75,4,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-2.597708689113317e-06,-6.494271722783291e-07,-3.959921782184926e-10,-3.9599217821849335e-10,7.237830359838992e-25
distance_-0.75,4,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-2.597708689113317e-06,-6.494271722783291e-07,3.9599217821849417e-10,3.9599217821849335e-10,8.271806125530277e-25
distance_-0.75,5,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-3.247135861391646e-06,-6.494271722783299e-07,-3.959921782184947e-10,-3.9599217821849386e-10,-8.271806125530277e-25
distance_-0.75,5,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-3.247135861391646e-06,-6.494271722783299e-07,3.9599217821849257e-10,3.9599217821849386e-10,-1.2924697071141057e-24
distance_-0.75,6,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-3.896563033669976e-06,-6.494271722783291e-07,-3.9599217821849304e-10,-3.9599217821849335e-10,3.101927297073854e-25
distance_-0.75,6,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-3.896563033669976e-06,-6.494271722783291e-07,3.9599217821849386e-10,3.9599217821849335e-10,5.169878828456423e-25
distance_-0.75,7,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-4.545990205948305e-06,-6.494271722783291e-07,-3.9599217821849304e-10,-3.9599217821849335e-10,3.101927297073854e-25
distance_-0.75,7,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-4.545990205948305e-06,-6.494271722783291e-07,3.9599217821849386e-10,3.9599217821849335e-10,5.169878828456423e-25
distance_-0.75,8,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,8,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,9,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,9,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,10,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,10,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,11,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,11,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,-2.5849394142282115e-24,-0.0,-2.5849394142282115e-24
distance_-0.75,12,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,12,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,13,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,-3.308722450212111e-24,0.0,-3.308722450212111e-24
distance_-0.75,13,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,14,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,14,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,15,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,15,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,16,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,16,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,17,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,17,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,18,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,18,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,19,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,19,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,5.169878828456423e-24,-0.0,5.169878828456423e-24
distance_-0.75,20,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,20,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,21,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,21,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,22,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,22,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,23,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,6.617444900424222e-24,0.0,6.617444900424222e-24
distance_-0.75,23,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,24,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,24,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,25,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,25,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,26,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,26,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,27,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,27,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,28,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,28,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,29,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,29,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,30,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,30,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,31,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,31,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,32,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,32,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,33,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,33,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,34,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,34,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,35,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,35,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,36,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,36,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,37,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,37,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,38,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,38,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,39,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,39,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,40,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,0.0,0.0
distance_-0.75,40,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
distance_-0.75,41,A,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,-1.3234889800848443e-23,0.0,-1.3234889800848443e-23
distance_-0.75,41,B,-0.75,-0.6816387600233341,1.0,1.5625,0.6097560975609756,-5.195417378226634e-06,0.0,0.0,-0.0,0.0
