step,R_v0,R_v1,R_v2,R_v3,R_v4,nulldev_v0,nulldev_v1,nulldev_v2,nulldev_v3,nulldev_v4
720,0.27728940310625394,0.27728940310625844,0.27728940310624917,0.2772894031062511,0.2772894031062465,1.3352957476286321e-14,8.249287721044299e-15,6.173351626099178e-14,1.177971690297704e-13,3.876671196858615e-14
760,0.27728940310625283,0.2772894031062573,0.2772894031062479,0.2772894031062493,0.277289403106245,2.975476399881522e-14,3.585477520882922e-14,4.537638304724968e-14,1.106259995548833e-13,3.287599299323009e-14
800,0.2772894031062516,0.2772894031062563,0.2772894031062471,0.27728940310624806,0.27728940310624356,4.556524506048475e-14,6.429657017571628e-14,6.282373259424285e-14,8.219821160795035e-14,1.689331896658894e-14
840,0.2772894031062525,0.2772894031062574,0.2772894031062479,0.2772894031062485,0.27728940310624367,4.3950144561374774e-14,7.582080600413607e-14,6.479137681819931e-14,6.889438094787188e-14,1.9959127925474988e-14
880,0.27728940310625133,0.2772894031062559,0.2772894031062469,0.27728940310624683,0.27728940310624245,3.148610546311428e-14,6.501756826204051e-14,5.035287128741297e-14,9.973216512760536e-14,4.353242031678516e-14
920,0.2772894031062527,0.27728940310625716,0.27728940310624833,0.2772894031062477,0.27728940310624395,3.324307926722768e-15,4.4818348904519854e-14,2.5311363140983327e-14,1.2796677242338777e-13,5.456389536793311e-14
960,0.2772894031062536,0.2772894031062577,0.2772894031062489,0.27728940310624783,0.277289403106244,3.272712753292818e-14,6.681925683978551e-14,3.7027431238149064e-14,1.2912992589761926e-13,5.115818718339459e-14
1000,0.2772894031062544,0.2772894031062587,0.2772894031062491,0.2772894031062481,0.27728940310624417,5.1150042368923765e-14,9.598228687436186e-14,6.942370947483406e-14,1.1617282473391193e-13,3.37311208245504e-14
1040,0.27728940310625616,0.2772894031062603,0.27728940310625033,0.2772894031062497,0.2772894031062449,5.46686880006228e-14,1.0914440465170933e-13,8.103336609500996e-14,1.1668972210425984e-13,1.0686417684110973e-14
1080,0.27728940310625466,0.2772894031062592,0.2772894031062489,0.2772894031062486,0.2772894031062433,4.2936205901523205e-14,9.557568396478858e-14,7.455587812937907e-14,1.4594329438920144e-13,3.7860645914985766e-14
1120,0.2772894031062555,0.27728940310626,0.27728940310624955,0.27728940310624917,0.27728940310624384,1.5542003140382586e-14,6.54226825115852e-14,4.391823272739553e-14,1.7542631662320968e-13,5.679548064404282e-14
1160,0.2772894031062552,0.2772894031062595,0.27728940310624955,0.27728940310624905,0.2772894031062437,2.3057419706838568e-14,6.25230485200732e-14,5.855052471708676e-14,1.7224841379650556e-13,5.4133918995621406e-14
