eigen_index,mu,sigma,sigma_over_sigma1,abs_sigma_over_eps_normK,pair_id,cluster_id,solver_residual
42,-1.51575579588335079e-14,1.51575579588335079e-14,3.89607743410919427e-16,1.75463728804607788e+00,42,-1,1.95726910706545735e-14
43,-1.50457029524925403e-14,1.50457029524925403e-14,3.86732638019399473e-16,1.74168896447617771e+00,43,-1,2.17855141343428364e-14
737,1.42920232760230399e-14,1.42920232760230399e-14,3.67360161344630954e-16,1.65444308574244636e+00,42,-1,2.09543054035365640e-14
44,-1.42461133826022550e-14,1.42461133826022550e-14,3.66180099884566820e-16,1.64912856139062725e+00,44,-1,2.08496701332570728e-14
45,-1.39800715784053308e-14,1.39800715784053308e-14,3.59341798670898905e-16,1.61833159059290521e+00,45,-1,2.03850614117956585e-14
736,1.38887054119217623e-14,1.38887054119217623e-14,3.56993335544816973e-16,1.60775505293338949e+00,43,-1,1.96459667903541597e-14
46,-1.36146116157948281e-14,1.36146116157948281e-14,3.49948067060145753e-16,1.57602598441109887e+00,46,-1,2.01336183346529180e-14
735,1.34338993608588890e-14,1.34338993608588890e-14,3.45303064610311243e-16,1.55510675310888935e+00,44,-1,1.86353584784835753e-14
734,1.34241206289611830e-14,1.34241206289611830e-14,3.45051713457412322e-16,1.55397476815035440e+00,45,-1,2.07110281832419173e-14
47,-1.32913442676132701e-14,1.32913442676132701e-14,3.41638848491725289e-16,1.53860459076262046e+00,47,-1,1.79955813297489192e-14
48,-1.31516273058370674e-14,1.31516273058370674e-14,3.38047583306284754e-16,1.52243097021168183e+00,48,-1,1.90099168048200743e-14
49,-1.27098495899448134e-14,1.27098495899448134e-14,3.26692190871337585e-16,1.47129082907300801e+00,49,-1,1.89690823839465147e-14
733,1.26657130792430847e-14,1.26657130792430847e-14,3.25557712191906850e-16,1.46618159131506376e+00,46,-1,5.43555781055067027e-14
50,-1.26579004446224038e-14,1.26579004446224038e-14,3.25356897327604499e-16,1.46527720156702146e+00,50,-1,2.07265174825941717e-14
732,1.24708954429018020e-14,1.24708954429018020e-14,3.20550146997188761e-16,1.44362952257009813e+00,47,-1,1.85498652552648588e-14
731,1.24340341416625700e-14,1.24340341416625700e-14,3.19602669281186511e-16,1.43936246228136855e+00,48,-1,1.87144848849943796e-14
730,1.24054290091565549e-14,1.24054290091565549e-14,3.18867406968094477e-16,1.43605113520210770e+00,49,-1,1.75045420767631813e-14
51,-1.23343825588810696e-14,1.23343825588810696e-14,3.17041238976893992e-16,1.42782680571742104e+00,51,-1,1.75944397566679048e-14
729,1.21815904603579511e-14,1.21815904603579511e-14,3.13113892310743259e-16,1.41013960873519006e+00,50,-1,1.77833723214244269e-14
52,-1.21493439691595906e-14,1.21493439691595906e-14,3.12285033024647524e-16,1.40640675836318674e+00,52,-1,1.79415616974683403e-14
728,1.19865167449767392e-14,1.19865167449767392e-14,3.08099744896306663e-16,1.38755789630795268e+00,51,-1,1.73714970033825327e-14
53,-1.19684969002731014e-14,1.19684969002731014e-14,3.07636565335940344e-16,1.38547192101248107e+00,53,-1,1.86111077371196685e-14
54,-1.17201251276952378e-14,1.17201251276952378e-14,3.01252452136185946e-16,1.35672043118497609e+00,54,-1,1.71044602278066900e-14
727,1.15159462365583312e-14,1.15159462365583312e-14,2.96004266561435480e-16,1.33308470458615869e+00,52,-1,1.82953377366293567e-14
55,-1.14471805884663872e-14,1.14471805884663872e-14,2.94236723989600647e-16,1.32512440051828206e+00,55,-1,1.85550915338954303e-14
726,1.13495903186467263e-14,1.13495903186467263e-14,2.91728277384509998e-16,1.31382736132231703e+00,53,-1,1.85401496038582120e-14
725,1.13054810347610981e-14,1.13054810347610981e-14,2.90594498539340842e-16,1.30872127533769245e+00,54,-1,1.59764583008526091e-14
56,-1.11790910299736810e-14,1.11790910299736810e-14,2.87345787586781103e-16,1.29409038190231018e+00,56,-1,1.73929039321153762e-14
57,-1.11474384930485883e-14,1.11474384930485883e-14,2.86532195218003183e-16,1.29042628761345024e+00,57,-1,1.68682211822005527e-14
58,-1.10639813343385884e-14,1.10639813343385884e-14,2.84387024118225840e-16,1.28076529584784704e+00,58,-1,1.62371747627146844e-14
724,1.10285949626324686e-14,1.10285949626324686e-14,2.83477457784033646e-16,1.27666897324411055e+00,55,-1,1.97934381147660779e-14
723,1.10020510088113716e-14,1.10020510088113716e-14,2.82795175718708354e-16,1.27359624798894977e+00,56,-1,1.81990492484946640e-14
59,-1.08324198936289126e-14,1.08324198936289126e-14,2.78435001330590629e-16,1.25395976823935240e+00,59,-1,1.59657100579709737e-14
60,-1.08066974040346527e-14,1.08066974040346527e-14,2.77773834066513651e-16,1.25098213559522575e+00,60,-1,1.78007268218210339e-14
722,1.06886680320647012e-14,1.06886680320647012e-14,2.74740023647031020e-16,1.23731906812053105e+00,57,-1,1.70296308108105637e-14
721,1.05610886825757484e-14,1.05610886825757484e-14,2.71460741945109068e-16,1.22255049626971246e+00,58,-1,1.68237829583361930e-14
61,-1.05049835886376671e-14,1.05049835886376671e-14,2.70018624481171901e-16,1.21605577659650055e+00,61,-1,1.66835372934687952e-14
62,-1.03774055331001705e-14,1.03774055331001705e-14,2.66739376038796678e-16,1.20128735453336422e+00,62,-1,1.48003681729930762e-14
