cluster_id,cluster_branch,sigma,sigma_over_sigma1,mult,dim,occupation_fraction,delta_C,overlap_parent,invariance_residual,kbj_residual
19,20,1.88440830135158528e+01,4.83181615731174907e-01,1,2,2.31389432761718174e-18,9.98889234811069726e-01,2.22029657855573031e-03,1.53834586436811807e-15,1.42526700456290177e-15
20,22,1.88237328376843287e+01,4.82659816350879456e-01,1,2,4.32792976768872824e-19,9.98175643418110492e-01,3.64538488684110294e-03,1.51432953096611182e-15,1.40592894769529646e-15
21,43,1.88131071380131765e+01,4.82387362513157558e-01,1,2,8.47952214811644197e-19,9.97742626869740135e-01,4.50965052707047280e-03,1.41182713877162744e-15,1.38817218483798201e-15
22,21,1.88003562402139188e+01,4.82060416415740711e-01,1,2,5.03849290157585685e-19,9.99112588311887873e-01,1.77403587672011814e-03,1.45738515317182973e-15,1.52364248894469757e-15
23,26,1.87756365638300871e+01,4.81426578559745022e-01,1,2,7.72647506403299359e-20,9.99841860862432763e-01,3.16253267147515436e-04,1.29169164842431541e-15,1.31472653284391476e-15
24,24,1.87652474003695708e+01,4.81160189753065126e-01,1,2,8.11843762494437876e-19,9.98513590346728375e-01,2.97060989288600984e-03,1.51766723449775965e-15,1.45892358581989883e-15
25,23,1.87335830928781917e+01,4.80348284432773331e-01,1,2,1.40403021587515381e-18,9.98624168403465906e-01,2.74977028048608869e-03,1.80419407085914515e-15,1.76905787936258814e-15
26,25,1.86931982126749929e+01,4.79312774683973375e-01,1,2,1.18300126685906438e-19,9.98484365947086672e-01,3.02897095924427144e-03,1.50021126350360299e-15,1.48976383148116255e-15
27,27,1.86595578590180509e+01,4.78450201513282547e-01,1,2,2.24541366044916855e-18,9.99835385534252663e-01,3.29201833572279068e-04,1.83733021680402685e-15,1.83940380462666564e-15
28,28,1.86309709800364978e+01,4.77717204616319668e-01,1,2,1.98360569816169356e-19,9.99728719198782478e-01,5.42488009162003554e-04,1.42858653379302392e-15,1.40775057212145676e-15
29,29,1.85671625191805241e+01,4.76081090235397297e-01,1,2,3.11538415139307386e-21,9.99599379112990127e-01,8.01081276924533688e-04,1.68969006430491123e-15,1.37371675466083296e-15
30,30,1.85220679300094844e+01,4.74924818718191144e-01,1,2,1.46260684194935768e-19,9.99211624639981255e-01,1.57612918432929001e-03,1.49170700259150657e-15,1.51793488177593623e-15
31,31,1.85120182669549607e+01,4.74667135050126421e-01,1,2,3.92908486976845910e-19,9.98728899195221231e-01,2.54058591230160204e-03,1.75038953609326351e-15,1.55304030912748398e-15
32,33,1.84533624601951871e+01,4.73163140005004035e-01,1,2,5.59801292553993992e-19,9.99169967934294911e-01,1.65937517818007555e-03,1.41445999574976685e-15,1.43363383207380102e-15
33,32,1.83920902279858893e+01,4.71592057127842523e-01,1,2,2.52426522665380908e-19,9.99507989915497941e-01,9.83778095080929714e-04,1.37249182943005925e-15,1.43160598734251806e-15
