case_id,candidate_kind,base_phase,epsilon,phi,phi_over_pi,s0,stability_gain,pre_steps,C_mode,C_g,C_gain,S_start,Q_start,C_A_start,C_B_start,C_sign_start,g_D,D_visibility,D_backaction_scale,D_gain,baseline_outcome,baseline_phase_after,baseline_S_mean_after,baseline_S_amp_after,D_outcome,phase_after_D,S_mean_after_D,S_amp_after_D,S_drift_after_D,S_final_after_D,D_A_mean_tail,D_B_mean_tail,Q_max_error_after_D,D_induced_selection,D_vs_C_agreement
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,record_only,1.0,0.0,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,0.2,0.9090909090909092,0.5,0.1,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,white_selected,natural_selection,0.9809119708876497,0.0,0.0,0.9809119708876497,0.9458690776762047,0.05413092232379557,6.661338147750939e-16,True,D_selected_from_small_S
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,record_only,1.0,0.0,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,0.2,0.9090909090909092,1.0,0.2,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,white_selected,natural_selection,0.9968458964265534,0.0,0.0,0.9968458964265534,0.9531117711029787,0.046888228897021156,6.661338147750939e-16,True,D_selected_from_small_S
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,record_only,1.0,0.0,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,0.5,0.9615384615384615,0.0,0.0,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,0.0,-0.0198578545264938,0.4994710496448194,0.5005289503551806,4.440892098500626e-16,False,gray_kept
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,record_only,1.0,0.0,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,0.5,0.9615384615384615,0.02,0.01,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,unresolved,unstable_or_drifting,-0.04538751392332085,0.0,0.0,-0.04538751392332085,0.5087845800936932,0.4912154199063068,6.661338147750939e-16,False,gray_kept
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,record_only,1.0,0.0,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,0.5,0.9615384615384615,0.05,0.025,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,unresolved,unstable_or_drifting,0.8581689254332293,0.0,0.0,0.8581689254332293,0.5019201437847537,0.49807985621524625,6.661338147750939e-16,False,D_selected_from_small_S
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,record_only,1.0,0.0,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,0.5,0.9615384615384615,0.1,0.05,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,unresolved,unstable_or_drifting,0.9004598259462617,0.0,0.0,0.9004598259462617,0.9329133778587798,0.06708662214122038,6.661338147750939e-16,False,D_selected_from_small_S
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,record_only,1.0,0.0,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,0.5,0.9615384615384615,0.2,0.1,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,white_selected,natural_selection,0.9833771285518912,0.0,0.0,0.9833771285518912,0.9727774656499477,0.02722253435005234,6.661338147750939e-16,True,D_selected_from_small_S
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,record_only,1.0,0.0,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,0.5,0.9615384615384615,0.5,0.25,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,white_selected,natural_selection,0.9986596201374865,0.0,0.0,0.9986596201374865,0.9801248173737918,0.01987518262620841,4.440892098500626e-16,True,D_selected_from_small_S
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,record_only,1.0,0.0,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,0.5,0.9615384615384615,1.0,0.5,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,white_selected,natural_selection,0.9999880355768844,0.0,0.0,0.9999880355768844,0.9807634786427326,0.019236521357267167,4.440892098500626e-16,True,D_selected_from_small_S
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,record_only,1.0,0.0,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,1.0,0.9803921568627451,0.0,0.0,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,0.0,-0.0198578545264938,0.4994606780692275,0.5005393219307724,4.440892098500626e-16,False,gray_kept
