step,plane0_sigma0.148008,plane1_sigma0.148008,plane2_sigma0.148008,plane3_sigma0.148008,plane4_sigma0.148008,plane5_sigma0.148008,plane6_sigma0.418631
260,4.788304063176671e-29,2.0985089336769083e-28,5.725071343530361e-28,2.678130199348857e-29,1.2155428040400175e-28,1.204475624909709e-28,0.9999999999999997
280,6.768294322429163e-29,2.6848787629475996e-28,7.562003009322928e-28,2.5610052382380363e-29,1.6920966190467787e-28,1.6919333079997736e-28,1.0000000000000002
300,9.717122065129517e-29,3.3719473024710134e-28,1.029163209859599e-27,2.742198866983307e-29,2.324599097719939e-28,2.1904309770557788e-28,1.0000000000000002
320,1.2154748681784558e-28,4.243381399044715e-28,1.2548529668145595e-27,4.5475566675314397e-29,2.6542438207504817e-28,2.8066433308586027e-28,1.0
340,1.6166030733103459e-28,5.691555664988392e-28,1.5567577050008557e-27,8.293577239486086e-29,3.1428112977285878e-28,3.708201303714606e-28,0.9999999999999999
360,1.7746678571430093e-28,6.6826974031367015e-28,1.90478595695749e-27,1.0056763028042768e-28,3.6585072400623548e-28,4.435189009340591e-28,1.0000000000000004
380,2.131669840623358e-28,7.8223123111991955e-28,2.354930129548661e-27,1.0454378278699596e-28,4.167712173228345e-28,5.371302358370094e-28,0.9999999999999999
400,2.7069077214830667e-28,9.490737910369337e-28,3.0267626456381376e-27,1.1809749798810814e-28,4.934774244378382e-28,6.393345513740331e-28,0.9999999999999999
420,3.033337955658616e-28,1.089545282189562e-27,3.6543711646131244e-27,1.3710416972102743e-28,5.602631733214055e-28,7.483172315784188e-28,1.0000000000000002
440,3.5191891416381913e-28,1.267496127355297e-27,4.503819300135295e-27,1.5397010814724113e-28,6.761789049715999e-28,8.458699539912775e-28,1.0000000000000002
460,4.172465151476423e-28,1.4597532212985112e-27,5.5575257142025236e-27,1.728883759827696e-28,7.6522690828372115e-28,9.577684094812713e-28,0.9999999999999997
480,4.900598428595358e-28,1.699687402660993e-27,6.799707791281261e-27,2.2550583765948768e-28,8.956254478666097e-28,1.0651666048711706e-27,0.9999999999999997
500,5.967907499447016e-28,1.994918219816764e-27,8.219105014037032e-27,2.315074996144801e-28,1.0828373459787627e-27,1.1860868319224185e-27,1.0
520,6.7079573158385675e-28,2.260489968288893e-27,9.683964976080359e-27,2.7226508127952886e-28,1.3368395459645823e-27,1.3119215777963441e-27,0.9999999999999996
540,8.092423784904312e-28,2.6414359172343913e-27,1.1542713673798254e-26,3.3766796145211836e-28,1.589417528524769e-27,1.4968092982243153e-27,0.9999999999999997
560,9.421384626119569e-28,3.0460988019615464e-27,1.3357057369134915e-26,4.0339086550129227e-28,1.8774564481746213e-27,1.6976074125756785e-27,0.9999999999999997
580,1.0682808239090654e-27,3.538515876801674e-27,1.5276992990170738e-26,4.802389264174718e-28,2.231894365080386e-27,1.911069136729428e-27,0.9999999999999997
600,1.1842609922360723e-27,3.986529823225414e-27,1.728424318868055e-26,5.720789673169653e-28,2.6648837518865516e-27,2.1686270444304e-27,1.0
620,1.3006835785781066e-27,4.57985981899296e-27,1.9660740625620737e-26,6.33798935080317e-28,3.040640532286752e-27,2.4338444634114893e-27,1.0000000000000002
640,1.5690192492599702e-27,5.241271197039954e-27,2.2144011349048636e-26,6.728137380579145e-28,3.5633104459544345e-27,2.7604295016588496e-27,1.0000000000000002
660,1.868069719165966e-27,5.940827873491824e-27,2.479446502811795e-26,7.183719979496483e-28,4.129660990752906e-27,3.082167195917041e-27,0.9999999999999999
680,2.1428802134576196e-27,6.70530342135911e-27,2.747430097643131e-26,8.131615278084064e-28,4.8350910155604434e-27,3.4556854102162645e-27,1.0000000000000002
700,2.4285445161844363e-27,7.45174069575001e-27,3.0313822365415807e-26,8.72677709237279e-28,5.4784859535973236e-27,3.861158141882064e-27,1.0000000000000002
720,2.664127916358158e-27,8.191582170902283e-27,3.3525578454712935e-26,9.73706555354025e-28,6.039529752748143e-27,4.265102683918939e-27,1.0000000000000002
740,3.0394680925105565e-27,8.986794830041662e-27,3.707290688215833e-26,1.1003188761070434e-27,6.527944850916756e-27,4.678818388317236e-27,1.0000000000000002
760,3.462380161381658e-27,9.72992015114147e-27,4.044069557519346e-26,1.1132340084844203e-27,7.261026504262601e-27,5.1231508975718576e-27,0.9999999999999999
780,3.968743905622515e-27,1.053750690548897e-26,4.391961668265092e-26,1.1642613728908614e-27,7.849195364183702e-27,5.6083071679497654e-27,1.0000000000000002
800,4.42669582954827e-27,1.1472111193402124e-26,4.7881902781187154e-26,1.2750052768254973e-27,8.417779305545212e-27,6.067451326070531e-27,0.9999999999999996
820,4.946829000444514e-27,1.2641389212508997e-26,5.227610345186861e-26,1.3333285834521656e-27,9.044474677935399e-27,6.579090164881923e-27,0.9999999999999997
840,5.44913713258433e-27,1.3904588188281558e-26,5.713089239362875e-26,1.3470605112935679e-27,9.685750709548976e-27,7.167002465571488e-27,1.0000000000000002
860,5.893972822365445e-27,1.5116473814757022e-26,6.202722170476043e-26,1.3564470177378716e-27,1.051478645432877e-26,7.726056564873601e-27,1.0000000000000002
880,6.234369804062784e-27,1.635781985206833e-26,6.64728575423554e-26,1.4088972965728719e-27,1.1397748430757428e-26,8.355288837318765e-27,1.0
900,6.54441744369801e-27,1.7819782532059336e-26,7.135252371757083e-26,1.4977023481265723e-27,1.2254546357410142e-26,8.985516491695434e-27,0.9999999999999999
920,6.872891865300146e-27,1.9194725224131936e-26,7.60107377702132e-26,1.5972824024634663e-27,1.3103837774347902e-26,9.628468038233286e-27,0.9999999999999997
940,7.293721122160875e-27,2.0787715293186016e-26,8.060797091532453e-26,1.709293682572355e-27,1.3863566524392818e-26,1.0259580886829586e-26,0.9999999999999999
960,7.643175287578688e-27,2.2342159755290717e-26,8.518461621007363e-26,1.9236440193590208e-27,1.4593022199564557e-26,1.0881852671334082e-26,1.0
980,8.201699573865484e-27,2.3847209129935864e-26,8.988580106645355e-26,1.990823751676218e-27,1.5680824154033604e-26,1.159375379527537e-26,1.0
1000,8.718900499243831e-27,2.5501512715975292e-26,9.446739048386862e-26,2.114322310285855e-27,1.6585428804230273e-26,1.2213971365987346e-26,0.9999999999999997
1020,9.378579112001553e-27,2.732731721882256e-26,9.907602250506479e-26,2.2462916357680263e-27,1.7528153849246266e-26,1.2876542491382429e-26,1.0
1040,9.990914522219864e-27,2.907123242542381e-26,1.0360963145535988e-25,2.3536769338142902e-27,1.8489242175582237e-26,1.3503214375036143e-26,1.0
1060,1.0711296079436036e-26,3.090591278976295e-26,1.080152441908782e-25,2.3839609205682878e-27,1.9617531071251766e-26,1.4013820628064782e-26,1.0
1080,1.1457650809020135e-26,3.2577152511262325e-26,1.125224316175509e-25,2.479648640089464e-27,2.0720729434656857e-26,1.4475303562169057e-26,1.0
1100,1.227157469280922e-26,3.442722870696956e-26,1.1757361047237335e-25,2.5312911366781715e-27,2.1965800738485276e-26,1.4940327517558284e-26,0.9999999999999997
1120,1.290296423392302e-26,3.654702575118482e-26,1.2246516206257e-25,2.6569742145038788e-27,2.2934566179901973e-26,1.5351959206473403e-26,0.9999999999999999
1140,1.3800501987165098e-26,3.8618364537637707e-26,1.2716959661256273e-25,2.728582356831096e-27,2.411418315432247e-26,1.571589243569862e-26,0.9999999999999996
1160,1.4639870783133956e-26,4.0345642701396227e-26,1.3211616789257002e-25,2.68664194233439e-27,2.520550663715944e-26,1.621847000402118e-26,0.9999999999999999
1180,1.527724114243284e-26,4.231028748669732e-26,1.3748138245719307e-25,2.7302193254325715e-27,2.628644357231844e-26,1.6669677988392487e-26,0.9999999999999999
1200,1.5948619002465058e-26,4.412898426431517e-26,1.4363196535585632e-25,2.8767058236100898e-27,2.7297909024670063e-26,1.7020492835858687e-26,1.0000000000000002
1220,1.6767446169816562e-26,4.6042623558941695e-26,1.4951208831797687e-25,3.0147459332409687e-27,2.860385420923764e-26,1.7405368181238861e-26,1.0
1240,1.736084369682421e-26,4.7968711184913946e-26,1.5575041215319155e-25,3.164231331752298e-27,2.98257388051019e-26,1.7983576375873508e-26,1.0000000000000004
1260,1.812744083978773e-26,4.949012455258901e-26,1.6135719131465462e-25,3.1838825536365676e-27,3.1355403128634283e-26,1.8568794513446343e-26,0.9999999999999999
1280,1.8969845100520778e-26,5.1422269148455873e-26,1.6740399025241423e-25,3.275881517247444e-27,3.262789539146013e-26,1.9142693721246283e-26,1.0000000000000002
1300,1.966089666254004e-26,5.365660306435113e-26,1.732222398948487e-25,3.445364821509357e-27,3.404477517482745e-26,1.9800765780613327e-26,1.0000000000000002
1320,2.0434104606847945e-26,5.559913792457629e-26,1.795985816966322e-25,3.4898056918932456e-27,3.5603257605260164e-26,2.0442761433619986e-26,1.0
1340,2.129333379118188e-26,5.821579370565183e-26,1.8624214789144294e-25,3.5538153838506974e-27,3.754883641703395e-26,2.1214367043954215e-26,1.0
1360,2.1921704104700816e-26,6.064823356708743e-26,1.9263855815916101e-25,3.7049867917353695e-27,3.9311453509468864e-26,2.2061707035392587e-26,1.0
1380,2.2913532096069394e-26,6.300889568151817e-26,1.9930068858673946e-25,3.8683067279355275e-27,4.1208658709200723e-26,2.2922536898428225e-26,1.0000000000000002
1400,2.3802281067436722e-26,6.55144764682436e-26,2.0585736497604827e-25,4.0005371649201416e-27,4.2831386417766143e-26,2.3950872986950534e-26,1.0000000000000002
1420,2.4463788369029294e-26,6.78284701890694e-26,2.12707648741614e-25,4.134795858882416e-27,4.4602536479119984e-26,2.484543427640831e-26,1.0000000000000002
1440,2.5389905966256762e-26,7.017675315087149e-26,2.198885426104188e-25,4.197236788799057e-27,4.66086332714005e-26,2.589136348271057e-26,1.0000000000000002
1460,2.621165177672317e-26,7.293936355654223e-26,2.274842564232524e-25,4.323652850007156e-27,4.838902425336869e-26,2.680588243514811e-26,1.0
1480,2.728392832744068e-26,7.573449113205172e-26,2.3489051900343117e-25,4.547615407015245e-27,4.9788550722214137e-26,2.756157599372597e-26,1.0000000000000002
1500,2.866448898883573e-26,7.815862690839608e-26,2.426766499262335e-25,4.6526305991872625e-27,5.13000195044667e-26,2.8185187521706665e-26,0.9999999999999999
1520,3.028477392591049e-26,8.075229390132662e-26,2.5051814661185106e-25,4.7919056495202406e-27,5.26448295908788e-26,2.86842105305474e-26,1.0
1540,3.1968519411602106e-26,8.367421598759155e-26,2.5883002629084927e-25,5.065498544091602e-27,5.411246883871881e-26,2.902868160828517e-26,1.0000000000000002
1560,3.3926216334135883e-26,8.675057269617699e-26,2.6742283450064925e-25,5.277983248338968e-27,5.530065618464878e-26,2.9425964549368565e-26,1.0
1580,3.5709257235807007e-26,8.974807486307973e-26,2.7636366578648913e-25,5.600049569033077e-27,5.70560618505333e-26,2.978916550484948e-26,0.9999999999999996
1600,3.7347134143973414e-26,9.309166945329329e-26,2.8659450273328176e-25,5.993259370127284e-27,5.863429506564703e-26,3.004748077339552e-26,1.0
1620,3.959186795297302e-26,9.623719563993763e-26,2.964970055141069e-25,6.3408960591874e-27,6.070362929303493e-26,3.058782183397853e-26,1.0000000000000002
1640,4.1444922425749266e-26,9.966101748045395e-26,3.0667744433670985e-25,6.886861082495986e-27,6.317735654604264e-26,3.128354058266738e-26,0.9999999999999997
1660,4.343319425191837e-26,1.0284288056124345e-25,3.1710233382740287e-25,7.355997083184263e-27,6.625442659901295e-26,3.222213516836806e-26,1.0000000000000002
1680,4.553212918346114e-26,1.064054626303215e-25,3.2789453226095876e-25,7.854541833894415e-27,6.957670616066423e-26,3.3311626623189514e-26,1.0000000000000002
1700,4.75955631023913e-26,1.1027988227492398e-25,3.3777063468660125e-25,8.281375397433975e-27,7.281804418690828e-26,3.472725137087907e-26,1.0
1720,4.9532218298720583e-26,1.1485591044710351e-25,3.47880844714763e-25,8.757654461057887e-27,7.634457958326853e-26,3.6450355203017124e-26,0.9999999999999997
1740,5.136364125977555e-26,1.1887456863733595e-25,3.575777619745944e-25,9.146018613362364e-27,8.012403638852573e-26,3.8679514968225935e-26,1.0000000000000007
1760,5.317519696284295e-26,1.2341154589694036e-25,3.6642891189395005e-25,9.607527711962968e-27,8.341770410883774e-26,4.0992351125788685e-26,1.0000000000000002
1780,5.506742677625048e-26,1.2710575082052524e-25,3.747167445322673e-25,9.976828560650579e-27,8.748754397017611e-26,4.3831423464794915e-26,0.9999999999999999
1800,5.686278171804365e-26,1.314250668069656e-25,3.829812278165746e-25,1.0403556938319991e-26,9.075616170928673e-26,4.679432400046505e-26,1.0
1820,5.824173908506755e-26,1.3658629599569959e-25,3.9114973143950686e-25,1.0657662557266818e-26,9.350862882838441e-26,5.0055690390632677e-26,1.0000000000000002
1840,5.993647946884509e-26,1.4183905537704978e-25,3.9792726903779945e-25,1.0914852741385433e-26,9.629705764708523e-26,5.314363410623119e-26,0.9999999999999999
1860,6.19868709347154e-26,1.4668762033735224e-25,4.0458980028127486e-25,1.1185731062141729e-26,9.891219280374441e-26,5.622896688471355e-26,1.0000000000000002
1880,6.457845819763441e-26,1.5172811897416619e-25,4.1046930921216803e-25,1.1314762024535511e-26,1.0132721914476107e-25,5.907646858371324e-26,1.0
1900,6.724406020822195e-26,1.5698010572025998e-25,4.153011129342298e-25,1.1399051069897003e-26,1.034973142442564e-25,6.185120614401763e-26,0.9999999999999997
1920,6.974803709282097e-26,1.6180011236243783e-25,4.197950997524992e-25,1.1546726948319684e-26,1.0518916275122226e-25,6.465482777083008e-26,0.9999999999999999
1940,7.224390438579448e-26,1.6665288529092964e-25,4.234704572062424e-25,1.1658094169509386e-26,1.0678355087935662e-25,6.695564354588553e-26,0.9999999999999999
1960,7.514744720500407e-26,1.7150512949838958e-25,4.266662502738414e-25,1.1898784804506337e-26,1.0814533616354907e-25,6.906119970453041e-26,0.9999999999999999
1980,7.861112436954534e-26,1.764127602319191e-25,4.3033988617969355e-25,1.2135323063817764e-26,1.0943493640887997e-25,7.092376710683344e-26,1.0000000000000002
2000,8.224727191824737e-26,1.8153782943533486e-25,4.354541079175234e-25,1.244182785964165e-26,1.1120674151698013e-25,7.290549671166326e-26,0.9999999999999999
2020,8.546448422138812e-26,1.8629492734863987e-25,4.416902563710693e-25,1.2793919607354058e-26,1.140233639677894e-25,7.459260538586681e-26,1.0000000000000002
2040,8.829988335134898e-26,1.9117696094147187e-25,4.477281624898602e-25,1.3100483414430316e-26,1.171038197814087e-25,7.641111517522068e-26,1.0
2060,9.090113581802263e-26,1.9577408558784415e-25,4.5299618743148515e-25,1.3470484654495145e-26,1.197216255812868e-25,7.839140910464713e-26,1.0
2080,9.397244149533184e-26,2.012102144374471e-25,4.584241403131466e-25,1.3799548834903484e-26,1.2249877463417057e-25,8.072126842050037e-26,1.0000000000000004
2100,9.698578158508089e-26,2.0686781250654187e-25,4.642540850670327e-25,1.4169639557647462e-26,1.2606320304790693e-25,8.341292676862124e-26,1.0000000000000002
2120,1.0059047208637429e-25,2.1310526770778757e-25,4.712739563623863e-25,1.4743192482389988e-26,1.2982152943433174e-25,8.67302314836848e-26,1.0
2140,1.0393577746845172e-25,2.193313161794986e-25,4.787010027188046e-25,1.523182722855958e-26,1.3434759662925798e-25,9.071073131559543e-26,0.9999999999999996
2160,1.0613818122157113e-25,2.2658105734231035e-25,4.871603308146702e-25,1.5628763593315155e-26,1.3959978711927102e-25,9.485366315409292e-26,1.0
2180,1.0822028334050785e-25,2.327414713817567e-25,4.959190650582586e-25,1.5791128856367906e-26,1.4537236784316204e-25,9.93253502828431e-26,1.0
2200,1.104243701478284e-25,2.3969925337601676e-25,5.043348027082566e-25,1.5986475956516876e-26,1.5054328150553614e-25,1.045061964626405e-25,1.0
2220,1.1304819000255526e-25,2.469872312008347e-25,5.119385428372506e-25,1.6092622230159237e-26,1.5535955662633002e-25,1.1033797393565684e-25,0.9999999999999997
2240,1.154954666874964e-25,2.53850062642095e-25,5.196255196138702e-25,1.6307668575798622e-26,1.599422016894304e-25,1.163819774169896e-25,1.0000000000000002
2260,1.181366529864359e-25,2.6005194103290643e-25,5.259887687819812e-25,1.6342562915509736e-26,1.6466338526418871e-25,1.2252665161849283e-25,0.9999999999999999
2280,1.2094040020869831e-25,2.671100270513809e-25,5.324720416240354e-25,1.631199114824839e-26,1.6896080633873458e-25,1.2864753179948665e-25,0.9999999999999999
2300,1.244581618186937e-25,2.739991300503415e-25,5.387593125965102e-25,1.62163154165451e-26,1.7219230898007565e-25,1.3468237502432679e-25,1.0
2320,1.278049963521326e-25,2.804515167230738e-25,5.453300148662008e-25,1.6068577037876408e-26,1.7489938068968557e-25,1.4024591476177503e-25,0.9999999999999999
2340,1.3136807105803063e-25,2.8666546168992884e-25,5.501853434482017e-25,1.5846224345115323e-26,1.77337522253034e-25,1.4503885194857347e-25,1.0000000000000002
2360,1.3472777399593366e-25,2.926036073890665e-25,5.557926227297373e-25,1.5690270579506528e-26,1.791779155070908e-25,1.4876543667226298e-25,0.9999999999999999
2380,1.3840027376322394e-25,2.9899844895727783e-25,5.616650820395346e-25,1.5516190097258216e-26,1.8115414706342568e-25,1.5202227130722957e-25,1.0000000000000002
2400,1.4275869816136753e-25,3.04685085918043e-25,5.676964722489202e-25,1.5701622757009007e-26,1.8291272475670196e-25,1.5466526191732493e-25,1.0
2420,1.4653251931729268e-25,3.099707205338045e-25,5.737806464753257e-25,1.5864973849897317e-26,1.8455960470124882e-25,1.5690996347410005e-25,1.0000000000000002
2440,1.5046430940815753e-25,3.1555891978642327e-25,5.79954729259752e-25,1.609777737001784e-26,1.87416453735543e-25,1.5868489548227702e-25,1.0000000000000004
2460,1.543804177539625e-25,3.2082630241238417e-25,5.862953210786499e-25,1.6417565584316351e-26,1.905303838924399e-25,1.6011349610445793e-25,0.9999999999999999
2480,1.5840640859817884e-25,3.264151732685184e-25,5.931078865400027e-25,1.6778364863592223e-26,1.9484028748605604e-25,1.6192677005634487e-25,0.9999999999999999
2500,1.614448533586567e-25,3.3182452881820197e-25,6.005638930650185e-25,1.7247635181099907e-26,1.9966882101971957e-25,1.6380013441602078e-25,1.0000000000000002
2520,1.647798491998923e-25,3.3806902232008544e-25,6.089274353295369e-25,1.7655831036380308e-26,2.0556977103592658e-25,1.664220020008824e-25,0.9999999999999997
2540,1.6742433628574885e-25,3.4479263043377115e-25,6.174238025591779e-25,1.825618925549507e-26,2.1228545913271356e-25,1.7018120741519863e-25,0.9999999999999996
2560,1.7007190529736247e-25,3.516252667326807e-25,6.262852065137425e-25,1.8565322116951265e-26,2.2019802765955795e-25,1.753247698516596e-25,0.9999999999999996
2580,1.7254128361548283e-25,3.592522930210572e-25,6.364486374307196e-25,1.9151823556450851e-26,2.278106138160737e-25,1.812109985299641e-25,1.0000000000000002
2600,1.7531365336396974e-25,3.671765948182823e-25,6.485856243527372e-25,1.9439992665538008e-26,2.359733112966738e-25,1.884965298561168e-25,0.9999999999999997
2620,1.7822146952407989e-25,3.7521411712612775e-25,6.611378822564113e-25,1.9705707524524553e-26,2.439171108512494e-25,1.9682780013228057e-25,0.9999999999999997
2640,1.821826424633968e-25,3.8484094353336946e-25,6.755160639376117e-25,1.9885078838975536e-26,2.5218451665767326e-25,2.0612179895855277e-25,1.0000000000000002
2660,1.8609509408968746e-25,3.945362014160842e-25,6.9029039442306935e-25,1.991531696313068e-26,2.5894284951311814e-25,2.1589454808160505e-25,0.9999999999999996
2680,1.912731160167621e-25,4.0380034944785814e-25,7.056775896058475e-25,1.9929319581327548e-26,2.6586604891743525e-25,2.2634410523534035e-25,1.0
2700,1.9721285869869094e-25,4.1343090319369186e-25,7.216116959734076e-25,1.9910058961784073e-26,2.7144129098515264e-25,2.3652786684411385e-25,0.9999999999999997
2720,2.0330458789812412e-25,4.231130605481275e-25,7.376390093395148e-25,1.9762426444655781e-26,2.767112088642677e-25,2.4560775537956973e-25,1.0000000000000002
2740,2.099879925859599e-25,4.32575387348322e-25,7.5283620415181855e-25,1.979767660273452e-26,2.812066469210006e-25,2.5410322000230012e-25,0.9999999999999997
2760,2.161483653018407e-25,4.407272325702996e-25,7.681374080105976e-25,1.9726096764125645e-26,2.8533848417152946e-25,2.6129774074718587e-25,0.9999999999999994
2780,2.218178597862978e-25,4.490845951607653e-25,7.833136977788213e-25,1.9733797380628158e-26,2.885565324991406e-25,2.670507774367955e-25,0.9999999999999999
2800,2.2892116070927294e-25,4.5647778129578915e-25,7.986418724761634e-25,1.975212078907963e-26,2.914300306306846e-25,2.723177253558622e-25,1.0000000000000002
2820,2.3502557764880554e-25,4.645136881131467e-25,8.1454678778766935e-25,2.001445669775793e-26,2.9499078373382026e-25,2.7573887611058565e-25,1.0000000000000002
2840,2.409194671908968e-25,4.721112348929907e-25,8.299770383200142e-25,2.0242258515574964e-26,3.002217053382568e-25,2.782539214626993e-25,1.0000000000000004
2860,2.4619391978686286e-25,4.793532490103427e-25,8.450140414118271e-25,2.063510416827282e-26,3.0567887238102803e-25,2.801985071806198e-25,1.0000000000000002
2880,2.5057081855518533e-25,4.856602493895404e-25,8.592067229620453e-25,2.0898256757567298e-26,3.115329682523255e-25,2.8138929698415344e-25,1.0000000000000002
2900,2.5499737767157393e-25,4.928209155750747e-25,8.748839351895083e-25,2.1249215303894475e-26,3.1855277176926054e-25,2.831448938189982e-25,1.0000000000000002
2920,2.5835986081468707e-25,4.99071711025344e-25,8.923924915837883e-25,2.183265207603829e-26,3.272755842125366e-25,2.8537484998225377e-25,0.9999999999999996
2940,2.6175625459617995e-25,5.063173290531169e-25,9.095941362179332e-25,2.2359290911712629e-26,3.3712686765644913e-25,2.890493501426776e-25,1.0000000000000002
2960,2.6473330143811723e-25,5.136529479311637e-25,9.28014617743432e-25,2.3045483421511606e-26,3.470655055999652e-25,2.9300947130708054e-25,1.0000000000000007
2980,2.676797875744439e-25,5.223712756743464e-25,9.485397054912103e-25,2.364044050293245e-26,3.582961517383518e-25,2.985634693523445e-25,0.9999999999999999
3000,2.7065615250843323e-25,5.314885168220205e-25,9.703750561370426e-25,2.43315221055599e-26,3.6914799446940167e-25,3.0585792455109183e-25,1.0
3020,2.743978947344133e-25,5.41315143277655e-25,9.935763218773801e-25,2.4611347585890305e-26,3.8138751286650214e-25,3.146243558244828e-25,1.0
3040,2.771503312929264e-25,5.507912063148017e-25,1.0189538844896055e-24,2.5065739698129026e-26,3.931056471120394e-25,3.2440444393884077e-25,1.0000000000000002
3060,2.812011744370435e-25,5.619682606197013e-25,1.0451464939272317e-24,2.5494444660675902e-26,4.043885962171143e-25,3.361106002936566e-25,0.9999999999999999
3080,2.8584507415833695e-25,5.721562160639269e-25,1.0706339600264944e-24,2.5802693779087558e-26,4.144742748888756e-25,3.4841774870838565e-25,0.9999999999999999
3100,2.9112318583402087e-25,5.831170132975349e-25,1.0957887626702565e-24,2.589752725792367e-26,4.247891406550148e-25,3.6033221546919664e-25,0.9999999999999997
3120,2.963906263794722e-25,5.93356224088109e-25,1.1206336486540884e-24,2.6017329293330784e-26,4.338630112905343e-25,3.7231609668346183e-25,0.9999999999999997
3140,3.0306010547257395e-25,6.037932979583339e-25,1.1454945105251066e-24,2.6068397865185796e-26,4.403455150351424e-25,3.8379035379352923e-25,1.0
3160,3.109363318752945e-25,6.139493482408662e-25,1.1716519481465711e-24,2.6209571412053934e-26,4.460566634143896e-25,3.9452864935494896e-25,1.0000000000000004
3180,3.1811564684472825e-25,6.223177870493192e-25,1.1978449660033638e-24,2.6092632821060623e-26,4.525902180835897e-25,4.0328237280077363e-25,1.0
3200,3.256031570721158e-25,6.314016874828891e-25,1.2242321185193975e-24,2.60710536050094e-26,4.572717699953682e-25,4.1059971224447513e-25,1.0000000000000002
3220,3.330280494003644e-25,6.39538477925376e-25,1.251287479539554e-24,2.6310983484262014e-26,4.628786089948177e-25,4.159117200797037e-25,0.9999999999999997
3240,3.4080397815890575e-25,6.481108071264393e-25,1.2770187977210387e-24,2.626006177186892e-26,4.679957769551966e-25,4.197212972059328e-25,1.0000000000000002
3260,3.4711912132876227e-25,6.562412841298397e-25,1.3038808326437144e-24,2.6504578495168005e-26,4.72829854391502e-25,4.2260910583167005e-25,0.9999999999999997
3280,3.536178189191182e-25,6.629250230980788e-25,1.332911650644893e-24,2.662035263852211e-26,4.796455184607931e-25,4.241696874815441e-25,0.9999999999999999
3300,3.592322067242586e-25,6.702885095097247e-25,1.3627881092476597e-24,2.6965582667333936e-26,4.886613905086322e-25,4.252135784217927e-25,1.0
3320,3.640285212408922e-25,6.778085313620802e-25,1.3963218765191304e-24,2.7214215091620105e-26,4.987559948923257e-25,4.261477310486664e-25,1.0
3340,3.673679009094551e-25,6.847802497196589e-25,1.4302044628650369e-24,2.764417383406925e-26,5.10595985655885e-25,4.269097164116034e-25,0.9999999999999996
3360,3.7063288758809806e-25,6.914494113497215e-25,1.4665654431142914e-24,2.8197366762775326e-26,5.2357430840846865e-25,4.290883986167564e-25,1.0
3380,3.7359409794932353e-25,6.982869050776844e-25,1.506319577755222e-24,2.865426395931295e-26,5.3808355381083115e-25,4.318004684585204e-25,1.0
3400,3.764331590923851e-25,7.050980824775274e-25,1.549649809612962e-24,2.901764509425038e-26,5.540543444234629e-25,4.351529691660643e-25,1.0
3420,3.782380664560107e-25,7.1200772530642155e-25,1.5952013669160833e-24,2.953750644385835e-26,5.71362575844463e-25,4.398722838238609e-25,0.9999999999999999
3440,3.8045568299233605e-25,7.19122879665275e-25,1.6434188841951926e-24,2.981002006273579e-26,5.881418149349952e-25,4.457083844740189e-25,1.0
3460,3.8323108904431615e-25,7.261162225396048e-25,1.6955697804772124e-24,3.004293475415172e-26,6.046618913635667e-25,4.531217378171071e-25,0.9999999999999999
