step,r1_full,r2_full,r3_full,r4_full,r5_full,r6_full,r7_full,r1_perp,r2_perp,r3_perp,r4_perp,r5_perp,r6_perp,r7_perp
440,0.3038082687374573,0.3038082687374526,0.30380826873744593,0.3038082687374419,0.3038082687374347,0.3038082687374318,2.6538145205965993e-09,3.5434491430840195e-14,3.309028391314718e-14,3.025509727408667e-14,2.568708808685178e-14,1.9377257099508663e-14,1.1909297529230815e-14,2.8769943848245845e-22
480,0.3038082687374592,0.3038082687374543,0.30380826873744865,0.30380826873744254,0.3038082687374358,0.30380826873742667,1.6082222454309082e-09,4.2238557799959547e-14,3.933864919720286e-14,3.7381889583695275e-14,2.919138415784805e-14,2.340289710038068e-14,1.3805084690295242e-14,2.9160176276593046e-22
520,0.30380826873746103,0.30380826873745614,0.3038082687374501,0.30380826873744216,0.3038082687374348,0.30380826873742744,3.3235903618624543e-09,5.0836711722697115e-14,4.591608880870537e-14,4.440842005860313e-14,3.458400380275438e-14,2.751528049337367e-14,1.6109807860474415e-14,3.8267050262237864e-22
560,0.30380826873746036,0.3038082687374531,0.3038082687374423,0.30380826873743405,0.3038082687374264,0.30380826873742345,1.6310714040648065e-09,6.046238488462074e-14,5.3223213897922075e-14,5.228871192643811e-14,4.1725985797785686e-14,3.2981325530824954e-14,1.9479411113385863e-14,2.969163177858564e-22
600,0.3038082687374619,0.3038082687374574,0.3038082687374427,0.3038082687374362,0.3038082687374268,0.3038082687374231,1.657024239699714e-09,7.014601136838655e-14,6.052658451656337e-14,5.825067919938313e-14,4.87042814467998e-14,3.8153894992468435e-14,2.3345281238210624e-14,4.1182282658824167e-22
640,0.30380826873746486,0.3038082687374621,0.3038082687374487,0.3038082687374402,0.30380826873742917,0.30380826873742417,1.4420471088523245e-09,8.065882590311612e-14,6.916807884584294e-14,6.643281024577769e-14,5.6675829421336294e-14,4.264704029618157e-14,2.6378117306709696e-14,7.094194512272793e-22
680,0.3038082687374681,0.30380826873746253,0.3038082687374493,0.3038082687374386,0.3038082687374278,0.30380826873742334,2.8826434948279942e-09,9.152613420385691e-14,7.817377015043257e-14,7.455022085279386e-14,6.416624709970743e-14,4.779367384726245e-14,3.165065327342716e-14,7.800891725591928e-22
720,0.30380826873746913,0.30380826873746425,0.30380826873744743,0.30380826873744,0.303808268737426,0.30380826873742034,2.5608149457398795e-09,1.0209383912513687e-13,8.566325538925821e-14,8.099684958459627e-14,7.154825966025874e-14,5.266297516496099e-14,3.5073900535950086e-14,5.760959336294556e-22
760,0.3038082687374687,0.3038082687374659,0.30380826873744876,0.30380826873744243,0.30380826873742495,0.3038082687374178,2.068623436152121e-09,1.1242837812395909e-13,9.320679221398689e-14,8.812671757897764e-14,7.859248638448597e-14,5.624371433137258e-14,3.69429764905492e-14,1.2443571453286195e-21
800,0.3038082687374703,0.3038082687374663,0.3038082687374489,0.3038082687374415,0.30380826873742134,0.3038082687374152,2.003767207576007e-09,1.2262981228478695e-13,1.0026288901152459e-13,9.410664517498682e-14,8.54325884234003e-14,6.018185091231105e-14,4.005100907544172e-14,1.0523810742889008e-21
840,0.30380826873747596,0.3038082687374694,0.30380826873745015,0.30380826873743927,0.30380826873742245,0.3038082687374152,1.8926188207595984e-09,1.343810606874495e-13,1.095068886923289e-13,1.0305192792751563e-13,9.25632641385983e-14,6.41803861155876e-14,4.242203972703265e-14,8.428270653984402e-22
880,0.3038082687374741,0.30380826873746886,0.3038082687374462,0.3038082687374391,0.30380826873741884,0.3038082687374101,2.590899229437879e-09,1.4560074816960734e-13,1.1723317775330218e-13,1.1053684922220612e-13,1.0024379596690801e-13,7.060657325372672e-14,4.624442279299214e-14,1.198875247221388e-21
920,0.3038082687374724,0.30380826873746697,0.3038082687374449,0.30380826873743755,0.30380826873741573,0.3038082687374048,2.3154059980424845e-09,1.5680369920111823e-13,1.242087811796598e-13,1.1839443366438685e-13,1.0866772716512125e-13,7.64758042639555e-14,4.815122939867308e-14,6.510432238069476e-22
960,0.3038082687374717,0.30380826873746714,0.30380826873744166,0.3038082687374335,0.3038082687374131,0.3038082687374009,1.7321458285667207e-09,1.672279030158026e-13,1.3090435444326868e-13,1.2607625388359933e-13,1.1586492809315593e-13,8.203904325143105e-14,4.973569505521013e-14,9.849882615517046e-22
1000,0.303808268737473,0.3038082687374669,0.30380826873743677,0.30380826873743005,0.3038082687374124,0.3038082687373967,2.8876936205852485e-09,1.7770614431209475e-13,1.3823742183733433e-13,1.3336559798436484e-13,1.222580290942854e-13,8.691576203647544e-14,5.152810221746388e-14,1.725657751405887e-21
1040,0.3038082687374728,0.30380826873746736,0.30380826873743666,0.30380826873743033,0.3038082687374079,0.3038082687373934,2.3453112251045594e-09,1.880072289612945e-13,1.4545323451318788e-13,1.4082800791157099e-13,1.29004058316234e-13,9.148344595004578e-14,5.451217215939995e-14,1.2229827406152757e-21
1080,0.3038082687374687,0.303808268737465,0.3038082687374347,0.30380826873742633,0.3038082687374023,0.303808268737387,2.40046956482806e-09,1.9816222059988158e-13,1.5198085954796995e-13,1.4799380809430622e-13,1.3596331540122107e-13,9.587993000802705e-14,5.730377572425382e-14,8.115452502678942e-22
1120,0.3038082687374701,0.3038082687374652,0.3038082687374322,0.30380826873742445,0.3038082687374019,0.30380826873738404,2.999886826154882e-09,2.0846062798565534e-13,1.589530252958072e-13,1.5561075050845093e-13,1.435860142787978e-13,1.0089193811671192e-13,5.898901181467708e-14,1.4811572112954903e-21
1160,0.3038082687374682,0.30380826873746253,0.30380826873742617,0.30380826873742206,0.30380826873739664,0.3038082687373785,1.2998578607942446e-09,2.1788569703350486e-13,1.6496360416294311e-13,1.6042000197577258e-13,1.5069195275855329e-13,1.0569689438493621e-13,6.239950455444529e-14,1.3084100039883049e-21
1200,0.3038082687374655,0.3038082687374618,0.3038082687374245,0.30380826873742145,0.3038082687373901,0.3038082687373739,1.7964738589759408e-09,2.2737182803345646e-13,1.7110211103115463e-13,1.65874426663276e-13,1.5809337783782395e-13,1.100324103557981e-13,6.424287489174225e-14,2.2524439110401602e-21
1240,0.3038082687374666,0.3038082687374637,0.30380826873742434,0.303808268737421,0.30380826873738864,0.3038082687373723,3.7491865470332035e-09,2.3676671325138714e-13,1.7670938123344943e-13,1.7103242097434497e-13,1.642378717813743e-13,1.151105940407846e-13,6.616617520500343e-14,2.598133349134952e-21
1280,0.30380826873747097,0.30380826873746514,0.303808268737422,0.30380826873742006,0.3038082687373898,0.30380826873737143,1.4800574949141263e-09,2.4568258257115874e-13,1.8249340162983223e-13,1.7575980093942664e-13,1.7065881788391542e-13,1.1823224116916822e-13,6.803670382866625e-14,2.1237006485319057e-21
1320,0.3038082687374748,0.3038082687374687,0.30380826873742217,0.3038082687374202,0.30380826873738925,0.3038082687373708,2.3314663348022756e-09,2.552010203079918e-13,1.8841856631414775e-13,1.8088967662247944e-13,1.7762844476712962e-13,1.2009632190901678e-13,6.90043581930882e-14,2.4820636932815117e-21
1360,0.30380826873747496,0.30380826873746847,0.3038082687374222,0.3038082687374202,0.3038082687373853,0.30380826873736716,2.3247189384916726e-09,2.656028435999699e-13,1.9511160126431013e-13,1.8812298375123424e-13,1.855907860151618e-13,1.2323523325680124e-13,7.092115959905354e-14,1.8887506083192377e-21
1400,0.30380826873747596,0.3038082687374704,0.3038082687374204,0.3038082687374172,0.3038082687373838,0.30380826873736455,2.3342061335568976e-09,2.7630505986032297e-13,2.0254413607992537e-13,1.9536092867935835e-13,1.9299378592005555e-13,1.2560888529006887e-13,7.23288933601083e-14,2.114713831883609e-21
1440,0.30380826873747657,0.30380826873747,0.30380826873741656,0.30380826873741285,0.3038082687373809,0.3038082687373603,3.4262730396483633e-09,2.8714359884895645e-13,2.0969140926421903e-13,2.0374307133900426e-13,1.992613695321616e-13,1.2928576554365443e-13,7.33214306490997e-14,1.5833657571346068e-21
1480,0.30380826873747657,0.30380826873746897,0.3038082687374138,0.3038082687374107,0.3038082687373755,0.30380826873735683,3.1291505656492487e-09,2.9787123240027615e-13,2.17507327530732e-13,2.1244240571519701e-13,2.0567742560027518e-13,1.3484721872746562e-13,7.681406765487562e-14,1.8133205000535216e-21
1520,0.303808268737475,0.3038082687374678,0.30380826873741246,0.3038082687374102,0.30380826873737055,0.3038082687373542,2.072222760522941e-09,3.07782711769005e-13,2.2585006145796127e-13,2.1874662367802076e-13,2.129962469150511e-13,1.395656391062105e-13,8.174889608894786e-14,1.596145868651664e-21
1560,0.3038082687374712,0.3038082687374655,0.30380826873740724,0.30380826873740485,0.30380826873736494,0.303808268737349,1.997176610192144e-09,3.178528987288614e-13,2.344474031658948e-13,2.2488999788108504e-13,2.2072124445925078e-13,1.44001280567413e-13,8.653785063324167e-14,1.9378126587234006e-21
1600,0.30380826873746797,0.30380826873746153,0.30380826873740086,0.30380826873739847,0.303808268737358,0.3038082687373413,1.3852121479831216e-09,3.2864434086019776e-13,2.421571909586844e-13,2.3142890474357075e-13,2.2771433863077006e-13,1.4911806705566574e-13,9.105946236370981e-14,1.4179214495134318e-21
1640,0.30380826873746763,0.303808268737463,0.3038082687374004,0.3038082687373974,0.3038082687373529,0.3038082687373358,2.7281480468461867e-09,3.401008545961672e-13,2.497446437374919e-13,2.38821915675783e-13,2.340506070348489e-13,1.5284077753131414e-13,9.605903451184312e-14,2.022558167955329e-21
1680,0.3038082687374693,0.30380826873746397,0.3038082687373983,0.3038082687373964,0.3038082687373496,0.3038082687373316,1.7476983009148822e-09,3.529799009204982e-13,2.565052137093859e-13,2.470137600311332e-13,2.4136466634139047e-13,1.5731426972119968e-13,9.900343872175843e-14,3.3410350881695157e-21
1720,0.303808268737472,0.30380826873746786,0.30380826873739797,0.3038082687373955,0.30380826873734995,0.3038082687373279,2.3391193092659013e-09,3.6528432568440487e-13,2.6440957538649417e-13,2.5537205227401374e-13,2.494731986599932e-13,1.614488070157744e-13,1.028370030859657e-13,9.558121184348039e-22
1760,0.3038082687374733,0.30380826873746763,0.30380826873739675,0.30380826873739086,0.30380826873734573,0.30380826873732125,2.5567428853696822e-09,3.7833690565867185e-13,2.719527548712988e-13,2.6328777568927436e-13,2.561714918152264e-13,1.6396716948806095e-13,1.0627782423198697e-13,3.569900377846967e-21
1800,0.3038082687374783,0.3038082687374689,0.30380826873739747,0.3038082687373923,0.3038082687373447,0.3038082687373198,1.982163712309856e-09,3.914778046905988e-13,2.8095249981662385e-13,2.7172215280959464e-13,2.625748594338046e-13,1.6644071229221752e-13,1.0708109362796995e-13,2.69530118097129e-21
1840,0.30380826873748107,0.303808268737472,0.3038082687373981,0.3038082687373921,0.30380826873734457,0.3038082687373192,2.719176590355247e-09,4.0375715098624775e-13,2.9111528769527933e-13,2.7967185918697486e-13,2.6782917843334794e-13,1.7145329283398062e-13,1.0664642047237195e-13,2.6950482707591393e-21
1880,0.3038082687374817,0.303808268737474,0.3038082687373977,0.3038082687373922,0.3038082687373457,0.303808268737318,2.3347862367085277e-09,4.1420500340969796e-13,3.0158630329265737e-13,2.8718863098998567e-13,2.743055303786987e-13,1.7710208039139946e-13,1.0720579409733488e-13,2.512228793432734e-21
1920,0.30380826873748185,0.3038082687374732,0.3038082687373964,0.3038082687373917,0.303808268737344,0.3038082687373159,2.5751052557196524e-09,4.2326901007172675e-13,3.1066999329799807e-13,2.933160454431629e-13,2.795910506951177e-13,1.8170696479388243e-13,1.0789026695964204e-13,3.855285642278474e-21
1960,0.30380826873748157,0.3038082687374733,0.3038082687373954,0.30380826873739253,0.30380826873734157,0.30380826873731437,2.318257998423509e-09,4.30901459793772e-13,3.181222975655172e-13,2.973556131260008e-13,2.8431254265560656e-13,1.8574108526821503e-13,1.0790511603636738e-13,2.4576163330462905e-21
2000,0.30380826873748484,0.30380826873747685,0.3038082687373972,0.30380826873739536,0.3038082687373435,0.303808268737317,2.1135454030608964e-09,4.389728292887517e-13,3.241076077497483e-13,3.032099079509989e-13,2.900165343132195e-13,1.881197208893024e-13,1.0572712343361045e-13,4.037235850131671e-21
2040,0.3038082687374876,0.30380826873748085,0.3038082687373961,0.30380826873739397,0.30380826873734634,0.30380826873731476,2.110521103520714e-09,4.474978588466339e-13,3.29604370347174e-13,3.0898562502434016e-13,2.9474459074400494e-13,1.9007617524815347e-13,1.0483635766169081e-13,1.8354965216898382e-21
2080,0.3038082687374942,0.3038082687374839,0.3038082687373991,0.3038082687373967,0.3038082687373461,0.30380826873731503,2.188288083412619e-09,4.563288309089891e-13,3.345151381826686e-13,3.1402691054492915e-13,2.987607820300244e-13,1.90577571197647e-13,1.0173926674977464e-13,3.649122818479563e-21
2120,0.3038082687374995,0.3038082687374854,0.3038082687373999,0.30380826873739836,0.3038082687373452,0.303808268737315,3.7484549773687e-09,4.670479311284842e-13,3.413842256725175e-13,3.21399162971672e-13,3.054162048128567e-13,1.9080731176279357e-13,9.658677752689329e-14,2.091426630382998e-21
2160,0.3038082687374985,0.3038082687374854,0.30380826873739697,0.3038082687373917,0.3038082687373417,0.3038082687373086,1.1894783939029107e-09,4.794909672446718e-13,3.497809625905264e-13,3.303105484754044e-13,3.135626261635784e-13,1.9166977692046973e-13,8.9870718888613e-14,2.9490235504555692e-21
2200,0.3038082687374997,0.30380826873748734,0.30380826873739464,0.30380826873738753,0.3038082687373405,0.30380826873730343,1.0490251078294609e-09,4.918824776185523e-13,3.5961178108958506e-13,3.391879601864859e-13,3.19503711633269e-13,1.9314431678935215e-13,8.703223326259586e-14,2.8874285892164703e-21
2240,0.30380826873750455,0.30380826873748945,0.3038082687373965,0.30380826873738803,0.30380826873733885,0.30380826873730205,2.6133005259195256e-09,5.040888201742675e-13,3.699889048956476e-13,3.4794635573384355e-13,3.257759391956637e-13,1.9661375918660907e-13,8.579437022631385e-14,5.0666700958161705e-21
2280,0.30380826873750943,0.30380826873749306,0.3038082687373966,0.3038082687373889,0.30380826873733857,0.30380826873730177,1.6785506117874198e-09,5.153540380199677e-13,3.7999270406679736e-13,3.5547890172743563e-13,3.2977932898468926e-13,2.0212489705842097e-13,8.558722098491849e-14,2.403440466637805e-21
2320,0.3038082687375117,0.30380826873749817,0.3038082687373949,0.3038082687373901,0.3038082687373398,0.3038082687373008,1.8312617070389719e-09,5.254106150429408e-13,3.8928361313296396e-13,3.626666246274895e-13,3.344675336245908e-13,2.0828970764000242e-13,8.730048652296702e-14,3.0252095227754434e-21
2360,0.3038082687375159,0.30380826873750394,0.30380826873739775,0.30380826873739364,0.3038082687373415,0.30380826873730266,2.342334454553992e-09,5.339471734010672e-13,3.969133722858162e-13,3.685873322483762e-13,3.3869841893707374e-13,2.136615324382144e-13,8.708285616632012e-14,3.4457742951475026e-21
2400,0.3038082687375198,0.3038082687375035,0.3038082687373986,0.30380826873739686,0.30380826873734,0.30380826873730465,2.1260117519776978e-09,5.421841822737701e-13,4.03041365200609e-13,3.7522947979453286e-13,3.450155957090584e-13,2.1828036905621706e-13,8.795945615822527e-14,3.906944698481089e-21
2440,0.3038082687375221,0.3038082687375035,0.30380826873739936,0.30380826873739614,0.30380826873734046,0.3038082687373055,2.6153657784272005e-09,5.498141380877907e-13,4.083176975044046e-13,3.8166616852560084e-13,3.523915694180691e-13,2.2056838540644067e-13,8.518853823632162e-14,3.1638446831095448e-21
2480,0.3038082687375233,0.30380826873750544,0.30380826873739825,0.3038082687373953,0.30380826873734373,0.3038082687373052,2.2106987754323394e-09,5.580797055815098e-13,4.139252721310493e-13,3.8922722457923317e-13,3.6090114194028433e-13,2.202026581467625e-13,7.759745148586869e-14,3.82546173246052e-21
2520,0.3038082687375249,0.3038082687375036,0.30380826873739736,0.3038082687373962,0.3038082687373409,0.3038082687373027,2.1173433294001727e-09,5.677525447099095e-13,4.200271288297902e-13,3.973440123672472e-13,3.6953726715280314e-13,2.1999310575077215e-13,6.185572163718506e-14,3.741225832686773e-21
2560,0.30380826873752853,0.3038082687375041,0.3038082687373997,0.3038082687373946,0.30380826873733907,0.3038082687373005,1.2501307736261857e-09,5.789662836151389e-13,4.280633743952374e-13,4.0616564908370945e-13,3.772027765379017e-13,2.2040886467279995e-13,2.669767619911065e-14,4.673066743855441e-21
2600,0.3038082687375288,0.30380826873750943,0.3038082687373986,0.3038082687373901,0.30380826873733635,0.30380826873729483,2.7698366131479756e-09,5.913185581744875e-13,4.382648601379001e-13,4.152564522562374e-13,3.830747315127628e-13,2.210662522311961e-13,5.145866345575707e-14,3.538266631780175e-21
2640,0.3038082687375297,0.3038082687375134,0.30380826873739547,0.30380826873738576,0.3038082687373323,0.3038082687372868,1.9726128347854382e-09,6.054550476089109e-13,4.504581564148615e-13,4.255479195484476e-13,3.8906221058143053e-13,2.2616616004018237e-13,7.001437090491351e-14,3.2156950343610194e-21
2680,0.30380826873752953,0.303808268737512,0.30380826873739253,0.3038082687373834,0.30380826873732125,0.3038082687372774,2.1056362031020268e-09,6.194135018828353e-13,4.628829220723714e-13,4.369824831767072e-13,3.96428334522013e-13,2.3369990233301374e-13,7.772162948600356e-14,3.1762640480478798e-21
2720,0.30380826873753325,0.30380826873751327,0.3038082687373907,0.3038082687373857,0.303808268737316,0.303808268737274,2.6202274248384613e-09,6.341211909252526e-13,4.751585548607205e-13,4.491711490355531e-13,4.0494785752604255e-13,2.4389121794820236e-13,8.009939933683021e-14,5.265540028797135e-21
2760,0.30380826873753664,0.30380826873751743,0.3038082687373885,0.30380826873738553,0.303808268737317,0.30380826873727235,2.4240040131745957e-09,6.47841502249135e-13,4.864618477780045e-13,4.598344212628843e-13,4.1395904338242933e-13,2.53756847974509e-13,8.254127363118311e-14,2.43959675681088e-21
2800,0.30380826873753786,0.3038082687375157,0.3038082687373883,0.30380826873738437,0.3038082687373136,0.3038082687372703,1.7914290609448622e-09,6.60352787642659e-13,4.964109792415147e-13,4.701659774511784e-13,4.248166034298987e-13,2.612468666824898e-13,8.709192389657202e-14,4.0205287219326796e-21
2840,0.30380826873754213,0.30380826873751354,0.3038082687373899,0.3038082687373861,0.3038082687373131,0.30380826873727274,2.8663261145649077e-09,6.733878180837199e-13,5.055202516781037e-13,4.799366869903799e-13,4.370257389574028e-13,2.669417121906577e-13,8.810098724319245e-14,3.933289335080183e-21
2880,0.3038082687375466,0.3038082687375155,0.30380826873739086,0.30380826873738603,0.30380826873731653,0.30380826873727457,2.473260828987795e-09,6.847315506381977e-13,5.121497025482025e-13,4.880688633388048e-13,4.4619121188804764e-13,2.692371252431972e-13,8.082551472144685e-14,5.9300411121906965e-21
2920,0.30380826873754724,0.30380826873751887,0.3038082687373859,0.3038082687373834,0.30380826873731803,0.3038082687372728,3.253666643577458e-09,6.96828639389069e-13,5.190019299082321e-13,4.968849399464916e-13,4.5450060925830516e-13,2.688079159400684e-13,6.498116237811437e-14,3.8255141532261395e-21
2960,0.3038082687375526,0.3038082687375234,0.30380826873738837,0.30380826873738476,0.3038082687373184,0.3038082687372722,2.849988373451424e-09,7.09381158016998e-13,5.274262408791041e-13,5.063955486224803e-13,4.618288325905572e-13,2.6938348207290557e-13,1.186410330651797e-14,4.4475063150759375e-21
3000,0.3038082687375542,0.3038082687375251,0.3038082687373894,0.3038082687373828,0.30380826873731304,0.3038082687372657,2.7751801553532623e-09,7.235905394962666e-13,5.3859773172641e-13,5.172436675332162e-13,4.713511270746657e-13,2.7115835496576983e-13,6.196640441512307e-14,5.378402874874911e-21
3040,0.3038082687375591,0.3038082687375333,0.30380826873739125,0.3038082687373804,0.3038082687373121,0.3038082687372615,3.1211620425330983e-09,7.395748445059551e-13,5.518824276609022e-13,5.286886123293188e-13,4.794392802156692e-13,2.7550400547849295e-13,8.66505657060464e-14,3.647282930293234e-21
3080,0.3038082687375638,0.30380826873753974,0.3038082687373933,0.3038082687373773,0.30380826873730943,0.3038082687372562,1.8089342712655728e-09,7.561735410603548e-13,5.65415568393291e-13,5.414070490476441e-13,4.887998508750407e-13,2.8381265007053623e-13,9.982100611369695e-14,3.991253892991762e-21
3120,0.30380826873756844,0.30380826873754313,0.3038082687373959,0.3038082687373773,0.30380826873730293,0.3038082687372514,1.1906389106384495e-09,7.728146232153296e-13,5.788640880697368e-13,5.537780007707601e-13,4.983203340966011e-13,2.9442632676846367e-13,1.0563857582439759e-13,5.638678238754931e-21
3160,0.30380826873757333,0.30380826873754546,0.30380826873739547,0.30380826873738176,0.30380826873729977,0.3038082687372503,1.4419094957270615e-09,7.889027348622543e-13,5.916644989425084e-13,5.667452013384575e-13,5.101481785926474e-13,3.051049463321108e-13,1.0529914990749937e-13,4.8666274936387545e-21
3200,0.3038082687375741,0.3038082687375459,0.3038082687373926,0.3038082687373789,0.30380826873729794,0.30380826873724764,2.647535402346835e-09,8.042521883552676e-13,6.034412338701894e-13,5.784899067910455e-13,5.216211488195616e-13,3.160119355994692e-13,1.051695417542122e-13,9.670350769565656e-21
3240,0.3038082687375788,0.3038082687375466,0.30380826873739425,0.30380826873738104,0.3038082687372991,0.3038082687372497,9.841890910315035e-10,8.185940827642971e-13,6.138270125679364e-13,5.902436917234392e-13,5.337915595893599e-13,3.2420830559627485e-13,1.0181861017632139e-13,7.068029166255336e-21
3280,0.3038082687375799,0.3038082687375429,0.30380826873739225,0.3038082687373822,0.30380826873729505,0.3038082687372475,2.364861093063072e-09,8.319136983077411e-13,6.226981265482084e-13,6.013503154822575e-13,5.445302692877456e-13,3.276231763355137e-13,9.424381263368069e-14,2.2361232325622926e-21
3320,0.3038082687375817,0.30380826873754563,0.303808268737391,0.30380826873738137,0.30380826873729766,0.3038082687372459,2.6288066887901504e-09,8.45872098577673e-13,6.317594974266208e-13,6.132481004715258e-13,5.556791066197157e-13,3.2957264323014515e-13,8.291960971947072e-14,8.101685429587705e-21
3360,0.30380826873758504,0.30380826873755157,0.30380826873739275,0.3038082687373764,0.30380826873729977,0.3038082687372443,2.5121194500129934e-09,8.601225801818294e-13,6.407563514291501e-13,6.255473855145336e-13,5.65037875993049e-13,3.31070121064479e-13,8.404747209104172e-14,4.842755052639792e-21
3400,0.3038082687375944,0.3038082687375588,0.3038082687373989,0.30380826873737765,0.3038082687373003,0.30380826873724387,3.4219254599263404e-09,8.761741242609679e-13,6.516797634262049e-13,6.394250372463193e-13,5.74351097324078e-13,3.328871985627517e-13,1.0331940763451691e-13,5.303833227814026e-21
3440,0.30380826873760236,0.3038082687375667,0.30380826873740346,0.3038082687373783,0.3038082687372997,0.3038082687372395,1.6083232352910002e-09,8.939277813212097e-13,6.644866534891669e-13,6.538594885972069e-13,5.838931786510527e-13,3.3764294345113203e-13,1.2346322939890604e-13,5.7408149105817894e-21
3480,0.3038082687376122,0.3038082687375791,0.30380826873741124,0.30380826873737854,0.30380826873730055,0.3038082687372374,2.1734165602848468e-09,9.130727245517986e-13,6.79388505935633e-13,6.698788546974932e-13,5.953942654652701e-13,3.4342781802023413e-13,1.3768131042338526e-13,9.154435496028922e-21
3520,0.3038082687376198,0.3038082687375833,0.3038082687374139,0.3038082687373729,0.3038082687372959,0.3038082687372336,2.119705379191245e-09,9.342463765336422e-13,6.965776570509491e-13,6.865737731762284e-13,6.091386346544315e-13,3.5351203639939983e-13,1.4353222204880094e-13,7.916334914055331e-21
3560,0.3038082687376227,0.30380826873758354,0.30380826873741623,0.3038082687373687,0.3038082687372864,0.30380826873722805,2.722382875874951e-09,9.556297470537855e-13,7.147883542082438e-13,7.017641038834141e-13,6.234487308595968e-13,3.633597846628244e-13,1.4544177666765874e-13,3.886278175114456e-21
3600,0.30380826873762373,0.3038082687375837,0.30380826873741507,0.30380826873736727,0.30380826873728073,0.3038082687372214,2.8651203115397327e-09,9.772563743572146e-13,7.328456098614015e-13,7.161882657210682e-13,6.387180353577566e-13,3.7435610502675185e-13,1.4349455272680834e-13,9.614350182979509e-21
3640,0.3038082687376253,0.30380826873758515,0.3038082687374135,0.3038082687373619,0.30380826873727784,0.3038082687372187,2.021244016346529e-09,9.976455284532853e-13,7.498789609648087e-13,7.298520068716438e-13,6.533557673907187e-13,3.8363959163006603e-13,1.4067664625153126e-13,7.29293352959468e-21
3680,0.3038082687376303,0.3038082687375866,0.30380826873741207,0.30380826873735856,0.30380826873727923,0.3038082687372185,1.7994508513899588e-09,1.0168237942265593e-12,7.641170981510357e-13,7.435354664324329e-13,6.680819868375166e-13,3.938259758992196e-13,1.316531344361494e-13,8.10568496154677e-21
