phase_model,correction,delta_max,closure_global_abs,closure_pair_rms,closure_pair_max,transmission_leakage,reflection_rate,max_remaining_delta,rms_remaining_delta
alternating_linear,full,0.04,1.2130688578843068e-17,1.010478022208332e-18,1.7329555112632954e-18,0.0,0.9999999999999998,0.0,0.0
sinusoidal_loop,none,0.04,0.025202236735363873,0.0005627114307648578,0.000799558755509704,0.00019799598366772883,0.999802004016332,0.04,0.02814361658352461
sinusoidal_loop,constant,0.04,0.000153937243521005,0.00025030635631957785,0.000505102878340757,3.915445492330362e-05,0.9999608455450765,0.025207962998115008,0.012514861400994665
sinusoidal_loop,linear,0.04,0.006498540345534413,0.00036072498800031186,0.0007419790227232677,8.131357244525695e-05,0.9999186864275545,0.0370341874029293,0.01803524540194518
sinusoidal_loop,affine,0.04,0.00015639493662394826,0.0002501318727017695,0.0004937615879012024,3.9102127261515405e-05,0.9999608978727383,0.024715774934470948,0.01250649535584939
sinusoidal_loop,quadratic,0.04,5.118932662180426e-07,1.4311237432841867e-05,3.687096184374077e-05,1.279769337130976e-07,0.9999998720230661,0.0018399101943048829,0.0007154773133034784
sinusoidal_loop,cubic,0.04,5.087742674504873e-07,1.4266697601645014e-05,3.4372527261985465e-05,1.2719678968934543e-07,0.9999998728032101,0.0017203800312307318,0.0007132932134337606
sinusoidal_loop,full,0.04,1.2130688578843068e-17,1.010478022208332e-18,1.7329555112632954e-18,0.0,0.9999999999999998,0.0,0.0
mixed_smooth,none,0.04,0.017641886196808232,0.0004019391765107343,0.0008013684860355016,0.00010090495605631754,0.9998990950439435,0.04,0.020090960444026935
mixed_smooth,constant,0.04,0.0001465412276641376,0.00019216906449638597,0.0004479363367751538,2.3070009202515575e-05,0.9999769299907973,0.022354470083137498,0.009606350270345423
mixed_smooth,linear,0.04,0.0003779921938350558,4.985722976238124e-05,0.00011678496034965167,1.5529949072463664e-06,0.9999984470050926,0.005827755051602913,0.0024923855968137644
mixed_smooth,affine,0.04,5.63978395036784e-06,4.751496183966308e-05,0.0001314853424265753,1.409958776096103e-06,0.9999985900412237,0.0065613374096851265,0.0023748353308332415
mixed_smooth,quadratic,0.04,4.002415612373251e-06,4.001399260706696e-05,7.99442574217012e-05,1.0006443411960678e-06,0.9999989993556587,0.004001300288035524,0.0020006448325303435
