step,max_abs_error_from_one_third,mean_abs_error_from_one_third
111,0.33333333333177045,0.22222222222118027
112,0.3333333333317094,0.22222222222113971
113,0.3333333333316466,0.22222222222109775
114,0.33333333333158105,0.22222222222105395
115,0.3333333333315126,0.2222222222210084
116,0.33333333333144166,0.22222222222096108
117,0.3333333333313679,0.22222222222091195
118,0.3333333333312913,0.22222222222086088
119,0.3333333333312118,0.2222222222208079
120,0.3333333333311287,0.22222222222075258
121,0.33333333333104304,0.22222222222069543
122,0.3333333333309534,0.22222222222063567
123,0.3333333333308607,0.22222222222057378
124,0.333333333330764,0.22222222222050947
125,0.3333333333306639,0.22222222222044263
126,0.3333333333305593,0.2222222222203729
127,0.3333333333304513,0.22222222222030077
128,0.33333333333033865,0.22222222222022578
129,0.3333333333302216,0.22222222222014776
130,0.3333333333301,0.2222222222200667
131,0.33333333332997367,0.22222222221998242
132,0.33333333332984233,0.22222222221989493
133,0.33333333332970577,0.2222222222198039
134,0.333333333329564,0.22222222221970936
135,0.33333333332941656,0.22222222221961105
136,0.33333333332926335,0.22222222221950894
137,0.33333333332910414,0.2222222222194028
138,0.3333333333289388,0.22222222221929253
139,0.3333333333287669,0.22222222221917795
140,0.3333333333285882,0.22222222221905877
141,0.3333333333284026,0.2222222222189351
142,0.33333333332820964,0.22222222221880647
143,0.33333333332800935,0.2222222222186729
144,0.33333333332780096,0.22222222221853402
145,0.3333333333275846,0.22222222221838975
146,0.33333333332735954,0.22222222221823973
147,0.3333333333271257,0.22222222221808385
148,0.33333333332688286,0.2222222222179219
149,0.3333333333266304,0.2222222222177536
150,0.33333333332636816,0.22222222221757884
151,0.3333333333260955,0.22222222221739704
152,0.3333333333258122,0.22222222221720822
153,0.3333333333255179,0.22222222221701196
154,0.33333333332521203,0.222222222216808
155,0.33333333332489423,0.22222222221659615
156,0.3333333333245639,0.22222222221637597
157,0.33333333332422055,0.22222222221614707
158,0.3333333333238637,0.22222222221590915
