tau,f
431,2.6561949976987284e-21
432,2.752657725255725e-21
433,2.8526231950151315e-21
434,2.9562188220543526e-21
435,3.0635765733866094e-21
436,3.174832843691605e-21
437,3.290129468545156e-21
438,3.409612427456573e-21
439,3.533434610636173e-21
440,3.6617535203268605e-21
441,3.7947314296290856e-21
442,3.932539099350681e-21
443,4.075350678534138e-21
444,4.22334843881905e-21
445,4.3767210565384836e-21
446,4.535662892308462e-21
447,4.7003765839237894e-21
448,4.871072214752908e-21
449,5.047966147866736e-21
450,5.231283918244185e-21
451,5.421258825397071e-21
452,5.618132652931109e-21
453,5.8221557955025605e-21
454,6.033588164395094e-21
455,6.252698340853996e-21
456,6.479765108526473e-21
457,6.715078406705352e-21
458,6.958935929426857e-21
459,7.211649869366377e-21
460,7.473540686558638e-21
461,7.744941848845477e-21
462,8.026200191419581e-21
463,8.317671267460705e-21
464,8.619727330651525e-21
465,8.932752722022905e-21
466,9.257145722476598e-21
467,9.593318722688796e-21
468,9.941700414162342e-21
469,1.0302733237422234e-20
470,1.0676877848793653e-20
471,1.106460903498246e-20
472,1.1466420393003365e-20
473,1.1882824421036865e-20
474,1.2314349938200243e-20
475,1.2761546441756472e-20
476,1.3224983503086635e-20
477,1.3705250079986514e-20
478,1.4202958519623683e-20
479,1.471874074188466e-20
480,1.525325402493642e-20
481,1.5807179542566984e-20
482,1.6381220950439513e-20
483,1.6976108693789146e-20
484,1.759260097740279e-20
485,1.8231481521061046e-20
486,1.8893564196434492e-20
487,1.9579691322337337e-20
488,2.029073557677559e-20
489,2.1027601384868755e-20
490,2.179122804022869e-20
491,2.258258810230765e-20
492,2.3402686196458632e-20
493,2.4252567593757493e-20
494,2.513331374909273e-20
495,2.604604547452277e-20
496,2.6991924974361312e-20
497,2.797215526288499e-20
498,2.898798422935874e-20
499,3.0040705330770616e-20
500,3.113165854456949e-20
501,3.226223178457744e-20
502,3.3433864896232876e-20
503,3.464804648791367e-20
504,3.59063252173711e-20
505,3.7210297551902023e-20
506,3.8561630068801135e-20
507,3.9962037760225405e-20
508,4.1413305003228873e-20
509,4.2917279922576354e-20
510,4.4475873857943515e-20
511,4.6091073124170745e-20
512,4.7764933512095945e-20
513,4.949958341178764e-20
514,5.1297232722694376e-20
515,5.316016846864453e-20
516,5.509076121995347e-20
517,5.709147095522041e-20
518,5.916484031361018e-20
519,6.131351270376275e-20
520,6.354021850922842e-20
521,6.584779673426522e-20
522,6.823918162235888e-20
523,7.071741846220711e-20
524,7.328566104367979e-20
525,7.594717612149305e-20
526,7.87053565776021e-20
527,8.156370837994628e-20
528,8.452587309617999e-20
529,8.759561939554885e-20
530,9.077685705856598e-20
531,9.407363162716168e-20
532,9.749014105213836e-20
533,1.0103073679977255e-19
534,1.0469992052620185e-19
535,1.085023699469134e-19
536,1.124429167574709e-19
