波ID,関係ID,関係辺,DFTビン,倍音次数,倍音種別,倍音振幅,倍音強度,波内強度比,倍音位相度,数値誤差床より上,有限住所,有限回帰次数,倍音B/F,回転枝,住所電荷量
W0152,152,"(5,7)",19,19,第19倍音,0.004668982004169649,2.1799392955260036e-05,0.01545031400906216,-100.03393041716396,True,19/40,40,F型（奇数倍音）,正周回,0.9938441702975689
W0152,152,"(5,7)",20,20,第20倍音,0.009333257624913861,8.71096978930127e-05,0.06173897541292945,31.139208027163637,True,1/2,2,B型（偶数倍音）,正周回,1.0
W0152,152,"(5,7)",21,-19,逆回転第19倍音,0.0025976789699077973,6.747936030701232e-06,0.004782597882490206,157.86586815942042,True,-19/40,40,F型（奇数倍音）,負周回,0.9938441702975689
W0152,152,"(5,7)",22,-18,逆回転第18倍音,0.010386187287444861,0.00010787288636988125,0.07645487977115398,-77.56021235973458,True,-9/20,20,B型（偶数倍音）,負周回,0.9755282581475768
W0152,152,"(5,7)",23,-17,逆回転第17倍音,0.003152753062871757,9.939851875447249e-06,0.0070448673958221015,-96.62996104950943,True,-17/40,40,F型（奇数倍音）,負周回,0.9455032620941839
W0152,152,"(5,7)",24,-16,逆回転第16倍音,0.007915700153869928,6.26583089259764e-05,0.04440905992978876,147.9402594106706,True,-2/5,5,B型（偶数倍音）,負周回,0.9045084971874736
W0152,152,"(5,7)",25,-15,逆回転第15倍音,0.007397949198916105,5.472965234974344e-05,0.0387896266719807,-152.51870235483682,True,-3/8,8,F型（奇数倍音）,負周回,0.8535533905932737
W0152,152,"(5,7)",26,-14,逆回転第14倍音,0.009990974663795142,9.981957473259645e-05,0.07074709727169398,85.76352923279836,True,-7/20,20,B型（偶数倍音）,負周回,0.7938926261462367
W0152,152,"(5,7)",27,-13,逆回転第13倍音,0.004223061723376046,1.783425031944386e-05,0.012640020211440697,34.69529327969248,True,-13/40,40,F型（奇数倍音）,負周回,0.7269952498697734
W0152,152,"(5,7)",28,-12,逆回転第12倍音,0.0015944971834729183,2.54242126810307e-06,0.0018019404033923878,-118.21351546392594,True,-3/10,10,B型（偶数倍音）,負周回,0.6545084971874737
W0152,152,"(5,7)",29,-11,逆回転第11倍音,0.004055524125942286,1.644727593609994e-05,0.011657002482957658,-57.346739323720904,True,-11/40,40,F型（奇数倍音）,負周回,0.5782172325201153
W0152,152,"(5,7)",30,-10,逆回転第10倍音,0.0028671421500212537,8.220504108428497e-06,0.005826280119298433,179.11456717536603,True,-1/4,4,B型（偶数倍音）,負周回,0.4999999999999999
W0152,152,"(5,7)",31,-9,逆回転第9倍音,0.005012474482331504,2.5124900436024488e-05,0.017807266559197205,-133.60920350715884,True,-9/40,40,F型（奇数倍音）,負周回,0.4217827674798846
W0152,152,"(5,7)",32,-8,逆回転第8倍音,0.005720794162163203,3.2727485845840596e-05,0.023195596963784485,175.70432769689728,True,-1/5,5,B型（偶数倍音）,負周回,0.3454915028125263
W0152,152,"(5,7)",33,-7,逆回転第7倍音,0.005436191756421513,2.9552180812585215e-05,0.020945100358716703,-36.53508307045295,True,-7/40,40,F型（奇数倍音）,負周回,0.2730047501302265
W0152,152,"(5,7)",34,-6,逆回転第6倍音,0.005240758237875399,2.7465546907858857e-05,0.019466199128937337,97.50664548022797,True,-3/20,20,B型（偶数倍音）,負周回,0.20610737385376346
W0152,152,"(5,7)",35,-5,逆回転第5倍音,0.005583814593010734,3.117898540911962e-05,0.02209809768756101,-164.37204840789855,True,-1/8,8,F型（奇数倍音）,負周回,0.14644660940672624
W0152,152,"(5,7)",36,-4,逆回転第4倍音,0.004700705515813079,2.2096632346395508e-05,0.01566098234915451,131.20212636940343,True,-1/10,10,B型（偶数倍音）,負周回,0.09549150281252627
W0152,152,"(5,7)",37,-3,逆回転第3倍音,0.007816214770218282,6.109321333417843e-05,0.04329979884178021,31.34468555635482,True,-3/40,40,F型（奇数倍音）,負周回,0.05449673790581606
W0152,152,"(5,7)",38,-2,逆回転第2倍音,0.00805031363270785,6.480754958496185e-05,0.04593233368014136,103.50675334067734,True,-1/20,20,B型（偶数倍音）,負周回,0.024471741852423214
W0152,152,"(5,7)",39,-1,逆回転基本波,0.0018627234082415197,3.4697384956109043e-06,0.002459176243877198,-52.65427127104906,True,-1/40,40,F型（奇数倍音）,負周回,0.0061558297024311365
W0153,153,"(5,8)",0,0,直流,0.0059852700835307,3.582345797280759e-05,0.027729883688740325,-10.706120437517374,True,0/1,1,直流,直流,0.0
W0153,153,"(5,8)",1,1,基本波,0.007812810571184926,6.104000902121892e-05,0.04724927313836879,-167.9216371170195,True,1/40,40,F型（奇数倍音）,正周回,0.0061558297024311365
W0153,153,"(5,8)",2,2,第2倍音,0.007686017117555449,5.907485913135537e-05,0.04572810848926592,149.9360283127356,True,1/20,20,B型（偶数倍音）,正周回,0.024471741852423214
W0153,153,"(5,8)",3,3,第3倍音,0.0023508987029571705,5.5267247115657065e-06,0.004278074817560469,115.95855349126646,True,3/40,40,F型（奇数倍音）,正周回,0.05449673790581606
W0153,153,"(5,8)",4,4,第4倍音,0.007240828701036593,5.242960027775527e-05,0.040584209337157895,36.98937153024611,True,1/10,10,B型（偶数倍音）,正周回,0.09549150281252627
W0153,153,"(5,8)",5,5,第5倍音,0.005050673665770654,2.5509304478109188e-05,0.0197460012569298,43.08035894508438,True,1/8,8,F型（奇数倍音）,正周回,0.14644660940672624
W0153,153,"(5,8)",6,6,第6倍音,0.0033526181584990523,1.1240048516697578e-05,0.008700590497444776,-149.9886884948347,True,3/20,20,B型（偶数倍音）,正周回,0.20610737385376346
W0153,153,"(5,8)",7,7,第7倍音,0.005483463279662873,3.00683695394111e-05,0.023275039240232942,79.80158080559356,True,7/40,40,F型（奇数倍音）,正周回,0.2730047501302265
W0153,153,"(5,8)",8,8,第8倍音,0.008694442706962537,7.559333398465405e-05,0.058514573345479666,107.25731211391471,True,1/5,5,B型（偶数倍音）,正周回,0.3454915028125263
W0153,153,"(5,8)",9,9,第9倍音,0.007534004322396725,5.6761221129892535e-05,0.04393718945718606,-124.85537644148783,True,9/40,40,F型（奇数倍音）,正周回,0.4217827674798846
W0153,153,"(5,8)",10,10,第10倍音,0.0025588315984134023,6.547619149038887e-06,0.005068319132643114,148.83712567888068,True,1/4,4,B型（偶数倍音）,正周回,0.4999999999999999
W0153,153,"(5,8)",11,11,第11倍音,0.007314117643341615,5.349631690064111e-05,0.04140992325634245,83.97260226780392,True,11/40,40,F型（奇数倍音）,正周回,0.5782172325201153
W0153,153,"(5,8)",12,12,第12倍音,0.0025801259039869386,6.657049680424415e-06,0.005153026083871026,-154.53763560756147,True,3/10,10,B型（偶数倍音）,正周回,0.6545084971874737
W0153,153,"(5,8)",13,13,第13倍音,0.0021249696336430057,4.51549594390489e-06,0.003495312412791285,-138.5194396709508,True,13/40,40,F型（奇数倍音）,正周回,0.7269952498697734
W0153,153,"(5,8)",14,14,第14倍音,0.00447459560315036,2.002200581173254e-05,0.015498444979713187,-97.83404556499158,True,7/20,20,B型（偶数倍音）,正周回,0.7938926261462367
W0153,153,"(5,8)",15,15,第15倍音,0.00723559070090213,5.235377279098136e-05,0.04052551351303488,-106.78994174051404,True,3/8,8,F型（奇数倍音）,正周回,0.8535533905932737
W0153,153,"(5,8)",16,16,第16倍音,0.0012391143998728318,1.5354044959722082e-06,0.0011885113972190174,-83.77249229309042,True,2/5,5,B型（偶数倍音）,正周回,0.9045084971874736
W0153,153,"(5,8)",17,17,第17倍音,0.002249762890250282,5.061433062347303e-06,0.0039179062563913505,68.76607934235987,True,17/40,40,F型（奇数倍音）,正周回,0.9455032620941839
W0153,153,"(5,8)",18,18,第18倍音,0.0006844175793270369,4.6842742289188094e-07,0.0003625958712100906,-94.3269001134945,True,9/20,20,B型（偶数倍音）,正周回,0.9755282581475768
W0153,153,"(5,8)",19,19,第19倍音,0.004255082142136702,1.8105724036330664e-05,0.014015107698675651,31.786039600358958,True,19/40,40,F型（奇数倍音）,正周回,0.9938441702975689
W0153,153,"(5,8)",20,20,第20倍音,0.009413301310449334,8.861024156130718e-05,0.06859057810642889,-159.07455926700283,True,1/2,2,B型（偶数倍音）,正周回,1.0
W0153,153,"(5,8)",21,-19,逆回転第19倍音,0.005356534309130494,2.869245980489209e-05,0.022209988040167918,-37.72974190576255,True,-19/40,40,F型（奇数倍音）,負周回,0.9938441702975689
W0153,153,"(5,8)",22,-18,逆回転第18倍音,0.0022486203234409296,5.056293358991589e-06,0.003913927763406202,-107.3524942069271,True,-9/20,20,B型（偶数倍音）,負周回,0.9755282581475768
W0153,153,"(5,8)",23,-17,逆回転第17倍音,0.00855251753004389,7.314555610170804e-05,0.05661982058203938,176.25811277064687,True,-17/40,40,F型（奇数倍音）,負周回,0.9455032620941839
W0153,153,"(5,8)",24,-16,逆回転第16倍音,0.0030894130865673757,9.544473219453759e-06,0.007388095600560107,-125.40352875297104,True,-2/5,5,B型（偶数倍音）,負周回,0.9045084971874736
W0153,153,"(5,8)",25,-15,逆回転第15倍音,0.0014127770852131452,1.9959390925033503e-06,0.0015449976640150157,-79.26446704438953,True,-3/8,8,F型（奇数倍音）,負周回,0.8535533905932737
W0153,153,"(5,8)",26,-14,逆回転第14倍音,0.007047799036966486,4.967147126546571e-05,0.03844922290543527,122.12680384800679,True,-7/20,20,B型（偶数倍音）,負周回,0.7938926261462367
W0153,153,"(5,8)",27,-13,逆回転第13倍音,0.005611054119362672,3.1483928330416814e-05,0.024370781607118856,-124.91491030481909,True,-13/40,40,F型（奇数倍音）,負周回,0.7269952498697734
W0153,153,"(5,8)",28,-12,逆回転第12倍音,0.005338774447456758,2.8502512600817217e-05,0.022062955504113028,45.49765843018538,True,-3/10,10,B型（偶数倍音）,負周回,0.6545084971874737
W0153,153,"(5,8)",29,-11,逆回転第11倍音,0.006192231997701623,3.834373711335984e-05,0.029680757540274178,115.52840093286177,True,-11/40,40,F型（奇数倍音）,負周回,0.5782172325201153
W0153,153,"(5,8)",30,-10,逆回転第10倍音,0.003748228920240817,1.404922003852964e-05,0.010875087432421143,-12.939886450664927,True,-1/4,4,B型（偶数倍音）,負周回,0.4999999999999999
W0153,153,"(5,8)",31,-9,逆回転第9倍音,0.004274462933312014,1.827103336825835e-05,0.014143068783574202,12.415084432449188,True,-9/40,40,F型（奇数倍音）,負周回,0.4217827674798846
W0153,153,"(5,8)",32,-8,逆回転第8倍音,0.0020407421801855357,4.164628645988413e-06,0.0032237163717616377,-60.31001019351833,True,-1/5,5,B型（偶数倍音）,負周回,0.3454915028125263
W0153,153,"(5,8)",33,-7,逆回転第7倍音,0.0036426588868513753,1.3268963765957301e-05,0.01027111403314002,-144.82242128387148,True,-7/40,40,F型（奇数倍音）,負周回,0.2730047501302265
W0153,153,"(5,8)",34,-6,逆回転第6倍音,0.013941167750464214,0.0001943561582465834,0.15044537761985843,135.63208691532805,True,-3/20,20,B型（偶数倍音）,負周回,0.20610737385376346
W0153,153,"(5,8)",35,-5,逆回転第5倍音,0.00018112027911780182,3.2804555507710426e-08,2.5393040207903263e-05,129.96554366663352,True,-1/8,8,F型（奇数倍音）,負周回,0.14644660940672624
W0153,153,"(5,8)",36,-4,逆回転第4倍音,0.00311745100233531,9.71850075196143e-06,0.0075228051877456684,-168.08431445844755,True,-1/10,10,B型（偶数倍音）,負周回,0.09549150281252627
W0153,153,"(5,8)",37,-3,逆回転第3倍音,0.0055663621145929315,3.0984387190775495e-05,0.023984101524182438,76.63188303390545,True,-3/40,40,F型（奇数倍音）,負周回,0.05449673790581606
W0153,153,"(5,8)",38,-2,逆回転第2倍音,0.0034806904047327263,1.2115205693598471e-05,0.009378023891598104,29.163929729496502,True,-1/20,20,B型（偶数倍音）,負周回,0.024471741852423214
W0153,153,"(5,8)",39,-1,逆回転基本波,0.007618019643310638,5.803422328586673e-05,0.04492258293169306,-81.56087075837928,True,-1/40,40,F型（奇数倍音）,負周回,0.0061558297024311365
W0154,154,"(5,9)",0,0,直流,0.0060955018197701456,3.7155142434821166e-05,0.02687050419296085,131.06888729644984,True,0/1,1,直流,直流,0.0
W0154,154,"(5,9)",1,1,基本波,0.00030020680848887363,9.012412786307525e-08,6.517753928355675e-05,70.34838883764391,True,1/40,40,F型（奇数倍音）,正周回,0.0061558297024311365
W0154,154,"(5,9)",2,2,第2倍音,0.001984621825674513,3.938723790943636e-06,0.002848474994413651,133.72643300806916,True,1/20,20,B型（偶数倍音）,正周回,0.024471741852423214
W0154,154,"(5,9)",3,3,第3倍音,0.0014958047846938812,2.237431953913109e-06,0.0016181050793857936,-149.81696829154262,True,3/40,40,F型（奇数倍音）,正周回,0.05449673790581606
W0154,154,"(5,9)",4,4,第4倍音,0.0018119064732720783,3.2830050678852613e-06,0.0023742608872210406,-128.2821605391613,True,1/10,10,B型（偶数倍音）,正周回,0.09549150281252627
W0154,154,"(5,9)",5,5,第5倍音,0.005949980041030964,3.5402262488666834e-05,0.025602825889061927,42.25746185460697,True,1/8,8,F型（奇数倍音）,正周回,0.14644660940672624
W0154,154,"(5,9)",6,6,第6倍音,0.009471383792668214,8.97071109480181e-05,0.06487595371476945,-39.615386833761384,True,3/20,20,B型（偶数倍音）,正周回,0.20610737385376346
W0154,154,"(5,9)",7,7,第7倍音,0.006560609644354785,4.304159890560103e-05,0.031127574491029084,-26.30417742399029,True,7/40,40,F型（奇数倍音）,正周回,0.2730047501302265
W0154,154,"(5,9)",8,8,第8倍音,0.007922598430763211,6.276756589513169e-05,0.04539334347932504,-75.4750275921462,True,1/5,5,B型（偶数倍音）,正周回,0.3454915028125263
W0154,154,"(5,9)",9,9,第9倍音,0.0017562251496167725,3.084326776146455e-06,0.0022305772536410314,165.0706924603767,True,9/40,40,F型（奇数倍音）,正周回,0.4217827674798846
W0154,154,"(5,9)",10,10,第10倍音,0.0036205668594936507,1.3108504384063713e-05,0.009480036919070555,-72.0080453390522,True,1/4,4,B型（偶数倍音）,正周回,0.4999999999999999
