E_mean,E_std,R_mean,R_std,case,gauge_count,p_mean,p_std,particle,stage,t_mean,t_std
0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,baseline_default,8,0.999999999999998,7.685538434122802e-15,B,final,0.20000000000000032,0.0002500000000000002
1.0000000000000306,8.735729587251978e-14,1.0000000000000036,1.77758999250913e-15,phase_center_grid,45,1.0000000000000304,8.735740875095593e-14,A,initial,-0.19999999999999993,0.0006531972647421769
0.9999999999999952,8.439782402710123e-14,1.0000000000000002,5.704429186199679e-16,phase_center_grid,45,0.9999999999999954,8.439767473565953e-14,A,pre_collision,-0.01599999999999985,0.0006531972647421804
0.9999999999999977,8.290040272745881e-14,1.0000000000000002,5.704429186199679e-16,phase_center_grid,45,0.9999999999999978,8.290047046118833e-14,A,collision_cell,-0.014999999999999845,0.0006531972647421804
0.9999999999999992,8.313502260696657e-14,1.0000000000000002,5.357776761761889e-16,phase_center_grid,45,-0.999999999999994,8.108328485365869e-14,A,collision_map,-0.014999999999999845,0.0006531972647421804
1.000000000000004,8.336993336484069e-14,1.0,4.610359946373136e-16,phase_center_grid,45,-0.9999999999999993,7.944073948680617e-14,A,post_collision,-0.01399999999999985,0.0006531972647421812
1.0000000000000304,8.735740875095593e-14,1.0000000000000036,1.77758999250913e-15,phase_center_grid,45,-1.0000000000000313,8.400602451770249e-14,A,final,0.20000000000000043,0.0006531972647421769
1.0000000000000304,8.735740875095593e-14,1.0000000000000036,1.77758999250913e-15,phase_center_grid,45,-1.0000000000000313,8.400602451770249e-14,B,initial,-0.19999999999999993,0.0006531972647421769
0.9999999999999954,8.439767473565953e-14,1.0000000000000002,5.704429186199679e-16,phase_center_grid,45,-0.9999999999999932,8.178385733987268e-14,B,pre_collision,-0.01599999999999985,0.0006531972647421804
0.9999999999999978,8.290047046118833e-14,1.0000000000000002,5.704429186199679e-16,phase_center_grid,45,-0.9999999999999933,8.424915309660527e-14,B,collision_cell,-0.014999999999999845,0.0006531972647421804
0.9999999999999993,8.313515274992719e-14,1.0000000000000002,5.357776761761889e-16,phase_center_grid,45,0.9999999999999971,7.893675989109297e-14,B,collision_map,-0.014999999999999845,0.0006531972647421804
1.000000000000004,8.336993336484069e-14,1.0,4.610359946373136e-16,phase_center_grid,45,0.9999999999999977,7.724874221460389e-14,B,post_collision,-0.01399999999999985,0.0006531972647421812
1.0000000000000306,8.735729587251978e-14,1.0000000000000036,1.77758999250913e-15,phase_center_grid,45,1.0000000000000304,8.735740875095593e-14,B,final,0.20000000000000043,0.0006531972647421769
0.9999999999999939,2.972230365580721e-14,1.0,2.5639502485114184e-16,width_gain_grid,36,0.9999999999999939,2.972230365580721e-14,A,initial,-0.20000000000000004,2.7755575615628914e-17
0.9999999999999939,2.972230365580721e-14,1.0,2.5639502485114184e-16,width_gain_grid,36,0.9999999999999939,2.972230365580721e-14,A,pre_collision,-0.01599999999999984,6.938893903907228e-18
0.9999999999999939,2.972230365580721e-14,1.0,2.5639502485114184e-16,width_gain_grid,36,0.9999999999999939,2.972230365580721e-14,A,collision_cell,-0.014999999999999847,0.0
0.9999999999999939,2.972230365580721e-14,1.0,2.5639502485114184e-16,width_gain_grid,36,-0.9999999999999925,3.8317003005945706e-14,A,collision_map,-0.014999999999999847,0.0
0.9999999999999939,2.972230365580721e-14,1.0,2.5639502485114184e-16,width_gain_grid,36,-0.9999999999999925,3.8317003005945706e-14,A,post_collision,-0.013999999999999846,0.0
0.9999999999999939,2.972230365580721e-14,1.0,2.5639502485114184e-16,width_gain_grid,36,-0.9999999999999925,3.8317003005945706e-14,A,final,0.2000000000000003,2.7755575615628914e-17
0.9999999999999939,2.972230365580721e-14,1.0,2.5639502485114184e-16,width_gain_grid,36,-0.9999999999999925,3.8317003005945706e-14,B,initial,-0.20000000000000004,2.7755575615628914e-17
0.9999999999999939,2.972230365580721e-14,1.0,2.5639502485114184e-16,width_gain_grid,36,-0.9999999999999925,3.8317003005945706e-14,B,pre_collision,-0.01599999999999984,6.938893903907228e-18
0.9999999999999939,2.972230365580721e-14,1.0,2.5639502485114184e-16,width_gain_grid,36,-0.9999999999999925,3.8317003005945706e-14,B,collision_cell,-0.014999999999999847,0.0
0.9999999999999939,2.972230365580721e-14,1.0,2.5639502485114184e-16,width_gain_grid,36,0.9999999999999939,2.972230365580721e-14,B,collision_map,-0.014999999999999847,0.0
0.9999999999999939,2.972230365580721e-14,1.0,2.5639502485114184e-16,width_gain_grid,36,0.9999999999999939,2.972230365580721e-14,B,post_collision,-0.013999999999999846,0.0
0.9999999999999939,2.972230365580721e-14,1.0,2.5639502485114184e-16,width_gain_grid,36,0.9999999999999939,2.972230365580721e-14,B,final,0.2000000000000003,2.7755575615628914e-17
0.9999999999999243,1.2300013530607635e-13,0.9999999999999938,5.288392122597181e-15,near_lobe_offset,25,0.9999999999999241,1.2300019944102202e-13,A,initial,-0.20000000000000004,0.0010324727599312286
0.9999999999999826,7.965222804260073e-14,1.0,2.3914935841127266e-16,near_lobe_offset,25,0.9999999999999826,7.965222804260073e-14,A,pre_collision,-0.015999999999999848,0.0010324727599312247
0.9999999999999826,7.965222804260073e-14,1.0,2.3914935841127266e-16,near_lobe_offset,25,0.9999999999999826,7.965222804260073e-14,A,collision_cell,-0.014999999999999847,0.0010324727599312247
0.9999999999999826,7.965222804260073e-14,1.0,2.3914935841127266e-16,near_lobe_offset,25,-0.9999999999999801,8.419390343315787e-14,A,collision_map,-0.014999999999999847,0.0010324727599312247
