sweep_region,R,case_id,case_group,group_label,condition_kind,condition_id,readout_mode,tau_mode,condition_error,stability_depth,terrain_score,log10_terrain_score,depth,depth_plot
coarse,0.748,near_pi_20deg,c1|near_pi_20deg,c1 near_pi_20deg,c1,near_pi_20deg|tau_independent_c1|readout_strong,readout_strong,tau_independent_c1,303609654.68818617,-8.482315577866181,0.9841668519845687,-0.006931266656767449,0.006931266656767449,0.006931266656767449
coarse,0.7481,near_pi_02deg,harmonic|near_pi_02deg,harmonic near_pi_02deg,harmonic,near_pi_02deg|readout_off,readout_off,,8.680337174598919e-11,10.061463404982065,2.8742413615117696e-10,-9.541476765230525,9.541476765230525,6.0
coarse,0.7481,near_pi_02deg,harmonic|near_pi_02deg,harmonic near_pi_02deg,harmonic,near_pi_02deg|readout_weak,readout_weak,,0.015213847536134818,1.8177609402925887,0.05037623421363596,-1.2977743005410494,1.2977743005410494,1.2977743005410494
coarse,0.7481,near_pi_02deg,harmonic|near_pi_02deg,harmonic near_pi_02deg,harmonic,near_pi_02deg|readout_normal,readout_normal,,0.0759492411699936,1.1194765609365578,0.2514838375000274,-0.5994899211850185,0.5994899211850185,0.5994899211850185
coarse,0.7481,near_pi_02deg,harmonic|near_pi_02deg,harmonic near_pi_02deg,harmonic,near_pi_02deg|readout_strong,readout_strong,,0.3013608200786334,0.5209132109785988,0.9978687652177951,-0.0009265712270594467,0.0009265712270594467,0.0009265712270594467
coarse,0.7481,near_pi_05deg,harmonic|near_pi_05deg,harmonic near_pi_05deg,harmonic,near_pi_05deg|readout_off,readout_off,,2.1238052368549124e-10,9.672885312655294,2.812945503298694e-10,-9.55083868157313,9.55083868157313,6.0
coarse,0.7481,near_pi_05deg,harmonic|near_pi_05deg,harmonic near_pi_05deg,harmonic,near_pi_05deg|readout_weak,readout_weak,,0.03803461884292918,1.4198209315909531,0.050376234217378184,-1.2977743005087876,1.2977743005087876,1.2977743005087876
coarse,0.7481,near_pi_05deg,harmonic|near_pi_05deg,harmonic near_pi_05deg,harmonic,near_pi_05deg|readout_normal,readout_normal,,0.18987310292036305,0.7215365522750896,0.2514838374954495,-0.5994899211929242,0.5994899211929242,0.5994899211929242
coarse,0.7481,near_pi_05deg,harmonic|near_pi_05deg,harmonic near_pi_05deg,harmonic,near_pi_05deg|readout_strong,readout_strong,,0.7534020501974534,0.12297320230605971,0.9978687652250677,-0.0009265712238942393,0.0009265712238942393,0.0009265712238942393
coarse,0.7481,near_pi_10deg,harmonic|near_pi_10deg,harmonic near_pi_10deg,harmonic,near_pi_10deg|readout_off,readout_off,,4.2476104737098247e-10,9.371855316991313,1.6922600459077236e-10,-9.771532899083658,9.771532899083658,6.0
coarse,0.7481,near_pi_10deg,harmonic|near_pi_10deg,harmonic near_pi_10deg,harmonic,near_pi_10deg|readout_weak,readout_weak,,0.07606923768585835,1.1187909359269719,0.030306199792846236,-1.5184685180193163,1.5184685180193163,1.5184685180193163
coarse,0.7481,near_pi_10deg,harmonic|near_pi_10deg,harmonic near_pi_10deg,harmonic,near_pi_10deg|readout_normal,readout_normal,,0.3797462058407261,0.4205065566111085,0.15129196420123814,-0.8201841387034529,0.8201841387034529,0.8201841387034529
coarse,0.7481,near_pi_10deg,harmonic|near_pi_10deg,harmonic near_pi_10deg,harmonic,near_pi_10deg|readout_strong,readout_strong,,2.506804100394907,-0.39912039640667335,0.9987178551970389,-0.0005571856856710591,0.0005571856856710591,0.0005571856856710591
coarse,0.7481,near_pi_20deg,harmonic|near_pi_20deg,harmonic near_pi_20deg,harmonic,near_pi_20deg|readout_off,readout_off,,8.495220947419649e-10,9.070825321327332,2.1132155834206845e-10,-9.675056195368848,9.675056195368848,6.0
coarse,0.7481,near_pi_20deg,harmonic|near_pi_20deg,harmonic near_pi_20deg,harmonic,near_pi_20deg|readout_weak,readout_weak,,0.1521384753717167,0.8177609402629906,0.03784497177687051,-1.4219918143045078,1.4219918143045078,1.4219918143045078
coarse,0.7481,near_pi_20deg,harmonic|near_pi_20deg,harmonic near_pi_20deg,harmonic,near_pi_20deg|readout_normal,readout_normal,,0.7594924116814522,0.11947656094712727,0.18892636339758756,-0.7237074349886445,0.7237074349886445,0.7237074349886445
coarse,0.7481,near_pi_20deg,harmonic|near_pi_20deg,harmonic near_pi_20deg,harmonic,near_pi_20deg|readout_strong,readout_strong,,4.013608200789814,-0.6035349753911633,0.9983989172442077,-0.000695898650353981,0.000695898650353981,0.000695898650353981
coarse,0.7481,near_pi_02deg,c1|near_pi_02deg,c1 near_pi_02deg,c1,near_pi_02deg|tau_disabled_control|readout_off,readout_off,tau_disabled_control,0.0,300.0,0.0,-300.0,300.0,6.0
