step,entropy,entropy_over_lnM,p_min,p_max
26,2.2443701928579545,0.9747175901063466,0.08333333333333316,0.2142857142857136
27,2.2443701928579545,0.9747175901063466,0.08333333333333301,0.21428571428571402
28,2.244370192857954,0.9747175901063464,0.08333333333333288,0.21428571428571447
29,2.244370192857954,0.9747175901063464,0.08333333333333284,0.21428571428571458
30,2.2443701928579536,0.9747175901063463,0.0833333333333328,0.21428571428571466
31,2.2443701928579536,0.9747175901063463,0.08333333333333269,0.2142857142857149
32,2.2443701928579536,0.9747175901063463,0.08333333333333272,0.21428571428571497
33,2.244370192857953,0.9747175901063461,0.08333333333333263,0.21428571428571527
34,2.244370192857953,0.9747175901063461,0.08333333333333262,0.21428571428571525
35,2.244370192857953,0.9747175901063461,0.08333333333333252,0.21428571428571522
36,2.244370192857953,0.9747175901063461,0.08333333333333245,0.21428571428571538
37,2.244370192857953,0.9747175901063461,0.08333333333333237,0.2142857142857154
38,2.2443701928579536,0.9747175901063463,0.08333333333333218,0.21428571428571522
39,2.2443701928579536,0.9747175901063463,0.08333333333333214,0.21428571428571513
40,2.2443701928579536,0.9747175901063463,0.08333333333333222,0.2142857142857148
41,2.244370192857954,0.9747175901063464,0.08333333333333214,0.2142857142857146
42,2.2443701928579545,0.9747175901063466,0.08333333333333216,0.21428571428571438
43,2.2443701928579545,0.9747175901063466,0.08333333333333207,0.21428571428571444
44,2.2443701928579545,0.9747175901063466,0.08333333333333186,0.21428571428571425
45,2.244370192857954,0.9747175901063464,0.08333333333333172,0.21428571428571433
46,2.2443701928579545,0.9747175901063466,0.08333333333333146,0.21428571428571425
47,2.2443701928579545,0.9747175901063466,0.08333333333333115,0.21428571428571438
48,2.244370192857954,0.9747175901063464,0.08333333333333078,0.21428571428571438
49,2.244370192857954,0.9747175901063464,0.08333333333333054,0.21428571428571438
50,2.2443701928579545,0.9747175901063466,0.0833333333333304,0.21428571428571402
51,2.2443701928579545,0.9747175901063466,0.08333333333333028,0.21428571428571377
52,2.2443701928579545,0.9747175901063466,0.08333333333333008,0.21428571428571364
53,2.244370192857955,0.9747175901063468,0.08333333333332993,0.21428571428571352
54,2.244370192857955,0.9747175901063468,0.08333333333332962,0.21428571428571358
55,2.244370192857955,0.9747175901063468,0.08333333333332943,0.21428571428571344
56,2.244370192857955,0.9747175901063468,0.0833333333333291,0.2142857142857135
57,2.2443701928579554,0.9747175901063471,0.08333333333332868,0.21428571428571336
58,2.244370192857955,0.9747175901063468,0.08333333333332833,0.21428571428571364
59,2.244370192857955,0.9747175901063468,0.08333333333332794,0.2142857142857136
60,2.2443701928579545,0.9747175901063466,0.08333333333332736,0.21428571428571364
61,2.2443701928579545,0.9747175901063466,0.08333333333332689,0.21428571428571383
62,2.2443701928579545,0.9747175901063466,0.08333333333332639,0.21428571428571422
63,2.244370192857954,0.9747175901063464,0.0833333333333257,0.21428571428571436
64,2.244370192857954,0.9747175901063464,0.08333333333332503,0.21428571428571458
65,2.244370192857954,0.9747175901063464,0.08333333333332449,0.21428571428571455
66,2.244370192857954,0.9747175901063464,0.08333333333332382,0.2142857142857149
67,2.2443701928579536,0.9747175901063463,0.08333333333332282,0.214285714285715
68,2.2443701928579536,0.9747175901063463,0.08333333333332206,0.214285714285715
69,2.2443701928579536,0.9747175901063463,0.08333333333332119,0.214285714285715
70,2.2443701928579536,0.9747175901063463,0.08333333333332014,0.21428571428571508
71,2.244370192857954,0.9747175901063464,0.08333333333331906,0.2142857142857149
72,2.244370192857954,0.9747175901063464,0.083333333333318,0.21428571428571502
73,2.2443701928579536,0.9747175901063463,0.08333333333331666,0.21428571428571497
74,2.2443701928579536,0.9747175901063463,0.08333333333331534,0.21428571428571486
75,2.2443701928579536,0.9747175901063463,0.08333333333331393,0.21428571428571488
76,2.2443701928579536,0.9747175901063463,0.0833333333333123,0.21428571428571497
77,2.2443701928579536,0.9747175901063463,0.08333333333331043,0.21428571428571505
78,2.2443701928579536,0.9747175901063463,0.08333333333330849,0.21428571428571525
79,2.244370192857953,0.9747175901063461,0.08333333333330632,0.21428571428571533
80,2.244370192857953,0.9747175901063461,0.08333333333330413,0.21428571428571527
81,2.244370192857953,0.9747175901063461,0.08333333333330185,0.2142857142857151
82,2.2443701928579536,0.9747175901063463,0.08333333333329926,0.21428571428571502
83,2.2443701928579536,0.9747175901063463,0.08333333333329632,0.21428571428571494
