tag,N,method,star_vertex,star_frac,amp_uniformity,n_plus,n_minus,z2_alignment,mu_final_over_r2,star_mu_pred,mu_dev,residual_new_over_r2,landed
mp_N10,10,mp,5,0.9999992000944837,4.328892800130147e-07,2,7,0.9999999999999956,39.9999400122023,40.0,1.4996949424528339e-06,0.034635991197782975,False
mp_N11,11,mp,2,0.9999996172031272,1.6542111759195327e-07,7,3,0.9999999999999994,49.499962242705024,49.5,7.627736358768523e-07,0.03126268943015296,False
mp_N12,12,mp,2,0.999999191558425,2.1680934673792584e-07,8,3,0.9999999999999974,59.99990366522413,60.0,1.6055795978076048e-06,0.05464529020666909,False
mp_N13,13,mp,6,0.9999997683791141,4.6956781254563213e-08,9,3,0.9999999999999999,71.49996874078373,71.5,4.371918359643482e-07,0.03301626191381604,False
mp_N14,14,mp,2,0.9999985041175781,3.7007306867686317e-07,7,6,0.999999999999993,83.99976787390533,84.0,2.763405888963516e-06,0.09610833724249226,False
mp_N15,15,mp,3,0.9999994997310957,7.745876566205748e-08,5,9,0.9999999999999991,97.49990746990363,97.5,9.490266294074573e-07,0.06617068367737508,False
mp_N16,16,mp,9,0.999999121490984,2.741126892484436e-07,5,10,0.9999999999999988,111.99979535981855,112.0,1.8271444772415585e-06,0.1101115733984452,False
mp_N3,3,mp,0,0.6666666673613441,1.2118538453456678e-09,1,1,0.4999999999496359,-1.0,1.5,1.6666666666666667,2.680057051900529e-09,True
mp_N4,4,mp,3,0.5000000000286947,0.010792345289485528,2,1,0.009834209613455389,-1.999575180583577,4.0,1.4998937951458942,0.04817837727571216,False
mp_N5,5,mp,4,0.9999983971357205,0.0011936252634451574,2,2,0.9999997041199248,7.499979092627659,7.5,2.7876496454600403e-06,0.010540112647051058,False
mp_N6,6,mp,2,0.9999643337814177,4.2223738339760884e-05,2,3,0.9999999999461141,11.999312350588516,12.0,5.730411762365032e-05,0.06632933981788973,False
mp_N7,7,mp,3,0.9999813219523231,2.7645336374520025e-05,3,3,0.9999999999852496,17.4993373203226,17.5,3.786741013718549e-05,0.0824119628396246,False
mp_N8,8,mp,7,0.9999938354424764,2.1287459965868672e-06,3,4,0.9999999999993346,23.99973530169487,24.0,1.1029096047110443e-05,0.0565373712302981,False
mp_N9,9,mp,2,0.9999843854864501,6.142100599411603e-06,3,5,0.9999999999982471,31.499048416030856,31.5,3.0209014893455692e-05,0.12548195790395317,False
ne_N10,10,ne,0,0.9999999990820088,3.919910416765248e-10,6,3,1.0,39.99999993200041,40.0,1.699989837788962e-09,0.0011588773923846187,False
ne_N11,11,ne,1,0.9999999998467319,7.03041436084499e-11,7,3,1.0,49.4999999861846,49.5,2.79099033446762e-10,0.0005717191198927257,False
ne_N12,12,ne,10,0.9999999887732652,3.5292291877456195e-09,6,5,1.0,59.99999871911094,60.0,2.134815098031595e-08,0.006168771832393959,False
ne_N13,13,ne,6,0.9999956782180143,7.976630936994956e-07,6,6,0.9999999999999788,71.49941769270796,71.5,8.1441579305596e-06,0.14237681957786796,False
ne_N14,14,ne,1,0.9999999596055514,8.346551512336962e-09,9,4,0.9999999999999997,83.99999324567708,84.0,8.040860624955063e-08,0.017036935928835352,False
ne_N15,15,ne,0,0.9999999986614232,2.6939704870811884e-10,5,9,0.9999999999999996,97.49999974820761,97.5,2.582486010793125e-09,0.0034822538356977704,False
ne_N16,16,ne,8,0.9999999039663409,1.74097235866242e-08,10,5,0.9999999999999999,111.99997847742789,112.0,1.921658224292498e-07,0.03507800214938635,False
ne_N3,3,ne,1,0.8003488464477602,0.21359424464750137,1,1,0.472441615307344,-0.5578518785889178,1.5,1.371901252392612,1.2420331624675727,False
ne_N4,4,ne,3,0.6959707161227991,0.6880318221674392,1,2,0.9713642470187908,3.4582421924445508,4.0,0.1354394518888623,1.5072286675387432,False
ne_N5,5,ne,0,0.9999997259949119,0.0005661588543817149,1,3,0.9999999947137779,7.49999554869231,7.5,5.935076919409237e-07,0.004742439163656833,False
ne_N6,6,ne,1,0.9999999996406422,3.4660972575774477e-10,4,1,1.0,11.999999994265565,12.0,4.778695957459907e-10,0.00017321260061019792,False
