tag,N,method,design,norm,amp_spread_rel,local_closed,roundness,pred_rho_minus_1,pred_lambda_f,pred_kind,pred_t50,f0,max_f,max_f_step,final_f,t50_measured,lambda_measured,lambda_ratio,fit_R2,late_log_slope_per_step,loglog_slope_1000_40000,measured_kind,prediction_agrees,final_PR_over_M,final_amp_min,final_amp_max,final_amp_std,init_amp_std,final_abs_ZTZ_over_H,Htotal_drift
ne_N8,8,ne,nonequimodular_class_family_k2_eps0.6,1.281585,1.141e+00,True,0.633,3.409e-03,0.00681,inflating,10563,2.06e-32,9.826e-01,6018,7.975e-01,398,0.46079,67.7065,0.90565,1.97e-10,0.00,saturated,True,0.250,0.0000,0.4844,0.2097,0.0536,1.0e+00,6.8e-12
rb_N8,8,rb,random_balanced_S0_Wconst,1.281585,2.540e+00,True,0.537,3.724e-03,0.00743,inflating,9670,1.26e-32,9.942e-01,4667,9.104e-01,239,0.61102,82.1885,0.92718,1.64e-11,-0.01,saturated,True,0.250,0.0000,0.4844,0.2097,0.0710,1.0e+00,4.2e-12
mp_N9,9,mp,make_parent_equimodular_3stage,1.352988,1.541e-10,True,0.743,1.367e-03,0.00273,inflating,26312,9.54e-33,9.886e-01,21907,9.391e-01,21468,0.00277,1.0151,0.99959,-6.52e-09,21.16,saturated,True,0.222,0.0002,0.4784,0.1985,0.0000,1.0e+00,7.7e-12
hm_N9,9,hm,handmade_equimodular_distance_classes,1.352988,2.729e-16,True,0.366,1.364e-03,0.00273,inflating,26373,3.41e-32,9.877e-01,25669,9.165e-01,25289,0.00273,1.0027,0.99999,9.48e-08,25.04,saturated,True,0.222,0.0005,0.4783,0.1975,0.0000,1.0e+00,3.1e-12
ne_N9,9,ne,nonequimodular_class_family_k2_eps0.6,1.352988,1.200e+00,True,0.444,1.259e-03,0.00252,inflating,28570,1.71e-32,9.967e-01,6889,9.130e-01,351,-0.00002,-0.0075,0.00017,-2.12e-10,0.54,saturated,True,0.222,0.0000,0.4784,0.1988,0.0713,1.0e+00,7.1e-12
rb_N9,9,rb,random_balanced_S0_Wconst,1.352988,2.599e+00,True,0.684,3.852e-03,0.00769,inflating,9350,2.43e-32,9.998e-01,2296,9.728e-01,306,0.61056,79.4070,0.92701,1.83e-11,0.00,saturated,True,0.222,0.0000,0.4784,0.1989,0.0786,1.0e+00,1.0e-11
mp_N10,10,mp,make_parent_equimodular_3stage,1.485746,1.273e-10,True,0.686,1.659e-03,0.00331,inflating,21691,4.71e-32,9.939e-01,18838,9.643e-01,18290,0.00336,1.0134,0.99946,1.48e-10,20.66,saturated,True,0.200,0.0000,0.4952,0.1980,0.0000,1.0e+00,6.9e-12
hm_N10,10,hm,handmade_equimodular_1factor,1.485746,5.658e-16,True,0.646,1.652e-03,0.00330,inflating,21776,2.74e-32,9.973e-01,21199,9.673e-01,20801,0.00331,1.0028,0.99998,8.01e-09,25.38,saturated,True,0.200,0.0001,0.4952,0.1979,0.0000,1.0e+00,1.0e-12
ne_N10,10,ne,nonequimodular_class_family_k2_eps0.6,1.485746,1.164e+00,True,0.700,3.194e-03,0.00638,inflating,11272,1.83e-32,9.985e-01,8100,9.616e-01,427,0.42627,66.8355,0.90010,8.02e-13,0.14,saturated,True,0.200,0.0000,0.4952,0.1981,0.0490,1.0e+00,1.7e-12
rb_N10,10,rb,random_balanced_S0_Wconst,1.485746,3.092e+00,True,0.750,4.258e-03,0.00850,inflating,8459,2.49e-33,9.993e-01,4393,9.920e-01,241,0.78269,92.0980,0.94740,1.53e-13,0.01,saturated,True,0.200,0.0000,0.4952,0.1981,0.0874,1.0e+00,6.2e-12
mp_N11,11,mp,make_parent_equimodular_3stage,1.561155,2.068e-10,True,0.736,1.707e-03,0.00341,inflating,21070,2.25e-32,9.966e-01,17408,9.690e-01,16364,0.00348,1.0199,0.99915,1.69e-09,20.52,saturated,True,0.182,0.0000,0.4937,0.1904,0.0000,1.0e+00,1.3e-11
hm_N11,11,hm,handmade_equimodular_distance_classes,1.561155,3.132e-16,True,0.482,1.701e-03,0.00340,inflating,21152,1.24e-31,9.985e-01,21263,9.855e-01,20370,0.00341,1.0030,0.99998,-1.03e-09,25.48,saturated,True,0.182,0.0001,0.4937,0.1903,0.0000,1.0e+00,1.6e-11
ne_N11,11,ne,nonequimodular_class_family_k2_eps0.6,1.561155,1.085e+00,True,0.266,2.216e-03,0.00443,inflating,16241,8.43e-32,9.988e-01,4614,9.683e-01,479,0.39677,89.6325,0.89520,-3.56e-12,0.17,saturated,True,0.182,0.0000,0.4937,0.1904,0.0464,1.0e+00,8.6e-12
rb_N11,11,rb,random_balanced_S0_Wconst,1.561155,3.007e+00,True,0.727,3.767e-03,0.00752,inflating,9560,1.90e-32,9.958e-01,1714,9.384e-01,235,0.78251,104.0571,0.94735,-4.31e-12,-0.00,saturated,True,0.182,0.0000,0.4937,0.1904,0.0813,1.0e+00,1.5e-11
mp_N12,12,mp,make_parent_equimodular_3stage,1.627072,2.049e-10,True,0.709,1.719e-03,0.00344,inflating,20923,2.57e-32,9.877e-01,17219,9.529e-01,16734,0.00348,1.0121,0.99958,-1.37e-10,19.67,saturated,True,0.167,0.0000,0.4906,0.1828,0.0000,1.0e+00,2.4e-11
hm_N12,12,hm,handmade_equimodular_1factor,1.627072,1.038e-15,True,0.684,1.716e-03,0.00343,inflating,20969,1.88e-32,9.948e-01,20766,9.701e-01,19755,0.00344,1.0033,0.99998,7.87e-10,25.30,saturated,True,0.167,0.0000,0.4906,0.1827,0.0000,1.0e+00,1.1e-11
ne_N12,12,ne,nonequimodular_class_family_k2_eps0.6,1.627072,1.176e+00,True,0.756,2.517e-03,0.00503,inflating,14300,2.76e-32,9.960e-01,10706,9.902e-01,521,0.39665,78.8997,0.89510,1.54e-11,0.08,saturated,True,0.167,0.0000,0.4906,0.1828,0.0443,1.0e+00,1.2e-11
rb_N12,12,rb,random_balanced_S0_Wconst,1.627072,2.428e+00,True,0.680,3.235e-03,0.00646,inflating,11128,2.16e-33,9.986e-01,4363,9.532e-01,399,0.55057,85.2211,0.91891,3.08e-12,-0.01,saturated,True,0.167,0.0000,0.4906,0.1828,0.0743,1.0e+00,1.6e-11
mp_N13,13,mp,make_parent_equimodular_3stage,1.710336,5.599e-10,True,0.817,1.816e-03,0.00363,inflating,19807,4.23e-32,9.811e-01,15727,9.130e-01,15312,0.00379,1.0439,0.99714,-3.56e-10,18.73,saturated,True,0.154,0.0000,0.4937,0.1781,0.0000,1.0e+00,2.0e-11
hm_N13,13,hm,handmade_equimodular_distance_classes,1.710336,3.700e-16,True,0.548,1.810e-03,0.00362,inflating,19877,3.92e-32,9.954e-01,20186,9.572e-01,18877,0.00363,1.0035,0.99998,-8.14e-11,25.04,saturated,True,0.154,0.0000,0.4937,0.1780,0.0000,1.0e+00,3.1e-11
ne_N13,13,ne,nonequimodular_class_family_k2_eps0.6,1.710336,9.000e-01,True,0.707,2.529e-03,0.00505,inflating,14232,4.24e-33,9.986e-01,11969,9.730e-01,461,0.00001,0.0014,0.00008,-9.39e-10,0.60,saturated,True,0.154,0.0001,0.4937,0.1780,0.0391,1.0e+00,1.8e-11
rb_N13,13,rb,random_balanced_S0_Wconst,1.710336,3.008e+00,True,0.779,3.174e-03,0.00634,inflating,11342,9.59e-32,9.966e-01,3654,9.214e-01,373,0.61048,96.3171,0.92695,8.33e-12,-0.01,saturated,True,0.154,0.0000,0.4937,0.1781,0.0735,1.0e+00,6.9e-12
mp_N14,14,mp,make_parent_equimodular_3stage,1.770759,2.667e-12,True,0.780,1.818e-03,0.00363,inflating,19795,2.22e-32,9.993e-01,20868,9.974e-01,17644,0.00368,1.0132,0.99954,-9.04e-11,23.85,saturated,True,0.143,0.0000,0.4911,0.1718,0.0000,1.0e+00,2.8e-11
hm_N14,14,hm,handmade_equimodular_1factor,1.770759,4.028e-16,True,0.711,1.814e-03,0.00363,inflating,19831,4.55e-34,9.983e-01,20702,9.871e-01,19185,0.00364,1.0038,0.99997,-7.31e-10,25.52,saturated,True,0.143,0.0001,0.4911,0.1717,0.0000,1.0e+00,2.2e-11
ne_N14,14,ne,nonequimodular_class_family_k2_eps0.6,1.770759,1.183e+00,True,0.785,2.304e-03,0.00460,inflating,15621,1.54e-31,9.995e-01,12530,9.526e-01,606,0.37095,80.6055,0.89057,-1.24e-11,0.06,saturated,True,0.143,0.0000,0.4911,0.1718,0.0411,1.0e+00,5.5e-12
rb_N14,14,rb,random_balanced_S0_Wconst,1.770759,3.043e+00,True,0.814,2.763e-03,0.00552,inflating,13027,2.12e-32,9.977e-01,3448,9.268e-01,378,0.61051,110.6285,0.92696,-5.11e-12,-0.01,saturated,True,0.143,0.0000,0.4911,0.1719,0.0679,1.0e+00,1.5e-11
mp_N15,15,mp,make_parent_equimodular_3stage,1.832826,6.556e-10,True,0.700,1.835e-03,0.00367,inflating,19608,7.97e-32,9.926e-01,18533,9.740e-01,15200,0.00372,1.0155,0.99936,-2.52e-10,18.93,saturated,True,0.133,0.0000,0.4898,0.1665,0.0000,1.0e+00,3.8e-11
hm_N15,15,hm,handmade_equimodular_distance_classes,1.832826,8.676e-16,True,0.592,1.832e-03,0.00366,inflating,19641,1.25e-34,1.000e+00,24334,9.997e-01,19452,0.00368,1.0040,0.99997,1.66e-09,25.75,saturated,True,0.133,0.0000,0.4898,0.1664,0.0000,1.0e+00,4.0e-11
ne_N15,15,ne,nonequimodular_class_family_k2_eps0.6,1.832826,1.141e+00,True,0.712,2.156e-03,0.00431,inflating,16687,5.44e-32,9.911e-01,6446,9.343e-01,724,0.37095,86.1056,0.89057,-1.32e-11,0.07,saturated,True,0.133,0.0000,0.4898,0.1665,0.0396,1.0e+00,5.7e-12
rb_N15,15,rb,random_balanced_S0_Wconst,1.832826,2.863e+00,True,0.721,2.759e-03,0.00551,inflating,13047,2.60e-33,9.998e-01,5453,9.912e-01,356,0.61046,110.7845,0.92694,-1.55e-12,0.00,saturated,True,0.133,0.0000,0.4898,0.1665,0.0660,1.0e+00,3.7e-11
mp_N16,16,mp,make_parent_equimodular_3stage,1.909731,3.118e-11,True,0.747,1.917e-03,0.00383,inflating,18772,8.24e-32,9.997e-01,18457,9.721e-01,16765,0.00388,1.0137,0.99925,4.47e-10,21.97,saturated,True,0.125,0.0000,0.4931,0.1630,0.0000,1.0e+00,2.7e-11
hm_N16,16,hm,handmade_equimodular_1factor,1.909731,5.708e-16,True,0.733,1.914e-03,0.00382,inflating,18802,2.43e-32,9.730e-01,18084,9.298e-01,17711,0.00384,1.0042,0.99997,-3.22e-09,24.88,saturated,True,0.125,0.0000,0.4931,0.1630,0.0000,1.0e+00,2.7e-11
ne_N16,16,ne,nonequimodular_class_family_k2_eps0.6,1.909731,1.187e+00,True,0.809,2.025e-03,0.00405,inflating,17769,5.67e-32,9.989e-01,13832,9.665e-01,687,0.37096,91.6852,0.89057,1.34e-10,0.07,saturated,True,0.125,0.0000,0.4931,0.1631,0.0386,1.0e+00,2.4e-11
rb_N16,16,rb,random_balanced_S0_Wconst,1.909731,3.967e+00,True,0.943,2.834e-03,0.00566,inflating,12701,1.57e-33,9.995e-01,4644,9.862e-01,353,0.68553,121.1113,0.93629,1.75e-12,0.00,saturated,True,0.125,0.0000,0.4931,0.1631,0.0716,1.0e+00,2.4e-11
