k_star_1,k_star_2,k_star_3,k_star_4,k_sat_01,k_sat_02,k_sat_03,k_sat_12,k_sat_13,k_sat_23,rank,sum_k
4,4,5,7,2,1,2,2,2,2,4,31
4,4,5,9,1,1,2,1,2,2,4,31
4,4,6,6,1,2,2,2,2,2,4,31
4,4,6,7,1,2,2,2,2,1,4,31
4,4,6,8,1,1,2,1,2,2,4,31
4,5,5,6,1,2,2,2,2,2,4,31
4,5,5,6,2,2,2,1,2,2,4,31
4,5,5,6,2,2,2,2,1,2,4,31
4,5,5,8,1,1,2,1,2,2,4,31
4,5,6,6,1,2,2,2,2,1,4,31
4,5,6,6,2,1,2,2,1,2,4,31
4,5,6,7,1,1,2,1,2,2,4,31
4,6,6,6,1,1,2,1,2,2,4,31
4,6,6,6,2,2,2,1,1,1,4,31
4,7,7,7,1,1,1,1,1,1,4,31
5,5,5,5,1,2,2,2,2,2,4,31
5,5,5,6,1,2,2,2,2,1,4,31
5,5,5,7,1,1,2,1,2,2,4,31
5,5,6,6,1,1,2,1,2,2,4,31
5,5,6,6,2,1,1,2,2,1,4,31
5,6,6,8,1,1,1,1,1,1,4,31
5,6,7,7,1,1,1,1,1,1,4,31
6,6,6,7,1,1,1,1,1,1,4,31
1,4,4,11,1,1,3,1,3,3,4,32
1,4,7,8,1,2,2,2,2,3,4,32
1,4,8,8,1,2,2,2,2,2,4,32
2,3,3,12,1,1,3,1,3,3,4,32
2,3,4,11,1,1,3,1,3,3,4,32
2,3,7,8,1,2,2,2,2,3,4,32
2,3,8,8,1,2,2,2,2,2,4,32
2,4,4,10,1,1,3,1,3,3,4,32
2,4,6,8,1,2,2,2,2,3,4,32
2,4,7,7,1,2,2,2,2,3,4,32
2,4,7,8,1,2,2,2,2,2,4,32
2,4,8,8,1,2,2,2,2,1,4,32
2,5,7,7,1,2,2,2,2,2,4,32
2,6,6,7,2,2,2,1,2,2,4,32
2,7,7,7,2,2,2,1,1,1,4,32
3,3,3,11,1,1,3,1,3,3,4,32
3,3,4,10,1,1,3,1,3,3,4,32
3,3,6,8,1,2,2,2,2,3,4,32
3,3,7,7,1,2,2,2,2,3,4,32
3,3,7,8,1,2,2,2,2,2,4,32
3,3,8,8,1,2,2,2,2,1,4,32
3,4,4,9,1,1,3,1,3,3,4,32
3,4,6,7,1,2,2,2,2,3,4,32
3,4,6,8,1,2,2,2,2,2,4,32
3,4,7,7,1,2,2,2,2,2,4,32
3,4,7,8,1,2,2,2,2,1,4,32
3,5,5,10,1,1,2,1,2,2,4,32
3,5,6,7,1,2,2,2,2,2,4,32
3,5,6,7,2,2,2,1,2,2,4,32
3,5,6,9,1,1,2,1,2,2,4,32
3,5,7,7,1,2,2,2,2,1,4,32
3,6,6,6,2,2,2,1,2,2,4,32
3,6,6,8,1,1,2,1,2,2,4,32
3,6,7,7,2,2,2,1,1,1,4,32
4,4,5,8,1,2,2,2,2,2,4,32
4,4,5,10,1,1,2,1,2,2,4,32
4,4,6,7,1,2,2,2,2,2,4,32
4,4,6,9,1,1,2,1,2,2,4,32
4,4,7,7,1,2,2,2,2,1,4,32
4,5,5,6,2,2,2,2,2,2,4,32
4,5,5,7,1,2,2,2,2,2,4,32
4,5,5,7,2,2,2,1,2,2,4,32
4,5,5,9,1,1,2,1,2,2,4,32
4,5,6,6,1,2,2,2,2,2,4,32
4,5,6,6,2,1,2,2,2,2,4,32
4,5,6,6,2,2,2,1,2,2,4,32
4,5,6,6,2,2,2,2,2,1,4,32
4,5,6,7,1,2,2,2,2,1,4,32
4,5,6,8,1,1,2,1,2,2,4,32
4,5,7,7,1,1,2,1,2,2,4,32
4,6,6,6,1,2,2,2,2,1,4,32
4,6,6,7,1,1,2,1,2,2,4,32
4,6,6,7,2,2,2,1,1,1,4,32
5,5,5,5,2,2,2,2,2,2,4,32
5,5,5,6,1,2,2,2,2,2,4,32
5,5,5,6,2,2,1,2,2,2,4,32
5,5,5,7,1,2,2,2,2,1,4,32
5,5,5,8,1,1,2,1,2,2,4,32
5,5,6,6,1,2,2,2,2,1,4,32
5,5,6,6,2,1,2,2,1,2,4,32
5,5,6,7,1,1,2,1,2,2,4,32
5,5,6,7,1,2,1,2,1,2,4,32
5,5,6,7,2,1,1,2,2,1,4,32
5,6,6,6,1,1,2,1,2,2,4,32
5,6,6,6,2,2,2,1,1,1,4,32
5,6,7,8,1,1,1,1,1,1,4,32
5,7,7,7,1,1,1,1,1,1,4,32
6,6,6,8,1,1,1,1,1,1,4,32
6,6,7,7,1,1,1,1,1,1,4,32
1,4,4,12,1,1,3,1,3,3,4,33
1,4,8,8,1,2,2,2,2,3,4,33
2,3,4,12,1,1,3,1,3,3,4,33
2,3,7,9,1,2,2,2,2,3,4,33
2,3,8,8,1,2,2,2,2,3,4,33
2,3,8,9,1,2,2,2,2,2,4,33
2,3,9,9,1,2,2,2,2,1,4,33
2,4,4,11,1,1,3,1,3,3,4,33
2,4,7,8,1,2,2,2,2,3,4,33
2,4,8,8,1,2,2,2,2,2,4,33
2,5,7,8,1,2,2,2,2,2,4,33
2,5,8,8,1,2,2,2,2,1,4,33
2,6,7,7,2,2,2,2,2,1,4,33
3,3,3,12,1,1,3,1,3,3,4,33
3,3,4,11,1,1,3,1,3,3,4,33
3,3,5,10,1,1,3,1,3,3,4,33
3,3,6,9,1,2,2,2,2,3,4,33
3,3,7,8,1,2,2,2,2,3,4,33
3,3,7,9,1,2,2,2,2,2,4,33
3,3,8,8,1,2,2,2,2,2,4,33
3,3,8,9,1,2,2,2,2,1,4,33
3,4,4,10,1,1,3,1,3,3,4,33
3,4,5,9,1,2,2,2,2,3,4,33
3,4,6,8,1,2,2,2,2,3,4,33
3,4,7,7,1,2,2,2,2,3,4,33
3,4,7,8,1,2,2,2,2,2,4,33
3,4,8,8,1,2,2,2,2,1,4,33
3,5,6,8,1,2,2,2,2,2,4,33
3,5,6,10,1,1,2,1,2,2,4,33
3,5,7,7,1,2,2,2,2,2,4,33
3,5,7,7,2,2,2,2,2,1,4,33
3,5,7,8,1,2,2,2,2,1,4,33
3,6,6,6,2,2,2,2,2,2,4,33
3,6,6,7,2,2,2,1,2,2,4,33
3,6,6,7,2,2,2,2,1,2,4,33
3,6,6,9,1,1,2,1,2,2,4,33
3,6,7,7,1,2,2,2,2,1,4,33
3,7,7,7,2,2,2,1,1,1,4,33
4,4,4,9,1,1,3,1,3,3,4,33
4,4,5,8,1,2,2,2,2,3,4,33
4,4,5,11,1,1,2,1,2,2,4,33
4,4,6,7,1,2,2,2,2,3,4,33
4,4,6,8,1,2,2,2,2,2,4,33
4,4,6,10,1,1,2,1,2,2,4,33
4,4,7,7,1,2,2,2,2,2,4,33
4,4,7,7,2,2,2,2,2,1,4,33
4,4,7,8,1,2,2,2,2,1,4,33
4,5,5,7,2,2,2,2,2,2,4,33
4,5,5,8,1,2,2,2,2,2,4,33
4,5,5,8,2,2,2,1,2,2,4,33
4,5,5,10,1,1,2,1,2,2,4,33
4,5,6,6,2,2,2,2,2,2,4,33
4,5,6,7,1,2,2,2,2,2,4,33
4,5,6,7,2,1,2,2,2,2,4,33
4,5,6,7,2,2,2,1,2,2,4,33
4,5,6,7,2,2,2,2,2,1,4,33
4,5,6,9,1,1,2,1,2,2,4,33
4,5,7,7,1,2,2,2,2,1,4,33
4,5,7,8,1,1,2,1,2,2,4,33
4,6,6,6,1,2,2,2,2,2,4,33
4,6,6,6,2,2,2,1,2,2,4,33
4,6,6,7,1,2,2,2,2,1,4,33
4,6,6,8,1,1,2,1,2,2,4,33
4,6,7,7,1,1,2,1,2,2,4,33
4,6,7,7,2,2,2,1,1,1,4,33
5,5,5,6,2,2,2,2,2,2,4,33
5,5,5,7,1,2,2,2,2,2,4,33
5,5,5,9,1,1,2,1,2,2,4,33
5,5,6,6,1,2,2,2,2,2,4,33
5,5,6,6,2,1,2,2,2,2,4,33
5,5,6,6,2,2,2,2,2,1,4,33
5,5,6,7,1,2,2,2,2,1,4,33
5,5,6,7,2,1,2,2,1,2,4,33
5,5,6,8,1,1,2,1,2,2,4,33
5,5,7,7,1,1,2,1,2,2,4,33
5,5,7,7,2,1,1,2,2,1,4,33
5,6,6,6,1,2,2,2,2,1,4,33
5,6,6,7,1,1,2,1,2,2,4,33
5,6,6,7,1,2,1,2,1,2,4,33
5,6,6,7,2,2,2,1,1,1,4,33
5,6,8,8,1,1,1,1,1,1,4,33
5,7,7,8,1,1,1,1,1,1,4,33
6,6,6,6,1,1,2,1,2,2,4,33
6,6,7,8,1,1,1,1,1,1,4,33
6,7,7,7,1,1,1,1,1,1,4,33
1,8,8,8,2,2,2,1,1,1,4,34
2,3,8,9,1,2,2,2,2,3,4,34
2,4,4,12,1,1,3,1,3,3,4,34
2,4,5,11,1,1,3,1,3,3,4,34
2,4,7,9,1,2,2,2,2,3,4,34
2,4,8,8,1,2,2,2,2,3,4,34
2,4,8,9,1,2,2,2,2,2,4,34
2,4,9,9,1,2,2,2,2,1,4,34
2,5,7,8,1,2,2,2,2,3,4,34
2,5,8,8,1,2,2,2,2,2,4,34
2,6,7,7,2,2,2,2,2,2,4,34
2,7,7,7,2,2,2,1,2,2,4,34
3,3,4,12,1,1,3,1,3,3,4,34
3,3,5,11,1,1,3,1,3,3,4,34
3,3,7,9,1,2,2,2,2,3,4,34
3,3,8,8,1,2,2,2,2,3,4,34
3,3,8,9,1,2,2,2,2,2,4,34
3,3,9,9,1,2,2,2,2,1,4,34
3,4,4,11,1,1,3,1,3,3,4,34
3,4,5,10,1,1,3,1,3,3,4,34
3,4,6,9,1,2,2,2,2,3,4,34
3,4,7,8,1,2,2,2,2,3,4,34
3,4,7,9,1,2,2,2,2,2,4,34
3,4,8,8,1,2,2,2,2,2,4,34
3,4,8,9,1,2,2,2,2,1,4,34
3,5,5,9,1,1,3,1,3,3,4,34
3,5,6,8,1,2,2,2,2,3,4,34
3,5,7,7,1,2,2,2,2,3,4,34
3,5,7,7,2,2,2,2,2,2,4,34
3,5,7,8,1,2,2,2,2,2,4,34
3,5,8,8,1,2,2,2,2,1,4,34
3,6,6,7,2,2,2,2,2,2,4,34
3,6,6,8,2,2,2,1,2,2,4,34
3,6,6,10,1,1,2,1,2,2,4,34
3,6,7,7,1,2,2,2,2,2,4,34
3,6,7,7,2,2,2,1,2,2,4,34
3,6,7,7,2,2,2,2,2,1,4,34
3,6,7,8,1,2,2,2,2,1,4,34
3,7,7,8,2,2,2,1,1,1,4,34
4,4,4,10,1,1,3,1,3,3,4,34
4,4,5,9,1,1,3,1,3,3,4,34
4,4,5,9,1,2,2,2,2,3,4,34
4,4,5,9,2,1,2,2,3,2,4,34
4,4,6,8,1,2,2,2,2,3,4,34
4,4,6,9,1,2,2,2,2,2,4,34
4,4,7,7,1,2,2,2,2,3,4,34
4,4,7,7,2,2,2,2,2,2,4,34
4,4,7,8,1,2,2,2,2,2,4,34
4,4,8,8,1,2,2,2,2,1,4,34
4,5,5,8,1,1,3,1,3,3,4,34
4,5,5,8,1,2,2,2,2,3,4,34
4,5,5,8,2,2,3,1,2,2,4,34
4,5,5,11,1,1,2,1,2,2,4,34
4,5,6,7,1,2,2,2,2,3,4,34
4,5,6,7,2,2,2,2,2,2,4,34
4,5,6,8,1,2,2,2,2,2,4,34
4,5,6,8,2,1,2,2,2,2,4,34
4,5,6,8,2,2,2,1,2,2,4,34
4,5,6,10,1,1,2,1,2,2,4,34
4,5,7,7,1,2,2,2,2,2,4,34
4,5,7,7,2,2,2,2,2,1,4,34
4,5,7,8,1,2,2,2,2,1,4,34
4,5,7,9,1,1,2,1,2,2,4,34
4,6,6,7,1,2,2,2,2,2,4,34
4,6,6,7,2,2,2,1,2,2,4,34
4,6,6,7,2,2,2,2,1,2,4,34
4,6,6,9,1,1,2,1,2,2,4,34
4,6,7,7,1,2,2,2,2,1,4,34
4,6,7,8,1,1,2,1,2,2,4,34
4,7,7,7,1,1,2,1,2,2,4,34
4,7,7,7,2,2,2,1,1,1,4,34
5,5,5,7,1,2,2,2,2,3,4,34
5,5,5,7,2,2,2,2,2,2,4,34
5,5,5,8,1,2,2,2,2,2,4,34
5,5,5,10,1,1,2,1,2,2,4,34
5,5,6,6,1,2,2,2,2,3,4,34
5,5,6,6,2,2,2,2,2,2,4,34
5,5,6,7,1,2,2,2,2,2,4,34
5,5,6,7,2,1,2,2,2,2,4,34
5,5,6,7,2,2,1,2,2,2,4,34
5,5,6,7,2,2,2,2,2,1,4,34
5,5,6,8,1,2,2,2,2,1,4,34
5,5,6,9,1,1,2,1,2,2,4,34
5,5,7,7,1,2,2,2,2,1,4,34
5,5,7,7,2,1,2,2,1,2,4,34
5,5,7,8,1,1,2,1,2,2,4,34
5,6,6,6,1,2,2,2,2,2,4,34
5,6,6,6,2,2,2,1,2,2,4,34
5,6,6,7,1,2,2,2,2,1,4,34
5,6,6,7,2,2,1,1,2,2,4,34
5,6,6,8,1,1,2,1,2,2,4,34
5,6,6,8,2,2,2,1,1,1,4,34
5,6,7,7,1,1,2,1,2,2,4,34
5,6,7,7,2,1,1,2,2,1,4,34
5,6,7,7,2,2,2,1,1,1,4,34
5,7,8,8,1,1,1,1,1,1,4,34
6,6,6,6,1,2,2,2,2,1,4,34
6,6,6,7,1,1,2,1,2,2,4,34
6,6,6,7,1,2,1,2,1,2,4,34
6,6,7,9,1,1,1,1,1,1,4,34
6,6,8,8,1,1,1,1,1,1,4,34
6,7,7,8,1,1,1,1,1,1,4,34
7,7,7,7,1,1,1,1,1,1,4,34
2,4,5,12,1,1,3,1,3,3,4,35
2,4,6,10,1,2,3,2,3,2,4,35
2,4,8,9,1,2,2,2,2,3,4,35
2,4,9,9,1,2,2,2,2,2,4,35
2,5,5,11,1,1,3,1,3,3,4,35
2,5,7,9,1,2,2,2,2,3,4,35
2,5,8,8,1,2,2,2,2,3,4,35
2,5,8,9,1,2,2,2,2,2,4,35
2,5,9,9,1,2,2,2,2,1,4,35
2,6,6,8,2,2,2,1,3,3,4,35
2,6,7,7,2,2,2,2,2,3,4,35
2,7,7,7,2,2,2,2,2,2,4,35
2,7,7,8,2,2,2,1,2,2,4,35
2,8,8,8,2,2,2,1,1,1,4,35
3,3,5,12,1,1,3,1,3,3,4,35
3,3,6,10,1,2,3,2,3,2,4,35
3,3,8,9,1,2,2,2,2,3,4,35
3,3,9,9,1,2,2,2,2,2,4,35
3,4,4,12,1,1,3,1,3,3,4,35
3,4,5,10,1,2,3,2,3,2,4,35
3,4,5,11,1,1,3,1,3,3,4,35
3,4,6,9,1,2,3,2,3,2,4,35
3,4,6,10,1,2,2,2,2,3,4,35
3,4,7,9,1,2,2,2,2,3,4,35
3,4,8,8,1,2,2,2,2,3,4,35
3,4,8,9,1,2,2,2,2,2,4,35
3,4,9,9,1,2,2,2,2,1,4,35
3,5,5,10,1,1,3,1,3,3,4,35
3,5,6,9,1,2,2,2,2,3,4,35
3,5,7,7,2,2,2,2,2,3,4,35
3,5,7,8,1,2,2,2,2,3,4,35
3,5,7,9,1,2,2,2,2,2,4,35
3,5,8,8,1,2,2,2,2,2,4,35
3,5,8,9,1,2,2,2,2,1,4,35
3,6,6,7,2,2,2,1,3,3,4,35
3,6,6,7,2,2,2,2,2,3,4,35
3,6,6,8,2,2,2,2,2,2,4,35
3,6,7,7,2,2,2,2,2,2,4,35
3,6,7,8,1,2,2,2,2,2,4,35
3,6,7,8,2,2,2,1,2,2,4,35
3,6,7,8,2,2,2,2,2,1,4,35
3,6,8,8,1,2,2,2,2,1,4,35
3,7,7,7,2,2,2,1,2,2,4,35
3,7,8,8,2,2,2,1,1,1,4,35
4,4,4,11,1,1,3,1,3,3,4,35
4,4,5,9,1,2,3,2,3,2,4,35
4,4,5,9,2,1,3,2,2,3,4,35
4,4,5,10,1,1,3,1,3,3,4,35
4,4,5,10,1,2,2,2,2,3,4,35
4,4,6,9,1,2,2,2,2,3,4,35
4,4,7,7,2,2,2,2,2,3,4,35
4,4,7,8,1,2,2,2,2,3,4,35
4,4,7,9,1,2,2,2,2,2,4,35
4,4,8,8,1,2,2,2,2,2,4,35
4,4,8,9,1,2,2,2,2,1,4,35
4,5,5,8,1,2,3,2,3,2,4,35
4,5,5,8,2,2,2,1,3,3,4,35
4,5,5,8,2,2,2,2,2,3,4,35
4,5,5,8,2,2,3,2,2,2,4,35
4,5,5,9,1,1,3,1,3,3,4,35
4,5,5,9,1,2,2,2,2,3,4,35
4,5,5,9,2,2,3,1,2,2,4,35
4,5,6,7,2,2,2,2,2,3,4,35
4,5,6,8,1,2,2,2,2,3,4,35
4,5,6,8,2,2,2,2,2,2,4,35
4,5,6,9,1,2,2,2,2,2,4,35
4,5,6,11,1,1,2,1,2,2,4,35
4,5,7,7,1,2,2,2,2,3,4,35
4,5,7,7,2,2,2,2,2,2,4,35
4,5,7,8,1,2,2,2,2,2,4,35
4,5,7,8,2,2,2,2,2,1,4,35
4,5,7,10,1,1,2,1,2,2,4,35
4,5,8,8,1,2,2,2,2,1,4,35
4,6,6,7,1,2,2,2,2,3,4,35
4,6,6,7,2,2,2,2,2,2,4,35
4,6,6,8,1,2,2,2,2,2,4,35
4,6,6,8,2,2,2,1,2,2,4,35
4,6,6,10,1,1,2,1,2,2,4,35
4,6,7,7,1,2,2,2,2,2,4,35
4,6,7,7,2,2,2,1,2,2,4,35
4,6,7,7,2,2,2,2,2,1,4,35
4,6,7,8,1,2,2,2,2,1,4,35
4,6,7,9,1,1,2,1,2,2,4,35
4,7,7,7,1,2,2,2,2,1,4,35
4,7,7,8,1,1,2,1,2,2,4,35
4,7,7,8,2,2,2,1,1,1,4,35
5,5,5,7,2,2,2,2,2,3,4,35
5,5,5,8,1,1,3,1,3,3,4,35
5,5,5,8,1,2,2,2,2,3,4,35
5,5,5,8,2,2,2,2,2,2,4,35
5,5,5,9,1,2,2,2,2,2,4,35
5,5,5,11,1,1,2,1,2,2,4,35
5,5,6,6,2,2,2,2,2,3,4,35
5,5,6,7,1,2,2,2,2,3,4,35
5,5,6,7,2,2,2,2,2,2,4,35
5,5,6,8,1,2,2,2,2,2,4,35
5,5,6,8,2,1,2,2,2,2,4,35
5,5,6,10,1,1,2,1,2,2,4,35
5,5,7,7,1,2,2,2,2,2,4,35
5,5,7,7,2,1,2,2,2,2,4,35
5,5,7,7,2,2,2,2,2,1,4,35
5,5,7,8,1,2,2,2,2,1,4,35
5,5,7,9,1,1,2,1,2,2,4,35
5,6,6,6,2,2,2,2,2,2,4,35
5,6,6,7,1,2,2,2,2,2,4,35
5,6,6,7,2,2,1,2,2,2,4,35
5,6,6,7,2,2,2,1,2,2,4,35
5,6,6,7,2,2,2,2,1,2,4,35
5,6,6,8,1,2,2,2,2,1,4,35
5,6,6,9,1,1,2,1,2,2,4,35
5,6,7,7,1,2,2,2,2,1,4,35
5,6,7,7,2,1,2,2,1,2,4,35
5,6,7,8,1,1,2,1,2,2,4,35
5,6,7,8,1,2,1,2,1,2,4,35
5,6,7,8,2,2,2,1,1,1,4,35
5,7,7,7,1,1,2,1,2,2,4,35
5,7,7,7,2,2,2,1,1,1,4,35
5,8,8,8,1,1,1,1,1,1,4,35
6,6,6,6,1,2,2,2,2,2,4,35
6,6,6,7,1,2,2,2,2,1,4,35
6,6,6,8,1,1,2,1,2,2,4,35
6,6,6,8,1,2,1,2,1,2,4,35
6,6,7,7,1,1,2,1,2,2,4,35
6,6,7,7,2,1,1,2,2,1,4,35
6,6,8,9,1,1,1,1,1,1,4,35
6,7,7,9,1,1,1,1,1,1,4,35
6,7,8,8,1,1,1,1,1,1,4,35
